% # columns="iter, evals, sigma, 0, fitness, xbest" seed=61725, Thu Apr  9 15:46:38 2026, <python>{}</python>
1 12 19.37226077478408 0 0.5026535005783617 0.1142431613459825 36.80921700918128 0.5713588176305096 157.0701948244909 134.94954123441715 332.8771618934889 -33.81408143303062 -33.106897795387866 -97.94406445473514
2 24 17.85490878924527 0 0.5866373415108497 0.14005427134066634 36.82838488328532 0.48970707011157305 137.51761804754037 136.84226187694958 340.23130925304775 -25.768135809539924 -29.460487231764056 -94.77667142623555
3 36 16.431152895555485 0 0.4901309510278741 0.13038068492613106 39.7542032137849 0.3720933204328072 148.66553175490702 134.15643936062932 337.74664649338104 -25.170306423418324 -32.507729178075095 -96.29543950936103
4 48 16.33909525255192 0 0.6370757754249392 0.1437287032995621 47.47847031329861 0.20037114535297565 131.22880442655335 126.09706809861157 329.56430461402124 -25.146607926738344 -32.35987622311971 -88.07885269319263
5 60 16.878416829773553 0 0.5079172004964247 0.142047086007016 41.552627491845094 0.5315028305656783 153.3931418233766 132.27372219895008 303.6905071972204 -28.969951066774602 -30.480595769687273 -91.28233428092129
6 72 17.866000890667944 0 0.5171238014795781 0.12143606250186346 41.713231705835675 0.5350785289715323 151.34936182981662 132.1433998064803 322.8848271254023 -24.647100247471982 -31.40064322560383 -97.0188140321036
7 84 18.6422735422039 0 0.4585794119215827 0.1207752866001061 34.901608902040444 0.7676191930029532 163.09035327278826 132.38826423694843 330.73652839201117 -29.069053763811254 -29.191962985117712 -94.70215837274934
8 96 19.525298838396544 0 0.5845699494606732 0.11818808191717538 41.533834757130556 0.7815849194367394 164.97899101783855 132.57171662277807 326.5289451484873 -26.801356445396472 -36.84541667848155 -95.00909160611525
9 108 20.161309108693025 0 0.46950317418864873 0.10290348469899509 32.16464439666902 0.6559824388530228 152.45150790069977 127.1295927029092 329.26821043683105 -28.579669604333603 -38.15325069395287 -98.63906385417307
10 120 20.099842422958815 0 0.4503660727061861 0.10880989780000559 32.545714681824236 0.9941396393444226 163.90031626759517 129.20048308272808 318.4683403120086 -25.247090628154226 -41.92754616056468 -83.87943130352512
11 132 19.500545879125507 0 0.47020958982368366 0.11927537419073529 36.1070473338739 0.8868969243248652 155.65352195070975 120.91332491015807 328.7220181564173 -23.891367382826623 -37.51912579247498 -87.30135877899434
12 144 21.272970893634334 0 0.43412520670524657 0.11417866757824001 34.311497943815944 1.1252469274436745 152.73688739021864 120.8914257072213 303.76131817305287 -18.731449191414058 -42.873460364332836 -82.82086731463542
13 156 22.76752295877519 0 0.4847517675665115 0.09387358526063064 27.665529849059293 1.116318535784578 146.5489941701871 120.34953635748023 297.8263281282535 -23.033750548830287 -30.653508017821554 -75.4959190686208
