% # columns="iteration, evaluation, min 25%tile 75%tile max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=61725, Thu Apr  9 15:46:38 2026
1 12 -0.0870562714579721 -0.02375901103448176 0.016450165027280663 0.1091612913942854 0.9035312355517114 0.945270163377331 0.9676818275814629 0.9929963622998004 1.0025720920056547 1.014154095269402 1.0189408140783767 1.0280644317031975 1.1130271976419701
2 24 -0.12644161093961337 -0.02470724554754299 0.03181574048425066 0.12544525523371447 0.9035312355517114 0.945270163377331 0.9676818275814629 0.9929963622998004 1.0025720920056547 1.014154095269402 1.0189408140783767 1.0280644317031975 1.1130271976419701
3 36 -0.14017094550417972 -0.03266443384657883 0.04912153124307343 0.15205457381794601 0.9035312355517114 0.945270163377331 0.9676818275814629 0.9929963622998004 1.0025720920056547 1.014154095269402 1.0189408140783767 1.0280644317031975 1.1130271976419701
4 48 -0.17618113841604405 -0.05789053313288638 0.06471899605655054 0.24932875734089494 0.9035312355517114 0.945270163377331 0.9676818275814629 0.9929963622998004 1.0025720920056547 1.014154095269402 1.0189408140783767 1.0280644317031975 1.1130271976419701
5 60 -0.19148126563735313 -0.07916192349682419 0.06353788553849885 0.29988435386789464 0.9035312355517114 0.945270163377331 0.9676818275814629 0.9929963622998004 1.0025720920056547 1.014154095269402 1.0189408140783767 1.0280644317031975 1.1130271976419701
6 72 -0.22271812853984313 -0.07639341611265141 0.05851069405240683 0.2794881964781076 0.9035312355517114 0.945270163377331 0.9676818275814629 0.9929963622998004 1.0025720920056547 1.014154095269402 1.0189408140783767 1.0280644317031975 1.1130271976419701
7 84 -0.28552325054568256 -0.04724647061782903 0.06388135990655733 0.2839523032297181 0.9035312355517114 0.945270163377331 0.9676818275814629 0.9929963622998004 1.0025720920056547 1.014154095269402 1.0189408140783767 1.0280644317031975 1.1130271976419701
8 96 -0.31956447958465267 -0.06699071187177635 0.06275717442120693 0.25700805372683466 0.9035312355517114 0.945270163377331 0.9676818275814629 0.9929963622998004 1.0025720920056547 1.014154095269402 1.0189408140783767 1.0280644317031975 1.1130271976419701
9 108 -0.300204694846222 -0.07446728989076207 0.061104548008009796 0.25299882847057487 0.9035312355517114 0.945270163377331 0.9676818275814629 0.9929963622998004 1.0025720920056547 1.014154095269402 1.0189408140783767 1.0280644317031975 1.1130271976419701
10 120 -0.31578712275841503 -0.0781956657370322 0.07817904978982983 0.2587965762063516 0.7088845930227642 0.8367699829878235 0.903548319611824 0.925153535312027 0.9365071982215515 1.0044821953124838 1.0637198673081572 1.1623881894335018 1.3252597962326742
