area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_raw,target_change_raw,change_delta_raw
V1,24c+32,"38,28",-0.1160941284938024,0.003786,0.1439996702933148,0.015773,1.80621107158,0.75996956825,1.04624150333,True,0.26009379878711725,0.011987,0.24810679878711725
V2,24c+32,"38,28",0.3501245653995311,0.043747,0.05572813750005008,0.039852,-5.28272504889,-0.0977366255144,-5.18498842338,True,-0.294396427899481,-0.0038950000000000026,-0.290501427899481
V4,24c+32,"38,28",-0.1556611949842309,0.096906,0.09892818945058228,0.01233,2.57347663845,-6.85936739659,9.43284403504,True,0.25458938443481316,-0.08457600000000001,0.33916538443481314
1,24c+32,"38,28",0.3182802880065614,0.054903,0.0257085932005613,-0.127009,-11.380307453,-1.43227645285,-9.94803100013,True,-0.2925716948060001,-0.18191200000000002,-0.11065969480600008
3,24c+32,"38,28",0.1675473069507141,0.04628,0.06436255786228032,-0.000506,-1.6031797448,-92.4624505929,90.8592708481,True,-0.10318474908843378,-0.046786,-0.05639874908843378
MT,24c+32,"38,28",0.6119710885525015,0.175566,0.11939545509720845,0.03625,-4.12558110402,-3.8432,-0.282381104023,True,-0.49257563345529304,-0.139316,-0.35325963345529304
V6,24c+32,"38,28",0.5309505572284893,0.139254,0.5003736151936116,0.217226,-0.0611082221493,0.358944141125,-0.420052363274,True,-0.030576942034877708,0.07797200000000001,-0.10854894203487772
DP,24c+32,"38,28",0.4915057750187404,0.199567,-0.0759333757690221,-0.259572,-7.47285557953,-1.76883099872,-5.7040245808,True,-0.5674391507877625,-0.459139,-0.1083001507877625
TEO,24c+32,"38,28",0.156109309241097,0.031259,0.19157148884627254,0.072362,0.185111990405,0.568019126061,-0.382907135656,True,0.03546217960517553,0.041102999999999994,-0.005640820394824463
8m,24c+32,"38,28",0.6400428060980776,0.175673,0.629033083738976,0.165189,-0.0175026125711,-0.0634666957243,0.0459640831532,True,-0.011009722359101581,-0.010483999999999993,-0.000525722359101588
F4,24c+32,"38,28",0.5987299089185673,-0.015774,0.22631614920983334,0.135711,-1.64554655516,1.11623228773,-2.76177884289,True,-0.3724137597087339,0.151485,-0.5238987597087339
5,24c+32,"38,28",0.1137180181341875,-0.026274,0.20281601546287795,-0.164674,0.43930454469,-0.840448401083,1.27975294577,True,0.08909799732869045,-0.1384,0.22749799732869044
2,24c+32,"38,28",-0.005518385337935,0.088933,0.3965805606768959,-0.059867,1.01391491638,-2.48550954616,3.49942446254,True,0.40209894601483087,-0.1488,0.5508989460148308
8l,24c+32,"38,28",-0.0841109972103406,0.16706,0.08449268704064179,0.064032,1.99548256963,-1.609007996,3.60449056563,True,0.16860368425098238,-0.10302799999999998,0.2716316842509824
F1,24c+32,"38,28",-0.1405608701805269,0.023885,-0.011705728169393727,0.014027,11.0078706892,-0.702787481286,11.7106581704,True,0.12885514201113318,-0.009858,0.1387131420111332
STPc,24c+32,"38,28",0.3229481650137925,-0.004758,0.4680517231822838,0.021164,0.310016075108,1.22481572482,-0.914799649708,True,0.1451035581684913,0.025922,0.1191815581684913
7A,24c+32,"38,28",0.2104715301552385,0.03126,-0.19021513364956782,-0.022945,-2.10649203414,-2.3623883199,0.25589628576,True,-0.40068666380480633,-0.054205,-0.34648166380480633
10,24c+32,"38,28",1.3686389882979282,0.313056,0.4588988606750426,-0.259452,-1.9824414606,-2.20660468988,0.224163229288,True,-0.9097401276228856,-0.572508,-0.33723212762288557
