% # columns="iter, evals, sigma, 0, fitness, xbest" seed=12345, Sun Apr 12 22:00:05 2026, <python>{}</python>
1 12 19.44744420565598 0 0.6534456986009811 0.12458052480318549 57.75687277655432 0.31753951731843866 140.49033185078196 147.32929242246436 316.03435660290273 -30.788389424160158 -33.34211506736742 -88.24783518534159
2 24 21.47631981147302 0 0.6335323515472848 0.13389654885439203 67.13146496979886 0.3111206105514153 155.3846533484329 138.41243841191874 310.61391100187836 -30.649002760921093 -40.098931607808446 -92.09828711921757
3 36 25.171337427705485 0 0.6282295289880285 0.1228618305650542 61.9414968794803 0.2899569977063357 169.788206947207 130.21850355461882 307.1110464426027 -27.776278504281123 -33.46825960753594 -80.13104556198503
4 48 30.917730122660053 0 0.6197915096618093 0.11803467011022198 69.34603005316303 0.3203003992318781 186.41230969450746 134.71698999030184 328.6217025497431 -30.078191941782517 -29.778459944535374 -86.85782148938483
5 60 36.76984361319809 0 0.6217857023507166 0.11681386039288988 63.599827150155726 0.27097054863641723 208.90103720942756 134.13710402418226 337.4975277369969 -28.497133521475437 -33.06953649641231 -106.25128972188496
6 72 42.51709225608151 0 0.6127763044384944 0.10927047108396452 79.16957232305046 0.24260992064364434 218.89025887954446 147.46201624297922 263.5253743391902 -28.614298264406845 -41.77602179006261 -80.28452162783266
7 84 53.06345940448243 0 0.5948397615833357 0.10787046070392739 54.258197023885096 0.24418965072824075 265.9253460955113 134.86230361194737 276.29904149769044 -27.583003304724155 -36.09467861657407 -86.41599555200322
8 96 64.55092310321068 0 0.5811260578540016 0.09724927408139407 71.12588923951658 0.23001545886704533 296.79514015410626 163.7792983788883 359.14039000324016 -26.192304101747364 -44.68482290795575 -82.65871558586495
9 108 73.72302971977174 0 0.579563089345124 0.08541403642379636 74.79133360860027 0.2454862079736651 312.38333943264286 189.31833718676305 268.36268841191617 -28.505022117563588 -43.02316651816692 -75.63241809228023
10 120 77.48944671575067 0 0.5752704842951566 0.08858994764333963 58.45716602538869 0.3378745569737682 333.1421620370187 143.94406192265058 215.83068236311206 -35.55285167098275 -34.52372731060195 -56.48306866601404
11 132 83.89779645860018 0 0.5714550620509979 0.06192674282747275 67.11947961391442 0.2867538104264654 335.4436109958473 145.5746348176679 290.7624146359768 -43.96106217205935 -48.40692832756401 -95.13037654626288
12 144 91.49825811226862 0 0.568189992784053 0.1310681180182133 85.16123103438237 0.20594746483596682 374.06340110907394 115.26942061387383 164.78099585244837 -52.23281132926882 -49.18300201770825 -34.993159080694674
13 156 105.44697603885771 0 0.5686169309943196 0.13051587447137192 82.33386235295204 0.1844938119527249 367.0104272834116 59.35650074625924 179.6081406852212 -54.63336867165421 -48.28920644851712 -107.18875888346335
14 168 122.92907317442125 0 0.5651883393777835 0.05155340570944962 91.88892443196272 0.35636733736822895 431.8023852718423 41.771696817250664 275.71680662066893 -59.93539298022317 -21.94745002674363 -65.31249402079764
15 180 137.0231212228915 0 0.5583560317504342 0.07046637436391143 64.54469319918101 0.21562927699250797 446.13162700361664 45.30219699404972 111.3359681674031 -75.40486596236794 -33.56894251399964 -110.73100809234101
16 192 142.7832141012179 0 0.46702004732540603 0.22623298121257968 58.58241755771182 0.10209376706991631 388.4289786583942 64.80045583758248 100.00789053092103 -55.81998429696269 -45.99873557037756 -132.60994550843512
17 204 148.45588257982504 0 0.45925452120146715 0.24481065438413643 24.786026011657633 0.12657135223843338 247.3712502940226 40.035075669948284 231.3983392496657 -39.17473798088057 -61.48553521369551 -94.90265335953816
18 216 165.2808019171562 0 0.46073773918592453 0.288069956915712 58.40587448717588 0.23071181918139577 318.77403060665495 83.41386209595328 246.86276283462354 -66.8119387762402 -59.30523083351777 -68.39043026854448
19 228 200.4537877321102 0 0.4298963682836445 0.36977746710930465 76.72495117789067 0.5758259953048734 171.1469746680516 87.79699569553733 274.0485810431688 -90.28797483111505 -88.80097919652017 -62.0334902811554
