area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid
V1,24c+32,"38,28",-0.4423850674782738,0.003786,-0.9878177594042445,0.015773,-0.5454326919259708,0.011987,-0.5574196919259707,True
V2,24c+32,"38,28",-0.0251971866655661,0.043747,-0.25317358352173813,0.039852,-0.22797639685617205,-0.0038950000000000026,-0.22408139685617204,True
V4,24c+32,"38,28",-0.3536837651037046,0.096906,0.09157578901302567,0.01233,0.44525955411673024,-0.08457600000000001,0.5298355541167302,True
1,24c+32,"38,28",-0.5862643442753006,0.054903,-0.03272867721546868,-0.127009,0.5535356670598319,-0.18191200000000002,0.735447667059832,True
3,24c+32,"38,28",0.2380181043124388,0.04628,-0.08811982786656407,-0.000506,-0.3261379321790029,-0.046786,-0.2793519321790029,True
MT,24c+32,"38,28",0.6325988069584402,0.175566,0.05312177778838862,0.03625,-0.5794770291700515,-0.139316,-0.4401610291700515,True
V6,24c+32,"38,28",0.5146898945634181,0.139254,0.488275201719489,0.217226,-0.026414692843929055,0.07797200000000001,-0.10438669284392907,True
DP,24c+32,"38,28",0.1856217345621863,0.199567,0.11043150783271792,-0.259572,-0.07519022672946839,-0.459139,0.3839487732705316,True
TEO,24c+32,"38,28",-0.6770565920866738,0.031259,-0.16655345135837032,0.072362,0.5105031407283035,0.041102999999999994,0.4694001407283035,True
8m,24c+32,"38,28",-0.2224768121751306,0.175673,-0.36849719716952545,0.165189,-0.14602038499439485,-0.010483999999999993,-0.13553638499439485,True
F4,24c+32,"38,28",-0.0595084956497605,-0.015774,-0.19652300492796976,0.135711,-0.13701450927820927,0.151485,-0.2884995092782093,True
5,24c+32,"38,28",-0.6256038835875025,-0.026274,0.20646986072364729,-0.164674,0.8320737443111498,-0.1384,0.9704737443111497,True
2,24c+32,"38,28",0.7242390322897572,0.088933,0.6337100313150602,-0.059867,-0.09052900097469696,-0.1488,0.05827099902530303,True
8l,24c+32,"38,28",0.6960067403423809,0.16706,-0.1418436409033809,0.064032,-0.8378503812457617,-0.10302799999999998,-0.7348223812457617,True
F1,24c+32,"38,28",-0.2375525085553724,0.023885,-0.0047610960389827175,0.014027,0.23279141251638968,-0.009858,0.2426494125163897,True
STPc,24c+32,"38,28",-0.9718002044124364,-0.004758,-0.3202754061995952,0.021164,0.6515247982128411,0.025922,0.6256027982128411,True
7A,24c+32,"38,28",-0.7780199589060032,0.03126,-0.37746791085938736,-0.022945,0.4005520480466158,-0.054205,0.4547570480466158,True
10,24c+32,"38,28",0.9473954179237412,0.313056,0.3162485293436902,-0.259452,-0.631146888580051,-0.572508,-0.05863888858005095,True
F3,24c+32,"38,28",0.96704169568119,0.09415,0.20418828127872438,0.073127,-0.7628534144024657,-0.021023,-0.7418304144024657,True
TEpd,24c+32,"38,28",0.0042745248475903,0.016372,0.2577772049780172,0.111161,0.2535026801304269,0.094789,0.15871368013042692,True
46d,24c+32,"38,28",1.1832642855023168,0.337073,0.7562033371709166,0.036685,-0.4270609483314002,-0.300388,-0.1266729483314002,True
9/46v,24c+32,"38,28",-0.0652733520584627,0.2712,0.013377645703629797,0.097202,0.0786509977620925,-0.17399799999999999,0.2526489977620925,True
PBr,24c+32,"38,28",-0.0640599239556705,0.032065,0.043806001053250054,0.00353,0.10786592500892056,-0.028535000000000005,0.13640092500892056,True
9/46d,24c+32,"38,28",0.4788533931583822,0.245636,0.24812666616395335,0.079916,-0.23072672699442887,-0.16571999999999998,-0.06500672699442889,True
F5,24c+32,"38,28",-0.2182335470883295,0.081314,0.3803613006312868,0.149549,0.5985948477196164,0.06823499999999999,0.5303598477196163,True
7m,24c+32,"38,28",0.4702571455224015,-0.082866,0.664287622155245,0.047937,0.19403047663284345,0.130803,0.06322747663284345,True
25,24c+32,"38,28",0.5185431580332664,-0.168438,0.7502307071793057,0.142877,0.23168754914603928,0.311315,-0.07962745085396072,True
LIP,24c+32,"38,28",-0.1121967065322108,0.063567,-0.00984049852977228,0.037658,0.10235620800243851,-0.025909,0.1282652080024385,True
32,24c+32,"38,28",1.858204735177107,0.812202,1.590187000563359,0.704386,-0.268017734613748,-0.10781600000000002,-0.16020173461374798,False
STPi,24c+32,"38,28",0.0147847596044322,0.028622,0.3331272257796944,0.059489,0.3183424661752622,0.030867,0.2874754661752622,True
9,24c+32,"38,28",1.6664261136982272,0.358544,1.1659774027706502,0.145686,-0.500448710927577,-0.21285799999999996,-0.28759071092757704,True
45A,24c+32,"38,28",1.5894313676425176,0.22115,0.29873690214993875,-0.163953,-1.290694465492579,-0.385103,-0.905591465492579,True
8B,24c+32,"38,28",1.735180413438376,0.223581,0.9951424725254775,0.060359,-0.7400379409128984,-0.163222,-0.5768159409128985,True
7B,24c+32,"38,28",-0.8100114651898377,0.111312,-0.7017834531086261,-0.018539,0.10822801208121158,-0.129851,0.23807901208121157,True
F2,24c+32,"38,28",-0.3260180698644416,-0.024718,-0.49627426674536235,-0.00053,-0.17025619688092075,0.024188,-0.19444419688092074,True
F7,24c+32,"38,28",1.5275823956683865,0.25606,0.4652731645253779,-0.103096,-1.0623092311430087,-0.35915600000000003,-0.7031532311430087,True
ProM,24c+32,"38,28",0.4875026644372566,0.004375,0.5030150151002025,-0.007453,0.015512350662945928,-0.011828000000000002,0.02734035066294593,True
STPr,24c+32,"38,28",-0.1864863429038961,-0.05701,-0.14568206608239725,0.079456,0.04080427682149884,0.136466,-0.09566172317850116,True
24c,24c+32,"38,28",1.172021004108786,1.081141,-0.4549477518312937,0.998232,-1.6269687559400796,-0.0829089999999999,-1.5440597559400797,False
OPRO,24c+32,"38,28",0.8698739687283902,0.176695,0.526862980281862,-0.01692,-0.3430109884465282,-0.19361499999999998,-0.14939598844652824,True
