% # columns="iter, evals, sigma, 0, fitness, xbest" seed=111105, Mon Apr 13 14:59:00 2026, <python>{}</python>
1 12 18.98628907446016 0 0.6497046452709732 0.12196912709437001 50.21046858064578 0.31542731913079053 127.51482238259943 137.43382346844047 329.4891625904173 -27.71311879500034 -32.01136772425382 -95.31143439116512
2 24 18.738636207211847 0 0.6172178499090455 0.1243656592738821 44.60858293379727 0.3325435906768659 130.8769864226112 132.70599616373323 322.28273264586306 -28.559296898072457 -33.090432418194865 -81.25561836092011
3 36 19.615363415502195 0 0.6213205691339949 0.1290350849175782 50.057847926002474 0.3054161708092671 124.10333026123432 115.83688034727562 315.1434570445076 -28.214988615718173 -36.38363882139675 -97.4148678340087
4 48 21.18925494839012 0 0.6201366980952792 0.1359802880410637 41.3454435363447 0.30263368924005457 132.46526427349394 124.08865231660404 330.8065651730943 -26.592851618197106 -38.64343374540618 -101.44426835708896
5 60 20.842982182194618 0 0.6169087246908533 0.12242652868842309 46.82992005321511 0.30689559839263536 132.36564146036235 114.85265567855217 345.821563744066 -27.169513842061594 -30.810554730199918 -104.01648149420531
6 72 18.73259915901879 0 0.6092297627513574 0.14045734474833324 56.04550149139264 0.28456703251030097 140.60965092476772 131.0826880943112 321.7763684913117 -29.069863822299887 -38.365884662595114 -102.0285457403307
7 84 16.425638020953244 0 0.6124234778729081 0.11749685091486069 45.0904614804743 0.29520312079788097 142.1228443461422 124.69281913867827 342.2440251220086 -30.586807652253434 -38.11809852217582 -98.22115297405966
8 96 15.006589543968593 0 0.6015795354825915 0.12087224245557482 47.89502362568077 0.2747933288421016 130.03477003756151 130.92350611597388 311.3284007146354 -29.24343094538051 -36.23781359276105 -101.3163323441717
9 108 15.31101650553621 0 0.6153010081460675 0.11486090482493166 42.10351001110782 0.2665638967399204 130.31578925795637 125.26432162596312 311.3893358505909 -26.72120560190089 -38.056829353621865 -95.37595653531696
10 120 15.588080596792304 0 0.6095533269683682 0.10961438499458492 42.90314181870121 0.2808911661364212 135.76629869398684 135.17998053123466 315.67228232208765 -28.36726481304343 -35.342785598223635 -97.9555621545956
11 132 17.70305316313292 0 0.6016772743976232 0.12098923301169708 35.701323453587456 0.2929383877357533 139.72094528818502 136.59097937492422 288.2597000806664 -31.909986611950014 -37.41714710769602 -92.22699872636053
12 144 20.70737967430872 0 0.5589269357209431 0.11561949336545112 33.22152591048501 0.280088296611877 137.27538731537234 135.14458673716234 283.95528857389405 -29.04876778065538 -39.24136130928793 -111.17269724558646
13 156 23.270974102660826 0 0.5534103872652876 0.11955282204242482 33.46863111222469 0.2511366560336207 139.64125645173218 135.47801793798186 287.3976573159129 -31.234434297541313 -40.292251964644734 -112.82534807510372
14 168 27.046628480497453 0 0.532190424013985 0.11235747348251156 24.658125241576855 0.24614264520636106 142.4933730049336 133.45626317847348 271.3470494523299 -26.11861682015521 -43.96815504900437 -108.53932082880927
15 180 31.4804238855372 0 0.5183151488918626 0.12869807007804684 23.189772467599433 0.24209838417611784 153.52775660834396 149.32628921046486 267.1743427878467 -27.09400101508038 -45.40332429600165 -119.28150960545591
16 192 35.48946525179305 0 0.521207054510965 0.10900829621782318 24.782230876719062 0.21291581206500804 139.8486469089313 151.0454755768784 275.7114452074478 -27.246257466401055 -45.987464857611485 -116.7566510742212
17 204 37.8891814696386 0 0.5187629954881203 0.12662766449142215 28.060947685793643 0.2004126958545093 137.33815838108896 168.81768951675633 263.8201228994451 -30.062436892643756 -42.91938353743866 -118.09327573609018
18 216 41.85269687208314 0 0.5125764807721378 0.13109351239821665 20.829554328355538 0.1690968067176624 139.99389476382672 169.51354675371732 253.60396254376138 -27.194789066544388 -52.585981073880895 -117.87299323672931
19 228 40.52537622634794 0 0.5179697356802913 0.14655451602571198 25.50218055725899 0.2627385354804045 122.99353458482629 164.45834356508777 270.3523434177412 -26.11955988883369 -49.34975643235567 -122.61467784007817
20 240 41.57796206204768 0 0.5139098197157596 0.16143442948017744 25.260850009278478 0.21288004088952384 120.9717928678135 151.34994939227974 247.1023526243345 -24.259725550386573 -49.55730631410253 -119.56812913407626
21 252 40.973311196074725 0 0.515369884193772 0.13137719549442464 25.859658224260325 0.24532321294595297 111.17995594213127 155.89083433854793 292.69275737949704 -22.221423778775193 -52.06857106402542 -133.6404488651297
