% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=123450, Mon Apr 13 17:33:00 2026, <python>{}</python>
1 12 18.635719768039273 0 0 0.008259016820087589 4.263900281795303 0.020251748646093578 7.819885147218694 7.542273440201224 12.762247496739539 2.463976358096721 2.377918352103907 7.101910665442643
2 24 18.956604449744862 0 0 0.008475331610166184 4.515474139961176 0.020941730374964305 8.158874097770592 7.942277578010231 12.673329108444374 2.542150249969246 2.338481796006443 7.634632851293974
3 36 19.019220951340003 0 0 0.00860453448950151 4.57956952003987 0.020672152544017115 8.213940459345729 7.854559187558299 12.659655328795047 2.545057417569104 2.3175406954327755 7.640052854356742
4 48 20.379682610928118 0 0 0.00887202281463136 5.322837163916402 0.02194301015386748 8.558985958107705 8.356357632025604 13.317633408788987 2.6330742106917486 2.4566532224961866 8.519271645440707
5 60 22.324040467485116 0 0 0.009383696565604917 5.852818821940451 0.023096932654800367 9.745054592628753 9.528886053920784 14.495844618940874 2.908649646066146 2.70224501464734 9.330902415196027
6 72 22.537234564363327 0 0 0.009300806553859807 6.080276151378057 0.022792838595454005 9.911138572349413 9.709033378659477 14.42865973011866 2.8609139411922633 2.699767440644163 9.336086130434733
7 84 22.157622586608685 0 0 0.00887089681081798 5.830647719164122 0.021929188893768898 9.879610944481037 9.886755343862347 14.159078042780525 2.8281781197275944 2.6054464924635607 9.246951788630033
8 96 19.840299143261277 0 0 0.00768019463437536 5.118612793698121 0.01956397467810738 8.713813007026804 8.648781871677764 12.569409228568894 2.5164663664895492 2.3387288876283505 8.345135442460153
9 108 19.96921978005366 0 0 0.00785777189214611 4.892840477910979 0.019211222515181002 8.976716162726964 8.699646668754305 12.494873292504503 2.512959209045113 2.3573374749572675 8.654780917691017
10 120 18.403361129431605 0 0 0.007010428394028651 4.419641749910115 0.0177205527495562 8.225000433336339 8.005743400830445 11.203134218034595 2.2317452210936186 2.211540322999657 7.890838547154964
11 132 16.647314120202868 0 0 0.006086051842999973 3.962950629000959 0.01589222819880714 7.266212899413926 7.143765972365256 9.992815190270344 2.0096258516225762 1.9368835331021095 7.244011290169955
12 144 16.72232244396487 0 0 0.006244855180525982 3.8314907647015746 0.017100437347361646 6.927695346956221 7.161225025563607 9.846659420645906 1.9993442708882447 1.97156894134317 7.111254607966941
13 156 17.040595642980808 0 0 0.006435127663312456 4.0116508639010595 0.01739332402027427 6.940555815187017 7.2676334357245365 10.019981518797646 2.0147687446728275 2.0607509177252266 7.322776752168682
14 168 14.87983413128499 0 0 0.0055519567284412884 3.473224074922711 0.015539281257033589 5.870510842819628 6.2109962979286735 8.769560314250999 1.735284252383224 1.8007419049505282 6.291292585579038
15 180 15.654782596052073 0 0 0.005839171107965086 3.6334171792632652 0.01652647566739428 5.846328208034759 6.4393364501794546 9.270962898819471 1.8099430962946146 1.9338768652884566 7.252256372711138
16 192 17.195890800262 0 0 0.0065484748363396515 4.064413717331611 0.017823768530256474 6.382213645424269 7.158548904144701 10.841328022353345 1.9646393886293998 2.0726239612278516 8.328076514584566
17 204 17.700441496373475 0 0 0.006633280750382542 3.9885338329010707 0.018310373475148207 6.406704947757059 7.480878684965403 11.449393009871498 2.0394619690668923 2.1573580270355537 8.85381401288312
18 216 17.423099054962535 0 0 0.006597471535182416 3.695695119866209 0.018053069671239676 6.4448599471364405 7.56207755044776 11.189869196821443 1.9593744090627094 2.1383714498874546 8.401856957928153
19 228 19.246313078418197 0 0 0.0076416451944062835 4.222502395137493 0.020291336092535976 7.207722278474848 8.241342325121504 12.094496013625276 2.0652383035847013 2.3686423698471453 9.661518428742443
20 240 20.32750015185212 0 0 0.0077829719047609845 4.433078750803427 0.022928676506748562 7.45009986508336 9.238290208634051 12.917631321099135 2.1278036514744265 2.5007346249065066 10.1681779588508
21 252 23.452066502797216 0 0 0.00965741827388569 5.2056728343658225 0.02810982372080266 8.51394622388663 10.969699814431149 15.760200928536266 2.4270585607952233 2.9169144424224913 11.870568458613334
22 264 23.508741604111425 0 0 0.009782305854547856 5.181353654162801 0.028504018687155134 8.116713139018417 11.0819430839222 15.775896879112102 2.440706369818272 2.9365980625801056 11.48166257513419
23 276 22.368073334505866 0 0 0.009357371702545955 4.911760615086664 0.027420379602800787 7.380428221909611 10.376083384088089 14.955373678939393 2.37248119179247 2.6867343924906377 11.104959900737471
24 288 21.177691195797365 0 0 0.009009221198837892 4.6313926372011505 0.02563604525715751 6.628497623283835 9.688596853334634 14.206590358852262 2.2584328243574983 2.5595317944849416 10.349230365347326
25 300 18.165279349426708 0 0 0.007684095162164143 3.8645212069956556 0.021291794445206853 5.618459815841597 8.277002819846714 12.260335395850785 1.8553608290824493 2.1997639344579745 8.80471312964519
26 312 16.08085597773681 0 0 0.006667344294777732 3.4406695417554287 0.018826582850914354 4.81482395293145 7.1581114264825 10.908931945179352 1.6390775540467861 1.9492457546372115 7.501884885448874
27 324 16.387653500182765 0 0 0.006902387551968819 3.499775073791765 0.020908271675363486 4.901232423217686 7.471678737283912 11.012890742306798 1.6359291948927042 1.9882440645615753 7.419868166045444
28 336 17.240486051806165 0 0 0.007213125603304286 3.564782012527959 0.021774192469989333 5.348502121119225 7.992855674888842 11.385189115724023 1.7044802612286567 2.0645857040953244 7.466981467979484
29 348 17.68122374174741 0 0 0.007304006889101834 3.5082250076775914 0.022815178290967787 5.372452289538332 8.208966411030666 11.925357677220077 1.714926419922071 2.1019542361161965 7.454492195356264
30 360 17.925921313324924 0 0 0.007412679069074125 3.529132556875789 0.022921956835313777 5.509340042164113 8.322795792391252 12.258875228342722 1.7335134790139708 2.229040547466203 7.1850120919296785
31 372 17.294915179104 0 0 0.007019381756411572 3.347598931525683 0.021898551730152146 5.386673159132994 7.989519421281583 11.984532194971589 1.7162259991882296 2.154279771998194 7.025540568117451
32 384 17.01994655841157 0 0 0.006884844224020407 3.1956689252379977 0.021306970418697103 5.208302200743132 7.796219472559325 12.052510546589527 1.6560474364428035 2.090410859981518 6.933800771940899
33 396 16.712441793095817 0 0 0.006853732235344712 3.080790078271189 0.021348480397998373 4.965806368197039 7.579731215217859 11.792255893888678 1.6418022089769184 2.1051672100930743 6.674423832828012
34 408 17.208599818171677 0 0 0.007181632025322284 3.2092525895384547 0.02099099758562692 5.103479818129062 7.8464656937278265 12.126301142490712 1.683904036966025 2.260364196296445 7.191688263191535
