% # columns="iter, evals, sigma, 0, fitness, xbest" seed=37035, Thu Apr  9 12:50:17 2026, <python>{}</python>
1 12 18.214504771220106 0 0.5451010364044262 0.130399352046549 45.21478646209833 0.48261970557831735 120.39517298572784 133.91207627783425 330.1419397287802 -26.711679894540282 -35.072810050786906 -91.78832930813958
2 24 18.467517043921966 0 0.4516463625868036 0.10036740124903956 42.185852470309285 0.5411465576720083 129.29917099477245 147.55823736074004 341.83011221064066 -25.610662352497023 -31.85986248210054 -97.41821495199018
3 36 17.833800837113127 0 0.46565588802053315 0.14338716899996054 51.17730989283492 0.545461180025971 149.5251575277675 145.54884333933472 346.24933917615635 -31.931081738179444 -36.538349265954004 -97.18379677424271
4 48 17.665456667664373 0 0.44186026326092886 0.0910068553545155 54.822214688792435 0.20145074069660607 146.51822473805933 137.22074073507608 342.6147516810992 -31.102178936164638 -34.21138570939663 -93.69736328301508
5 60 17.687002531957454 0 0.4351221507471229 0.11420326694481917 59.96113865333338 0.2889111599053708 142.3209711177476 154.79064670591993 319.8015735104504 -28.594979199715763 -35.952417799495684 -88.64308564903881
6 72 16.314587656785182 0 0.4463863051271435 0.11745843676111063 52.04702563505522 0.2029907646923532 140.16158233304003 137.3781231279219 330.5144175236133 -29.0490247353267 -35.587105220126844 -82.56522693834455
7 84 15.76976409779356 0 0.43331016493000873 0.13412445249157928 67.10162263418619 0.3455677641586078 150.48103083904883 127.87968047770693 340.71870884711075 -31.002991966625874 -46.12230750102777 -91.06678834412207
8 96 13.955272328302962 0 0.43876425609275826 0.11380426615596301 56.89486883472203 0.2272824818720048 145.08247687648839 144.53431406622477 326.2718676405956 -29.12163431014855 -36.356335726092894 -91.35907837921978
9 108 13.623541556806666 0 0.43550008182571875 0.1146083059919491 58.85622792949918 0.3485153132949859 139.5614118336532 145.6099066955245 326.145491711092 -27.25111054287546 -34.916797362310874 -85.16409353308538
10 120 13.637576516462317 0 0.4365151050260567 0.10701918347268215 51.64238853009884 0.31482559293731066 154.62315050359604 158.41113730785972 322.8774275123569 -33.214645093570624 -41.106642528561466 -85.24549362368333
11 132 13.8531781573837 0 0.4336610030278454 0.11206552275105494 59.55986072876508 0.26879568303937024 149.14691807007273 157.7673340765639 328.0596190431601 -31.869488392696063 -38.43360224434697 -79.64685507063255
12 144 13.404310856519945 0 0.43297833020271226 0.09362400974928496 49.84485451618266 0.22556933009209607 148.77063202677277 142.9625840713504 318.6710479290689 -32.044569022063 -35.246229501604134 -83.64440758757296
13 156 12.237940321257222 0 0.4349614889862581 0.10305344757331993 57.26816877414398 0.17796721982567143 143.53683964201355 145.99528588109044 318.21022215042456 -30.118824130689752 -35.74615297405364 -78.71134678484106
14 168 11.65392600675937 0 0.43698712195080724 0.10534545683307102 51.08824750313652 0.25404826130610453 149.238953654064 137.88078995045797 321.58142474401467 -32.237678280190025 -31.719941797898027 -84.1918197223702
15 180 11.334975358778582 0 0.4321020029864141 0.11622947846337305 64.57014725779942 0.2392733636878883 150.54004982330508 151.68998791184904 314.99339120357786 -31.115149081701478 -39.365788277632625 -84.97750078186094
16 192 10.9769425294981 0 0.43289655778364156 0.118570109069455 67.28106224632779 0.17690913485284165 149.04391619759326 139.46675274263754 314.90210969786506 -30.430027118470452 -35.36193043494913 -80.42526890344656
17 204 10.717208356624333 0 0.4331091007937966 0.1203986889329219 67.61626376085529 0.24612634507145223 147.30832554824698 145.465634445617 309.4757426340163 -31.079825901523513 -38.46491086812499 -86.02106085366259
18 216 10.2010013415653 0 0.43494931736750475 0.11811136569583952 67.21548776885638 0.19777710666449472 141.4171618755715 149.08290485957875 300.3640585680817 -28.712245057610016 -42.32366970895474 -85.70948546086613
19 228 9.952886150394452 0 0.4332965340893131 0.1129390815982445 58.40271327100756 0.30669990636613875 153.02727976374135 143.01666874321 307.78468159075913 -33.20678991407095 -40.87338366620932 -81.42860534646984
20 240 10.151774388802714 0 0.43157114854457934 0.10656557115241747 56.84463192405073 0.26065589858756144 150.95035592310418 144.70657885316297 315.5431282203147 -31.583346135256676 -43.711329859680625 -82.55871389979892
21 252 11.420456967091633 0 0.4349452843069559 0.11068807693617588 57.51187105307718 0.3080358186216585 149.37184339587571 132.69865791894964 302.2740403949426 -30.23586580748778 -41.27469520952809 -85.65027028843605
22 264 11.801290818493731 0 0.43460944592424033 0.09945617743670399 61.33150012240894 0.13085444734143953 149.66935669841985 149.90518907566525 305.36157829430283 -31.629099263500684 -50.64355100675079 -84.58542230668976
23 276 11.377924902260041 0 0.4315972149127325 0.1134163041058449 58.68269020150443 0.2761799802156778 157.30617999240673 144.76776921208548 319.4135059838751 -32.93358697660647 -44.853652940227015 -86.98749284555103
24 288 11.220094253516454 0 0.4310608034942447 0.09986659975987577 51.63427907852671 0.2338131562873066 157.1328701720342 136.90608953555545 311.1863665232949 -34.00389838225703 -45.5254226399495 -81.04522237239001
25 300 11.452697670116565 0 0.4301416446964301 0.10106866428391868 53.41480653417183 0.20845204530144532 158.6521086974508 144.83909291993214 317.14759921170776 -35.09145067120997 -44.17665474375746 -78.37465776244701
26 312 11.955518719687854 0 0.4289471393628904 0.10051373795587874 51.95620265849979 0.26395877615089086 161.4379882255865 144.26607187948318 325.8387019765943 -35.09001435454364 -39.026121006993925 -77.63166244816675
27 324 13.098243044993628 0 0.42724059545051896 0.10484029057630187 56.514185541209656 0.23241583761195245 172.32358369130907 130.5479204585626 307.9047583311899 -38.72249402248484 -38.24726995640926 -75.48863005337364
28 336 12.738251783399926 0 0.4297167666368531 0.10872061119079156 55.82529102256753 0.30664583440125287 168.4843886011921 130.24111819421518 314.48705416197424 -36.70185812300178 -44.32329744810963 -82.13759030612312
29 348 11.37452506135993 0 0.4299311263847505 0.114452045325807 61.65014490092228 0.2947982914754885 156.45097564560962 129.17888207409112 310.6812747626989 -33.48484286530037 -37.16463014763924 -81.96428880296071
30 360 11.367515712907162 0 0.42768976123709534 0.11136931095298708 64.46864202799638 0.17021504677919436 170.0754274651091 137.61156897743868 317.9398532879688 -38.29331189153238 -40.41213458913538 -80.7234202663015
31 372 10.737786492666396 0 0.4285690345633749 0.09357433371108717 50.629747929265406 0.1857897245939832 172.21163963251004 136.2859995216763 317.5101168074692 -39.30466150051504 -44.52291067786211 -83.2154806184029
32 384 10.828311351489225 0 0.4281028015323237 0.09754823553330069 56.29908106408092 0.18325617718751297 176.87726693571238 127.65907050962062 305.1945880278858 -40.09486166372157 -44.159343253416885 -78.5180210534828
33 396 10.670957912558872 0 0.4279434077171449 0.09804594320176029 52.18310320666904 0.22361976655071225 167.49236833961027 130.00703201846386 309.15054119135533 -37.4681207735591 -42.70679033630081 -77.35087740073806
34 408 10.995455527796956 0 0.4270147882062597 0.11468890688286425 61.96156613916074 0.19714557147668266 176.17948949571607 124.50486838150302 314.23084455406746 -40.39113729316208 -42.116733627988964 -77.4423351469671
35 420 10.046472874047021 0 0.42821575702417547 0.1003145852589042 59.345795443457426 0.17269775333976004 172.30447373356873 131.0177965037595 319.530148170775 -39.57348126565749 -41.48492030516731 -78.90743346706753
36 432 8.953648485080967 0 0.42868536734271323 0.10863707833786174 57.935462841155896 0.2061762836223646 166.94384697245832 125.4824040206762 313.7433022823342 -36.687349848732204 -40.36630616520141 -80.72506259836692
37 444 8.294634540965497 0 0.4273296918983648 0.10221451355565993 55.60534548704015 0.2218996153411165 168.99332091501913 122.45963674880954 326.58142415058774 -38.16171161021573 -40.612902222485744 -83.95334700170645
38 456 7.323673055553666 0 0.4275925989688485 0.10486944096688025 58.203449203013434 0.19233756108354183 169.0217310138229 134.60451043063196 324.73629971784925 -38.03990259423056 -45.383080572113705 -80.83893919995107
39 468 7.488702182433037 0 0.4273762294944594 0.10496436450726317 56.63783133935367 0.1957923340276457 169.80637300014558 127.02799786835918 333.5352266839697 -38.06075880374258 -39.72885584114655 -80.99517869431826
40 480 7.779331249938295 0 0.42688714705634734 0.1030705915823512 57.544050118711425 0.1914671211354621 175.46600073570875 129.97189487220717 326.50097439808025 -40.0792785525221 -42.90818380996351 -83.23725355696189
41 492 7.039451387429197 0 0.42670941667935014 0.1034795804399471 55.65134054190617 0.20435969053575231 176.9669720237948 126.41475534229818 329.03577768963726 -40.425724270315094 -40.48150148189529 -77.62227945212217
42 504 6.873197135591395 0 0.42680231223246634 0.10899377557880714 58.20068055294612 0.22396010534680216 174.99301680634292 123.40290416236247 332.2465911136134 -39.71968273110531 -40.690073819758744 -82.32569446165344
43 516 7.059113690391057 0 0.4268160437697295 0.10760209566704051 55.91714203077481 0.26557464657693863 174.81904767254943 119.42972379487934 330.65976465049977 -40.10768816216891 -44.31155215072297 -79.88204538165037
44 528 7.342553531350401 0 0.4264191900996399 0.10973075277831718 57.977193785500674 0.22467003197219126 181.38526383451222 119.61308324936675 331.1446702734848 -41.965662258322645 -41.44444415608875 -80.06806990005336
45 540 7.348942465010358 0 0.4262746397611652 0.10648441136078228 56.55972634024665 0.22579008890308863 182.4742642102553 114.7247768992967 333.8305496354924 -42.71683675570484 -43.41628392367428 -80.6362179963012
46 552 7.1356466153320905 0 0.42634816543736676 0.10837160476551029 59.34855934128862 0.17605011192707168 184.57386093761608 117.41501927609221 328.3105731254842 -43.13515329516387 -44.016034400813034 -77.59545761640943
47 564 7.307938503456825 0 0.42628999792170597 0.10816093569867137 56.32893408239327 0.22090561710126158 187.42754352044972 115.54299273096049 330.11359168726653 -44.37203091267089 -45.69837699690566 -78.60955430869923
48 576 7.762159247083911 0 0.4247109238761846 0.11252326865640926 59.57833679512665 0.22377966344516875 184.63936030774957 111.79505476627898 333.7433062617334 -44.13084706089911 -47.45588994554694 -78.77644650242696
49 588 8.22452808713814 0 0.42447932290462786 0.1132399752357798 60.42018139580348 0.2245741689806405 188.37472304429198 113.69384549494742 330.0198104638722 -45.1343349275118 -48.11561334648791 -81.56856375997346
50 600 8.734908199034775 0 0.42387602598111696 0.10581915407169426 56.44192027399343 0.23090483845220314 188.85233014327773 108.65177248327963 323.98918763996153 -45.06528909947969 -46.298006578823944 -80.15696025764021
51 612 8.818208984025134 0 0.42402173234286433 0.10177978566226148 57.949490503835065 0.20484592201956234 188.05719018869073 106.98554146882331 329.1882517290358 -44.73368000960789 -45.477581275762745 -83.82541283192582
52 624 8.943382100030156 0 0.42378028471463636 0.11392115941787836 59.862929204655224 0.25105656843638036 193.70198664127366 110.45676736501595 319.1081807673396 -46.18527580365406 -49.83556559085823 -81.04652264367698
53 636 9.379371152912507 0 0.4238770916490907 0.11607411627190363 63.757108670275706 0.2361614638561971 195.86842051417406 107.93722253903891 323.2445772910547 -47.37058574558164 -50.50171065447079 -84.63112603189825
54 648 8.942706134118254 0 0.4237548074881613 0.09605971066939212 53.50534994283488 0.22294578405551502 191.8713765808504 104.14868343255323 324.35783008720654 -46.329345667859 -49.18562042813298 -79.49940833421616
55 660 8.686293405330764 0 0.4238057167087391 0.10101538534593216 55.80044054724271 0.2023758829242626 193.43406882470683 113.59842673078268 321.893983887361 -46.7526188023115 -49.787044845193506 -78.99602033454848
56 672 8.252414741366312 0 0.4237470067688168 0.10169713558928928 56.536811729951665 0.23056059194263717 196.21161544301344 110.53622486145049 320.83870363164317 -47.56688942030633 -49.70468286080908 -83.47363955144385
57 684 7.6798157374147396 0 0.42385112847371886 0.09982687028816675 56.44161092943986 0.20681268925043522 195.19340661243209 109.09504501054944 325.85494443791146 -47.482660931492674 -47.4041215045739 -81.67638820260403
58 696 7.383342027326162 0 0.42380790479759956 0.09810652329483321 55.40968860382216 0.21406671293560134 192.31912071720578 111.4895851106979 327.8205424559252 -46.432427419599094 -48.488370601217 -81.67267287932967
59 708 6.725268808452508 0 0.4237914495789359 0.09188422450619708 52.49870609076579 0.20752497654835836 193.69134287108488 112.42432940571868 326.5153033189361 -46.992661042630395 -48.877018761229216 -82.4801148692511
60 720 6.54553923384894 0 0.42369329722334226 0.10284556566241418 60.66212178821073 0.1828368919991662 192.7046982638286 113.28235472899827 316.4023630783063 -46.39633085799023 -51.157846572946895 -84.37389769599514
61 732 6.136840220169797 0 0.42364475022483083 0.10087024787341436 57.991732285290276 0.1965639759703438 195.01216449416455 109.3351270490613 314.3229404859829 -47.21596371634089 -50.26872661091646 -81.63479556204804
62 744 6.142621119814427 0 0.42357378901938336 0.10668557835157293 60.89421907832979 0.20307866889348886 193.0802656545119 111.75513405695459 310.6501261707985 -46.4800515383213 -51.26328115629224 -82.23001820193016
63 756 6.255923820715922 0 0.42358137039653765 0.10495968930757572 60.64230391772753 0.20449180830963623 191.1962006395304 108.88034927410537 307.5509675299152 -46.02910317069317 -50.204689697842426 -82.98204094108296
64 768 6.024906023378659 0 0.4237385145521291 0.10777145597779868 61.12496968557063 0.192812120860495 191.2409548902933 111.90173675767332 317.08140400066145 -46.11799590770099 -50.85371367362955 -80.65176231951972
65 780 5.996452585442051 0 0.4236939219366693 0.10678308332644189 59.43144075480504 0.2268510982775403 191.50432662964667 112.2078056842894 306.62973891357586 -45.789436286692975 -52.55381788349166 -85.21564174348687
66 792 5.667680185570871 0 0.42359301659671345 0.09897528328802058 56.01998761590488 0.21166303105263345 191.677459551113 111.75382748494873 306.7889017084093 -45.97137469409109 -50.9274034613127 -82.30224178046767
67 804 4.670797403552499 0 0.4236367591652337 0.10759763412848002 61.8165840091353 0.19887519888106228 189.34711086657526 112.75537810776984 308.3673526420553 -45.29775364990479 -51.22136265549301 -84.7921804203513
68 816 4.182520252185351 0 0.42360572999424206 0.10592438389236286 59.56704969172757 0.21502884286952084 191.2354922790177 109.50795013304376 307.8306002297077 -45.68641184399431 -51.77103073902925 -83.13781745068391
69 828 4.652218665530247 0 0.4235556302417929 0.09948200325953313 57.56033278220125 0.21947105130096606 192.5377798905974 109.21717902630799 305.9492370008332 -46.38799502066541 -51.016537473483915 -86.25966129779654
70 840 4.7794176350687385 0 0.4235624399332909 0.10290145698372288 58.756013672701904 0.22688223572033003 190.12615975219984 115.4408693872413 306.39704348145284 -45.60351848353501 -53.86751524579132 -85.53226276057077
71 852 5.150971339593938 0 0.42354685779896006 0.10261307321341463 59.68791010820392 0.20943645868853258 193.4263969136469 112.42983645206454 305.81142058199765 -46.61847427415002 -51.20477593680006 -86.6728599236024
72 864 5.037325540685829 0 0.4235696660404331 0.10319878707438658 60.71510983802545 0.20929250696749924 190.3970311448014 111.9261477223823 307.04005287000655 -45.733508356858664 -50.928947258592416 -88.40355233886078
73 876 5.030585217443134 0 0.42357669273043586 0.10545849274617275 59.76706425248053 0.232610662997367 190.23507261198603 112.62771928414327 301.0193048780425 -45.545535193997395 -50.41953894029443 -85.48515414481821
74 888 4.865372667636573 0 0.42354028915320896 0.10224943557907787 60.169373551111185 0.21572527773953798 190.27065339011028 108.63194784692774 299.55326087685484 -45.59139001649147 -48.60842395939249 -87.7376110726193
75 900 5.294799829188519 0 0.4234873245374302 0.09812832865913056 56.95208134221342 0.23170774414798465 193.52644134733072 107.6410639137964 292.8725542420153 -46.68389451235207 -50.68815494609471 -86.05236260681228
76 912 5.850221590600468 0 0.4234717428773964 0.09720538256697049 56.75917460993566 0.24072754322123097 193.57153455983413 109.71539300885063 288.59612232926156 -46.67052457486493 -52.02428804278728 -88.87229163712647
