% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=12345, Tue Apr  7 17:23:01 2026, <python>{}</python>
1 12 19.81834032867098 0 0 9.828511687947788 9.984836500673559 4.841684031908102 0.6166717998976226 0.5864520349053267 0.09925665806788815 0.39474856127831576 0.2935062459854335 0.397115580878918
2 24 18.498530291745613 0 0 9.194163169058317 9.280462755749179 4.529023978840122 0.5617506694624855 0.5469114919878856 0.0911165683786865 0.3634546305603571 0.27094761875097967 0.375205260189559
3 36 18.80416103921702 0 0 9.384883534164485 9.571162550104152 4.617676667166171 0.5801650904195019 0.5473256198442576 0.09212497492173763 0.3690277501629067 0.27328981740578717 0.37844684100672793
4 48 21.134897550358815 0 0 10.903972199862705 11.191991015855494 5.457301950123104 0.6756708797275073 0.6196798915001147 0.10416260241866378 0.40892809396610275 0.30177033560193633 0.4192072296742703
5 60 23.4036500577397 0 0 12.382524873840069 11.871133329259235 6.1276400596337295 0.7558174127784679 0.6708864918236247 0.11666666666666664 0.4809212523293902 0.32679416442025316 0.46512546621507556
6 72 25.550887239803846 0 0 14.166655657676232 12.51649777423823 6.84596156352971 0.809324632369432 0.7230327178337439 0.11666666666666664 0.5169021220747427 0.3555433478005963 0.4941450243135299
7 84 30.660245162657755 0 0 17.23353006787588 14.116177991955592 8.12914442982332 0.9958889922270999 0.8702868463934724 0.11666666666666665 0.6312851247731077 0.41869514022910004 0.6003625994538223
8 96 34.38953802213731 0 0 20.271979045851804 15.392661493448221 9.048699608024394 1.1298854551769855 0.9734637875891592 0.11666666666666667 0.6333333333333333 0.4699773849910835 0.6812286130844675
9 108 36.98736570027719 0 0 22.701471829274396 16.110505905677922 9.560327606965838 1.2110067507344016 1.0210203391907204 0.11666666666666665 0.6333333333333332 0.4833333333333332 0.7290030995926324
10 120 38.62604892891852 0 0 24.44065496443652 16.52547705035904 10.192874548644966 1.2448086190415122 1.0696285640169623 0.11666666666666664 0.6333333333333333 0.4833333333333334 0.7333333333333333
