% # columns="iter, evals, sigma, 0, fitness, xbest" seed=49380, Tue Apr  7 18:20:19 2026, <python>{}</python>
1 12 18.350052209055686 0 0.6764946173373122 310.24791011549075 287.3975681157493 15.374111448056833 2.0897629328413756 4.613696375327882 0.40205599728956054 0.7380993460086229 0.46511266570818954 1.1994675333933955
2 24 17.428444418511543 0 0.7264144118844382 311.14184852815845 273.3666956032322 18.41820314115635 1.7247793396859972 3.78818236261592 0.1869531306722138 1.2352136016537694 0.7739099376036738 0.8555576075457243
3 36 17.207431648549527 0 0.5965586790248192 304.5927293270349 278.1390396885591 17.812604777932666 1.728194973529417 4.40133365606362 0.19850872044571016 0.8653478294157155 0.6725538627954455 1.0995139732119033
4 48 15.903161558259965 0 0.6245685081670672 317.91653727043405 278.94487102873325 22.970143591068506 1.4506777251524783 3.907903445824382 0.12698926546576383 1.7448758338357284 0.3554683856784598 0.733010004838168
5 60 14.287024664250488 0 0.6125306584043502 318.1998379593285 275.31540760634743 17.104754484236285 1.4371014955435357 3.9219083236534806 0.3222523292625617 1.059713633795217 0.5352819266073221 0.7583230748614473
6 72 13.252472306925391 0 0.6386961067017272 318.6559125686491 285.77254296583317 13.98318279696931 1.8199530253267298 4.266472636788595 0.19096551588330724 1.1748995730372815 0.5542746177534461 0.8350514520390369
7 84 12.034491995744775 0 0.6136533382554308 317.711159554324 279.13874509355884 18.479029697708462 1.7081454612665932 4.395985949593652 0.3164691921611769 1.324254501313684 0.3788155129542415 0.6861626374643799
8 96 10.703000210580537 0 0.6069792131024339 319.95077387961214 287.8525399185706 21.696098070647047 1.701138718939585 4.266948836176575 0.2790584653443331 1.1793869038574727 0.3713667737493951 0.6542425986001436
9 108 10.034020574178834 0 0.5866092491048697 322.79252321112244 286.14313586144414 18.990903158578472 1.6134534046901212 3.9656957764576166 0.29077162577310484 1.0764076728628473 0.5142168196745892 0.6306285529482658
10 120 9.617892488689213 0 0.5784913129477736 324.96453696328626 278.0824696081894 24.780158719501863 1.362834201571801 4.195468117648496 0.1837168102184886 1.3911278315691282 0.4662279621073203 0.5060055800044314
11 132 9.205050627312563 0 0.6108090412818727 321.12823560775286 282.112517647672 24.08689875373619 1.6170572449908225 4.146647690555811 0.20946805099807567 1.259002291245601 0.4337631111842569 0.44080975737722694
12 144 9.103503736998258 0 0.5771986675068791 329.4538899324069 285.3993010824583 20.0638181295618 1.4925005463630951 3.9219384918557725 0.24396110777963428 1.1049560643644236 0.5005913574426127 0.45785177806069977
13 156 10.279634017907368 0 0.5865393003180812 329.2961274938728 283.29554926629004 21.815295934536234 1.4548508612471673 4.226438215398738 0.2777894961901535 1.1843639876220395 0.48859749093746696 0.3577134340359977
14 168 11.15372723117354 0 0.6472315609540296 328.7207487176744 282.56272583417086 22.298709554908644 1.7603420581881473 4.805532154839895 0.291773962127131 1.437885954052036 0.438001426789967 0.3085312922936466
15 180 10.482705919566715 0 0.5941252074045645 330.64197242300133 282.43347662251955 25.07272296232966 1.4160610253634085 3.689645019794259 0.30596758633802407 0.9148203669878486 0.37681382246930845 0.3379473929103352
16 192 9.440926001637173 0 0.5979502276462614 327.088968939981 283.92017107807317 23.319682761541852 1.527356734895277 4.471041279708863 0.29647893002054354 1.0992678015092963 0.3208730516953737 0.31895173891124684
17 204 8.305636466076603 0 0.5923065097562397 331.71893639316147 283.20334452429785 23.704234261265185 1.444479020215853 4.196472077857497 0.2713368350373013 1.214656519476084 0.4984858895122382 0.3020561570146183
18 216 7.77238926733579 0 0.582524886753548 330.2179959328469 280.4495573176879 23.837648191440493 1.3457936318536863 3.9831575004175965 0.26222626574960184 1.2974476049159722 0.4429686027988975 0.4617455844011644
19 228 7.452866265263369 0 0.604662905784584 325.7848989732239 279.2867188164798 22.820132120055188 1.573668220852501 4.458628329813354 0.28646890264629477 1.3531326857135952 0.450098373946599 0.5320519030514248
20 240 6.730935659044934 0 0.5891199208541925 330.29785789802116 279.6148742495411 22.339599672787873 1.4211464080354825 4.141891337529673 0.26360657438069013 1.3385403777173894 0.49545740053749615 0.5954165261808672
21 252 5.815508750859754 0 0.5965318882224809 330.2904428130097 279.05985177104054 21.758789824779207 1.4476574462315683 4.180462240013176 0.3342513696266298 1.2341624087447383 0.5532115183536148 0.46429317045845087
22 264 5.492569522660928 0 0.5932529161177533 326.60532436494145 277.4432849907736 21.175147283874406 1.472526721716456 4.164452318417069 0.311735320188357 1.2355625572910327 0.470399836432399 0.5390409080658161
23 276 5.760017443397307 0 0.5774420775652183 331.05012839671826 277.36474316713014 20.402801275463222 1.3441421264741589 3.8203812942089863 0.29831073404320846 1.1034934944330383 0.5490400177836374 0.541268689322907
24 288 5.917471375324323 0 0.5679297354219153 328.95273492226494 277.79211617375546 21.467219602460766 1.2990211027838148 3.792157653729036 0.2543860657455159 1.1639718129603684 0.46907003076957754 0.36477501799944
25 300 6.425668935106778 0 0.5827035386704226 323.96919890592926 276.41397817422904 18.886534385991233 1.2966115155826468 3.895672046614836 0.25198463458623543 1.034785971223116 0.501528804957389 0.48769656028465
26 312 6.744386168820969 0 0.5835174803716064 326.724206676375 277.0834263978758 19.0461410339549 1.2852548546063611 3.8919635187281885 0.24243972979423692 1.2432038110092984 0.5247148652456585 0.37063975110483993
27 324 7.197762375927974 0 0.5733598891920415 332.75434261418707 276.8134866369099 18.57989109064672 1.3214122296243314 3.953591580848688 0.24457959062733223 1.0952074734867412 0.5174104631281662 0.31120459879284756
28 336 7.252337460878718 0 0.5688846530383764 332.2054274018988 276.88703015064766 17.85841884298966 1.271748407301684 3.714466848688719 0.28364868942826393 1.0019760323047135 0.5284026288293886 0.3017390151073604
29 348 7.533655532717297 0 0.5658289698277742 334.8327933354436 280.8867217477852 21.444759529106467 1.276788672892882 3.43903299144523 0.21760767244573448 1.0022201020963186 0.4655353334773613 0.3159983142700733
30 360 7.644781877127109 0 0.5610561238436855 343.00242422575906 282.85558730679514 21.499193101756028 1.3261384822400502 3.591853115723008 0.22975544747767843 1.1291694451455039 0.41200197401322375 0.3140235810045078
31 372 7.870211244073848 0 0.5584295836501307 336.62979624551247 280.6341272734721 22.390482873349715 1.2326199352951195 3.4692680047802424 0.1805551151765403 1.2524117659453402 0.48849774164040033 0.3257256671672842
32 384 8.643482019104619 0 0.5542517772712863 343.4421776188775 284.2835918688481 22.020989370525655 1.2778372213464717 3.530320352091806 0.19667934810514487 1.4707631094148357 0.5021472635365242 0.44829451376522966
33 396 9.394931785131686 0 0.5509618473457669 345.88846989131105 281.9015306732665 20.249195650917578 1.2815094356006975 3.6161836022092544 0.13391634814106387 1.4922960780933183 0.45475706726294046 0.5663143716808476
34 408 9.43855940330092 0 0.5612182027230187 342.7822357760959 283.09164349342086 19.78640832286539 1.190467581553752 3.0202237976010387 0.11513741156036707 1.5511131921863128 0.4518167344083753 0.6018989085938791
