% # columns="iter, evals, sigma, 0, fitness, xbest" seed=296721, Sat Apr  4 02:41:21 2026, <python>{}</python>
1 12 19.806170996024836 0 0.26375800074177597 303.9440064587473 269.1169724030296 24.470968453551105 0.501458915978562 5.0330518522832675 0.3256383354497666 1.6422944287944845 0.7599004503227864 1.0073710529012778
2 24 18.26458892343582 0 0.11630930088052684 306.91015474928105 291.1613819562537 22.983410833473926 0.8427047093153193 3.960007560351355 0.22988153835113057 0.9292763173959878 0.5853019305142151 0.6425485573480317
3 36 17.927919069356147 0 0.13244757792611447 305.2875864231315 291.7797387068395 21.84163637739008 0.7478876178941818 4.488243512482851 0.10508209451893558 0.6800965164611034 0.7078364549214543 0.7549454268929309
4 48 17.996381819510347 0 0.0903522937035971 293.6183150795414 282.76025698319995 33.65614437115283 0.6167013557201098 4.419475705036465 0.44767504264691693 0.7527520594748837 0.5609731256882483 0.6502864569060409
5 60 19.58159182539221 0 0.10347994157363337 308.45054968601755 300.68147809655494 27.83841790447393 1.0911923851578211 3.6799733094901033 0.2066097493143596 0.25788835344023053 0.7841829121076258 0.876575768878479
6 72 23.508760561608813 0 0.12098005157184714 321.90814786911653 315.53682466748114 29.330780747018473 1.106658095700862 3.9048444243288807 0.3391737895929868 0.1403231673189349 1.0825913673493426 0.4720964106490945
7 84 25.418638462007454 0 0.10830100463174089 327.3831195261046 306.817716787488 29.446318850003063 0.9971940477541865 3.376255924072773 0.40989657178115557 0.7332617514706121 1.0390653639989975 0.30019488747406947
8 96 27.212237299454035 0 0.0960820035352203 341.2322620680043 303.4413655968767 26.427931427118697 0.8316773733955957 3.4521794028769803 0.4183864789436546 0.710516679829716 1.0361718303498273 0.5240592525722007
9 108 26.426722868641633 0 0.06025797984870128 320.08766893354647 291.92683589735185 37.422351782631495 0.7335955603147355 3.441951129586534 0.36478045952719285 0.5573810641624978 1.1206864778339392 0.5018482022021726
10 120 25.29069929110173 0 0.06303903114126679 316.4177868199207 304.9378731721065 25.130273553064473 1.0524210604362478 4.82198800900225 0.44291576959914813 1.134304447525726 1.4464248299056863 1.3959726708520137
11 132 23.87278003188461 0 0.10936492578572894 314.93279363621235 305.4342190628264 34.80876331225138 0.898757711222778 2.899281272895892 0.4366105988542151 1.18187065062948 1.1705263116219746 0.5295293086268789
12 144 24.227565429088475 0 0.092738020607146 312.6865404839889 276.19708314379113 21.714305104760758 1.5995611703924695 2.973712231632377 0.44775619884803286 1.263317539716314 1.1027314308528453 0.4387128026310807
13 156 24.33464747077289 0 0.06887152679730833 337.92284893387574 305.96911740641895 13.762539396724357 1.1766768424704561 2.7646996386424725 0.41190876828907036 1.0750572241818066 1.4615404838123787 0.45515272835184023
14 168 26.086995804569842 0 0.10054298955542013 343.9796285725909 312.50154181796404 23.716716468954612 0.7145363734933828 2.869864026705211 0.44934078060200494 1.1210524994154683 1.479931685631204 1.1543621620620448
15 180 25.779236141829944 0 0.08694772133058068 332.0185339230849 299.79822789799596 19.102697490964164 0.5136010063436642 3.869122076994151 0.24375561497383733 1.7741714462682159 1.4210549144356879 0.5607259827437862
16 192 24.298923761046677 0 0.09977922292809581 347.2962711460506 305.31549849796454 21.50049358808689 0.8714321940800739 1.7543786588149397 0.4478768431643454 0.8843237984991351 1.3565018709044145 1.2336230278573403
17 204 25.042330708906626 0 0.08210636672823947 354.3572562689758 293.8184457244337 26.075013854393248 0.5258330693837557 1.7120003027629966 0.34981800499624127 1.5772117545398472 1.4980140299757982 1.105054886200315
18 216 24.372045267863612 0 0.12077510117093175 340.7588775942862 294.00009587926917 25.663415838727957 0.6106235619170837 2.255893247544183 0.3378522657094404 1.951334812545084 1.2183827429714404 0.7521878140459648
19 228 26.94743517558541 0 0.11173065648582688 321.218809086406 276.45194504251566 19.65811566411776 0.7773908603263282 3.1248347982453635 0.44727675656300037 1.7309638577688944 1.4859093877749958 1.8797126863743514
20 240 30.428676009420712 0 0.11602229444103596 297.45079552765674 275.06491344615864 25.98766312413752 0.6180891165179829 2.580641097484583 0.35317285646899754 1.798510256464364 1.437799381391493 2.0399520137650025
21 252 29.905901321051225 0 0.08839976586080227 302.3409022623034 292.0262615116947 21.626689596192268 0.5511437696436987 2.269055359716794 0.44995495669136937 1.7573764006604706 1.4985914712327757 0.8465519023609003
22 264 31.692119709302037 0 0.09189676166575682 291.7385476827756 304.50075695615595 12.96736517144414 0.7774697637508869 3.377078565449448 0.4499948338103472 1.7001137039204208 1.4091413432316102 0.6848026866877095
23 276 28.6009151963986 0 0.05847411694364422 302.65128461130575 288.9540208751853 20.19983507134816 1.235401667395865 4.2541718567753835 0.3849132042882726 1.510527159027367 1.4942833858474218 0.5721311583022902
24 288 30.143449859809504 0 0.06718842403696679 292.26870214028025 290.3514540186804 21.883240773714334 0.8954595850706312 5.353057201122976 0.424640728507984 1.459896053882722 1.29028706300093 0.6873467851775659
25 300 33.856664569693166 0 0.08069377279289681 296.09023185702006 283.2023227177785 19.568467771832225 0.6365861107115057 5.859962047259605 0.2838882727299191 1.3289184011433228 1.4834941152189356 0.7564971807947258
26 312 31.638802794162544 0 0.10454263341484803 310.6852908875549 298.3508694093891 13.87590445612155 0.9111109465092944 3.2600043605689732 0.2683710906579698 1.620087749874099 1.4448586525311178 1.02654225410699
27 324 31.03976093885465 0 0.07362706012151994 289.3177932150195 318.1197632667312 10.398707826568923 0.658328125267062 3.7562331274833354 0.37874415334756173 1.2948833794121843 1.3042695452721502 0.5699267156526358
28 336 28.15934576083876 0 0.07552195337658905 311.2415112773056 298.65072627561466 21.46537958691404 1.0529235179796108 5.212374107216295 0.3927356885291887 1.615148104187571 1.041378103328598 1.530863315219543
29 348 27.73324752321752 0 0.0840735511395088 302.65354525909805 314.472565100984 5.609804084029939 0.5280149093238041 4.493189351709548 0.3929113312521876 1.167077424420661 1.4654588938946531 0.6157618223251868
30 360 27.142664214729642 0 0.11412942050539075 280.93426402129376 291.82110605252706 9.521423995236912 0.5335996251134154 4.889840954546721 0.43646901604580374 1.0956945231772595 1.4844961294623393 0.36916259337563306
31 372 27.6384645923022 0 0.07415450030106996 297.95353208243074 311.8751583390253 6.798069696461853 0.5743895212096579 5.093984249957558 0.4318111134156066 0.7884649800401182 1.354078842713682 1.0458084463878452
32 384 27.653728323023735 0 0.0801758554468472 287.1572595122579 297.2908328036682 14.51522351156408 1.5190624960809158 4.863979437186811 0.23303491942123533 0.5671125812231085 1.3629742813852987 2.031221807643446
