% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=296721, Sat Apr  4 02:41:21 2026, <python>{}</python>
1 12 19.806170996024836 0 0 9.811197127785112 10.033635423553363 4.945439075160911 0.6067743790858352 0.5656456364259729 0.1015235999239 0.4140262617148048 0.2815670356526566 0.39578021758873044
2 24 18.26458892343582 0 0 8.859422925953833 9.395883863169276 4.487930180787595 0.5595990366805641 0.510672064746252 0.08993018431472645 0.3799843688811173 0.25660840644998967 0.35324875091662744
3 36 17.927919069356147 0 0 8.487980791104139 8.835866390033457 4.470166518034782 0.5442193461038342 0.49341755247129077 0.08964355691091386 0.37232589392879895 0.250428385343644 0.3475434287922144
4 48 17.996381819510347 0 0 8.551271241673797 8.674847000970503 4.521269325500034 0.531910922179396 0.49129599001813745 0.09983035281839349 0.3531716045292757 0.2525067301262771 0.3545034330978722
5 60 19.58159182539221 0 0 9.415263414653644 9.879084232032781 4.795741609155249 0.5934259840830471 0.5416531619240441 0.10816799464886648 0.38913152659381295 0.2725487709241614 0.3946044475038812
6 72 23.508760561608813 0 0 11.403508447878103 12.437261164316986 5.7105598019129475 0.716124336029157 0.6485918477543984 0.11666666666666665 0.4726258492396598 0.32814255892224353 0.461480404952886
7 84 25.418638462007454 0 0 12.117451583822072 13.169784552548316 6.261138848257451 0.7578175456703634 0.6972471370162182 0.11666666666666665 0.5037004865392565 0.34022645994950446 0.4895448547481403
8 96 27.212237299454035 0 0 13.100572899749311 13.902421537677744 6.725608651409655 0.7942221630951949 0.7643332629123715 0.11666666666666664 0.5186133290602033 0.3602405085178401 0.49690682902461875
9 108 26.426722868641633 0 0 12.559064451233104 13.05356276244235 6.650566981507455 0.758463144294445 0.7427964846223448 0.11666666666666665 0.49087825585428785 0.3512832492061862 0.471026338439924
10 120 25.29069929110173 0 0 11.904481366523532 12.229536832581468 6.347912239743494 0.7173099110430626 0.7036065447392212 0.10944341137434027 0.4645101192654291 0.3319274367011766 0.4834565540783255
