area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid
V1,24c+32,"38,28",-0.3654400104910766,0.003786,0.9480515603745229,0.015773,1.3134915708655994,0.011987,1.3015045708655995,True
V2,24c+32,"38,28",0.0118090994015429,0.043747,-0.005001270320167131,0.039852,-0.01681036972171003,-0.0038950000000000026,-0.012915369721710028,True
V4,24c+32,"38,28",-0.6310155839913804,0.096906,0.5609747855203517,0.01233,1.191990369511732,-0.08457600000000001,1.276566369511732,True
1,24c+32,"38,28",-0.2018769774853945,0.054903,0.0895493492181638,-0.127009,0.2914263267035583,-0.18191200000000002,0.4733383267035583,True
3,24c+32,"38,28",-0.8730716936762427,0.04628,0.3255111712996604,-0.000506,1.1985828649759032,-0.046786,1.2453688649759032,True
MT,24c+32,"38,28",0.2837726654633429,0.175566,0.053210473699613334,0.03625,-0.23056219176372955,-0.139316,-0.09124619176372956,True
V6,24c+32,"38,28",-0.0144717349644775,0.139254,0.05568110011818914,0.217226,0.07015283508266665,0.07797200000000001,-0.007819164917333365,True
DP,24c+32,"38,28",-0.534357985245034,0.199567,0.3013163224822001,-0.259572,0.8356743077272341,-0.459139,1.2948133077272341,True
TEO,24c+32,"38,28",-0.6533513883825259,0.031259,0.6342702588881178,0.072362,1.2876216472706439,0.041102999999999994,1.246518647270644,True
8m,24c+32,"38,28",-0.0534280634471067,0.175673,0.3526958691334727,0.165189,0.4061239325805794,-0.010483999999999993,0.4166079325805794,True
F4,24c+32,"38,28",-0.2562527998612607,-0.015774,0.5500051354503233,0.135711,0.806257935311584,0.151485,0.654772935311584,True
5,24c+32,"38,28",-1.1659723662245003,-0.026274,0.5106740335051669,-0.164674,1.6766463997296672,-0.1384,1.8150463997296673,True
2,24c+32,"38,28",-0.2115208329751677,0.088933,0.17645928578976267,-0.059867,0.3879801187649303,-0.1488,0.5367801187649304,True
8l,24c+32,"38,28",0.1008944412228056,0.16706,0.06179980411107052,0.064032,-0.039094637111735074,-0.10302799999999998,0.0639333628882649,True
F1,24c+32,"38,28",-0.9132014473390392,0.023885,0.5770593638519267,0.014027,1.4902608111909659,-0.009858,1.5001188111909658,True
STPc,24c+32,"38,28",-0.2881127222517029,-0.004758,0.35433556006562317,0.021164,0.6424482823173261,0.025922,0.6165262823173261,True
7A,24c+32,"38,28",0.0876325584812345,0.03126,-0.1052690786900592,-0.022945,-0.19290163717129372,-0.054205,-0.1386966371712937,True
10,24c+32,"38,28",0.7383862799367359,0.313056,-0.1448687845366221,-0.259452,-0.883255064473358,-0.572508,-0.310747064473358,True
F3,24c+32,"38,28",0.6416441204309686,0.09415,0.8749717896769369,0.073127,0.23332766924596826,-0.021023,0.2543506692459683,True
TEpd,24c+32,"38,28",-0.508077174776269,0.016372,0.7792573018934797,0.111161,1.2873344766697488,0.094789,1.1925454766697487,True
46d,24c+32,"38,28",0.5071955235149366,0.337073,-0.2539768497289902,0.036685,-0.7611723732439268,-0.300388,-0.46078437324392685,True
9/46v,24c+32,"38,28",0.3360098867767933,0.2712,0.18020131735895714,0.097202,-0.15580856941783613,-0.17399799999999999,0.01818943058216385,True
PBr,24c+32,"38,28",-0.6326341762942919,0.032065,0.5251232379987562,0.00353,1.157757414293048,-0.028535000000000005,1.186292414293048,True
9/46d,24c+32,"38,28",0.2926279869064505,0.245636,-0.3676255536862758,0.079916,-0.6602535405927263,-0.16571999999999998,-0.49453354059272636,True
F5,24c+32,"38,28",-0.5667065038434379,0.081314,0.6446653187035347,0.149549,1.2113718225469725,0.06823499999999999,1.1431368225469725,True
7m,24c+32,"38,28",0.3726939703340577,-0.082866,-0.30334260635350896,0.047937,-0.6760365766875667,0.130803,-0.8068395766875667,True
25,24c+32,"38,28",-0.2773884461016035,-0.168438,0.6522230187274046,0.142877,0.9296114648290081,0.311315,0.6182964648290081,True
LIP,24c+32,"38,28",1.0622868466126174,0.063567,-0.2084877215581584,0.037658,-1.2707745681707758,-0.025909,-1.2448655681707759,True
32,24c+32,"38,28",2.0,0.812202,1.6024211201302485,0.704386,-0.3975788798697515,-0.10781600000000002,-0.28976287986975147,False
STPi,24c+32,"38,28",-0.4600726250824405,0.028622,0.3942821153120351,0.059489,0.8543547403944756,0.030867,0.8234877403944756,True
9,24c+32,"38,28",0.7100985861602583,0.358544,0.17902047381128278,0.145686,-0.5310781123489756,-0.21285799999999996,-0.3182201123489756,True
45A,24c+32,"38,28",0.2468294034970128,0.22115,0.059334033175456505,-0.163953,-0.18749537032155628,-0.385103,0.1976076296784437,True
8B,24c+32,"38,28",0.5192693907928242,0.223581,-0.3152537501659208,0.060359,-0.834523140958745,-0.163222,-0.671301140958745,True
7B,24c+32,"38,28",0.1148798878646711,0.111312,-0.11812379402904431,-0.018539,-0.2330036818937154,-0.129851,-0.1031526818937154,True
F2,24c+32,"38,28",-0.8003818598313399,-0.024718,0.49260501822420016,-0.00053,1.29298687805554,0.024188,1.26879887805554,True
F7,24c+32,"38,28",1.1626537875281504,0.25606,0.09369107957721226,-0.103096,-1.068962707950938,-0.35915600000000003,-0.709806707950938,True
ProM,24c+32,"38,28",-0.5328134940253315,0.004375,0.5590771498185153,-0.007453,1.091890643843847,-0.011828000000000002,1.1037186438438469,True
STPr,24c+32,"38,28",-0.5936086266618994,-0.05701,0.41335750494474416,0.079456,1.0069661316066436,0.136466,0.8705001316066436,True
24c,24c+32,"38,28",2.0,1.081141,1.3238989115253752,0.998232,-0.6761010884746248,-0.0829089999999999,-0.5931920884746249,False
OPRO,24c+32,"38,28",0.0472017200786568,0.176695,0.7675666167856948,-0.01692,0.7203648967070381,-0.19361499999999998,0.913979896707038,True
