% # columns="iter, evals, sigma, 0, fitness, xbest" seed=12345, Wed Apr  8 12:16:20 2026, <python>{}</python>
1 12 18.26509508485649 0 0.5548723574093193 0.1615438922757127 44.8073333523211 0.017286756146417056 132.22184968404562 139.58379997717162 320.0918598618391 -29.549564657285273 -33.04012916890343 -94.69993052845031
2 24 17.71426371901229 0 0.6417270909419046 0.10948132623476957 59.49194897474635 0.2372503021868214 132.89204047326422 130.61122115146597 342.3001358281858 -24.641266215147454 -34.98412125729162 -94.24594184237073
3 36 18.087340770839916 0 0.6298499869050369 0.10947129634632606 60.723959041004946 0.4310263249479484 150.9269178739195 127.87946964125229 332.23827440332815 -26.359402627152644 -38.77473043428179 -90.48481983002446
4 48 19.37041613036744 0 0.6369185133016253 0.11977073893120653 51.20161554762044 0.4643249992049674 150.6282699483694 131.85353015980428 325.81097596510966 -24.45404443126899 -37.884056771526595 -104.35970359197363
5 60 20.349088667994604 0 0.5143624048793869 0.09720630894273817 57.84646551180147 0.010623468305334068 146.3148443743953 122.75259003052524 326.5402036773279 -17.603802449732747 -33.87046893688683 -103.00755043092241
6 72 22.68296727682325 0 0.5092761529638155 0.1311114786275257 55.283430912417 0.010609616717598752 164.1235664197377 124.4639084379076 332.25381966810386 -24.162237952779716 -41.67258460621745 -102.21620216026247
7 84 25.443495524289013 0 0.6261992653488475 0.09976417580189305 62.94793198786887 0.4316646135829031 162.00672291973913 123.14138672131827 327.61159566057665 -11.435019387842953 -43.453514329103086 -102.69626065171917
8 96 30.37306465115687 0 0.5235950229286266 0.08450210699665961 93.013083977298 0.010016625214220714 160.75294222996578 128.19038720797903 306.4722465400184 -2.2744784547349646 -42.81709697725636 -108.89810637840615
9 108 33.09851068251041 0 0.5269720981313186 0.1143670259232529 58.1510032839211 0.01552285617278185 178.51402396485275 102.22125251233773 345.24286270265645 -3.7944172588899105 -47.70019779935788 -110.31873027590763
10 120 34.03542020363194 0 0.5822948361452784 0.1092207131705398 79.3020773378589 0.024419501433146175 181.18060666093047 108.42563549160893 343.69915374881293 -6.378095059096693 -49.47791440581666 -93.02476027864833
