% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=86415, Fri Apr 10 02:17:59 2026, <python>{}</python>
1 12 18.4516486780396 0 0 0.017770571405892516 9.014146257064311 0.18385673742077874 9.180054290624394 8.997689564426922 13.890232045057378 3.714380066150084 3.7341338611073924 5.51470136444711
2 24 17.547781401266963 0 0 0.017224909064586746 8.280776402121514 0.17004614297371873 8.50355625835705 8.730179459435517 13.007487789742795 3.5019419396403686 3.4306186426906553 5.27821310632956
3 36 17.845512888924528 0 0 0.018685097410814908 8.344674260123096 0.1658089782061824 8.494523982576467 8.825476881904615 13.407499202246731 3.4576549657605895 3.564416691969247 5.247399285363214
4 48 19.97303721352605 0 0 0.023469453577995604 9.24267120837174 0.18813870421440873 9.471967916000944 10.299583669479816 15.308604698526135 3.784552367763285 3.850798658134822 5.928644132289109
5 60 21.201939117716492 0 0 0.025336306745898433 9.14264167887625 0.2004210514029289 10.19389917173832 11.791843035442206 16.115462775598537 3.981340800718967 4.059440886891435 6.103073475877666
6 72 20.464141008694178 0 0 0.024088439672207237 8.727731438180802 0.19369096589552764 9.001403364872393 12.19529865723282 15.670422268988967 3.8761675394243613 3.8804085687144014 6.04158275856776
7 84 21.93119714739635 0 0 0.025991657351449732 9.126925051209087 0.20868445014262044 9.544931571054745 13.710685980404323 17.988545850496227 4.150104653037734 3.95208569867315 6.427642787399526
8 96 23.231947852346973 0 0 0.027125716200658383 9.568125822882612 0.2148029162814813 9.988510545709309 14.866796293291758 19.884850121816697 4.449694105664167 4.296641919780109 6.599219279842999
9 108 24.27655964531817 0 0 0.028530539287490095 9.681111224474375 0.2261623160776082 10.368886810511711 15.270538214104201 20.886448367912553 4.723316502670058 4.387824381449162 7.0313520581782
10 120 24.377135377031088 0 0 0.02800287991845017 9.567107664911504 0.22273469783963737 10.393604126574058 14.293461688486872 21.12703001897686 4.888656267787749 4.38926338937527 7.067769495554766
11 132 24.542221013037498 0 0 0.02720078141351118 9.714552224925583 0.22407086798884868 10.546021841708576 14.271961880068213 23.03183449302663 4.841287055010991 4.390104814569512 6.88257733565355
12 144 25.27533066345713 0 0 0.028879953469179074 10.515396221342948 0.21896410668130942 11.078865954331224 14.396031167871898 23.6356592514747 4.916071484138905 4.50743152294624 7.0990914122406386
13 156 25.99894204425537 0 0 0.029888016945084646 10.642167545160238 0.2249819014831009 11.431323570451394 14.921340437972843 24.58224934004357 4.9291917718899585 4.6183118643094945 7.299922184421303
14 168 26.836386094045213 0 0 0.03036008843133552 11.149368961887294 0.2325246479813684 12.149762706062107 15.76134681821632 25.68698815717035 5.1033350805139275 4.612604254968349 7.554111761232577
15 180 29.468832353787185 0 0 0.033731723352216136 12.115383136572257 0.27342367618126784 13.215079322828865 17.331541064077076 28.9958319179519 5.737173226870908 5.103874773592025 8.18125883038181
16 192 35.0201091883044 0 0 0.04116522135527098 14.280581268487754 0.34152149874995863 15.906959811732404 21.36924685344816 34.68057481939948 6.803736270882422 6.124678966944351 9.646791764533749
17 204 38.49347508656977 0 0 0.046193482473214774 15.330728966214595 0.39222486521067007 17.617820778867195 22.8142628838497 37.23792586673735 7.517172225126406 6.9036900630386775 10.613771398005417
18 216 38.84673528772272 0 0 0.04698656936842419 15.645435905599392 0.39431065121074194 18.464814888687407 23.57066947246755 36.60960549895705 7.9938750837167225 6.628682241010165 10.54832417744924
19 228 45.30933113075655 0 0 0.0538964240421691 17.965770420231227 0.45868813991264756 21.405751615457916 29.29336345469334 43.364083257436 9.299460543127568 7.553428687889344 12.264122319598615
20 240 49.273420746699344 0 0 0.057753085965559 19.60296149356959 0.5071375299134016 23.34393386629462 34.425872553683014 46.15124848609004 9.90227736851519 7.879860768479602 13.003873725057518
21 252 47.82031027231893 0 0 0.05651627307334793 18.071709210945457 0.5040737066105869 22.913844491902708 33.892624394997 45.47373584127196 9.630415892566296 7.712717347800167 11.964378263837245
22 264 50.57215223796814 0 0 0.05945263534935263 19.426116090662287 0.5157578422222524 24.65748349131422 38.216805344469456 48.68221750588118 10.216226826836088 8.029034538596541 12.470237630817612
23 276 61.2751258394529 0 0 0.07081146862042885 23.499598545660508 0.6291981908535408 29.402694637783352 47.233318806103135 60.344332297637344 12.981345805382983 9.617899811359061 15.128602911816452
24 288 66.30061698988196 0 0 0.07529309628211485 25.688492021935115 0.6699859367174096 31.138129715392168 49.27158146520293 62.223268934557254 13.830321601446402 10.361480169854065 16.168535498786216
25 300 66.9531791226694 0 0 0.07576874683773813 24.54372832812926 0.6791713894733773 31.88518537023547 49.440171233627964 62.98645560599604 13.688483160908422 10.097392656102421 16.29604244414531
26 312 83.37640430223296 0 0 0.09595965096004981 30.46191245142179 0.8847757531350461 39.4170356310068 65.33039577107803 79.5949766191486 17.142984109176364 12.927764973430188 19.37365597583214
27 324 109.80013086814985 0 0 0.1226963779616954 40.984570144491876 0.9966666666666666 52.088124873721554 88.723020388676 104.51091032969616 22.33564264771018 16.535837628889563 25.511501270561343
28 336 128.14241141830635 0 0 0.13908003049657683 47.198699764526154 0.9966666666666666 58.65666095299521 101.9579000341492 122.6853103111814 26.020275039371484 19.160553964730067 28.90365258825295
29 348 130.38121766586033 0 0 0.13969949842580973 47.51165843081875 0.9760497679814881 60.65413720798931 102.03223582001894 122.12047108522802 26.452392470814807 19.656419983447652 29.19614528784671
30 360 132.19626034280802 0 0 0.13802345894606988 46.74548679663353 0.9759312792128251 62.939927186820384 99.09087869801817 121.34620299123276 26.98469263236992 19.88626625687403 29.65026713296751
31 372 130.76238026139214 0 0 0.13665344605509816 45.817543033819234 0.9449889559220169 63.841230026599554 98.3226053816875 119.47046053628378 26.607721891780447 18.99149477886433 29.79978099268935
32 384 130.60056092738023 0 0 0.13375058847447838 45.24556683571885 0.9337148224469781 64.72151699555712 92.75557334875104 123.56309836368081 26.86686712460305 19.270586368708955 30.397656767000747
33 396 123.64528050731833 0 0 0.12396734609819017 42.38163310393367 0.8616092542815337 60.602524676858486 87.54014961896588 117.909509632531 25.175770086108002 18.098551319067543 28.209465665604824
34 408 117.21510863078616 0 0 0.11439151757007829 40.002041704062066 0.7789760068170155 57.951027810678696 82.02668598048334 110.73083261098775 23.842536766498576 16.541806585390944 26.65200345260644
35 420 124.0345915865756 0 0 0.12071552372789945 42.45410539647154 0.8117004379811786 61.47709102467358 81.74798646136196 125.854752107686 25.333800851078777 17.305580628776518 29.15682372444743
36 432 111.58060954374997 0 0 0.1018323675389095 38.095921216811156 0.7146902257521813 54.667755435681215 72.12590525849917 113.83999973970072 22.90375984937376 15.316160208987194 25.507114132829194
37 444 108.23300396040429 0 0 0.09900038334432927 36.68472030876749 0.6984140371958618 52.996192343097164 66.67612534747573 112.06522925410007 22.331420546141782 15.25570528541462 24.34669764344004
38 456 107.91749080890708 0 0 0.0969891853395363 36.05655506041476 0.68934269920013 55.00968670110343 64.73800023130597 109.99247541315145 22.30924352949877 14.35463167831695 25.315203130043134
39 468 112.36073717180986 0 0 0.10137139354356085 39.367008428781226 0.7341556548826502 56.89756188356545 66.7749653890456 113.1297480782528 23.455747071595432 14.745887443966298 25.81737583492947
40 480 100.67663194809924 0 0 0.08807076922359121 36.09410079318766 0.6514497461275924 51.99168759322903 58.09351187956251 100.20629279170308 20.7100786384692 12.819627272773651 22.31823853280568
41 492 103.57032619087859 0 0 0.08926119606698057 36.71242508966572 0.6884704942858864 53.57948577174093 56.73588274698223 101.51366037506084 20.948004143894405 13.150080560719147 23.907521563707803
42 504 103.46764270495304 0 0 0.0884718219759898 35.80682613096229 0.6643150135155824 53.506214604019455 56.03768616918861 99.76853766826777 20.34488283449405 13.40276826640836 24.319897326700307
43 516 101.47947256528826 0 0 0.08362174577646901 34.464574671818234 0.6324663839691357 51.981405672240804 52.16572103465498 96.01344324193536 19.381118959923494 13.478945771677697 24.438974365620833
44 528 93.95653137491652 0 0 0.07281717447133199 31.59114970011286 0.5863381552916463 46.43056860495844 45.89299084195197 87.05749353262922 17.490267768003847 12.946913559377371 22.553600790533064
45 540 92.45133271993559 0 0 0.06842642949080147 31.045162973991992 0.5764896231502215 45.54731147409731 43.7965392209232 84.80496814869664 17.560477204990914 13.179478465744422 21.541411105555532
46 552 95.60705143786025 0 0 0.07260326794525007 32.21405927041083 0.6083236184864241 46.648847380915875 43.092357750956374 89.2248578679336 17.679063907543075 14.550406748189337 22.463510371414458
47 564 99.88680369865624 0 0 0.07765253974857361 33.81431815788243 0.6170526855719909 49.704805953698376 41.44976076446827 91.7185278876836 18.300356014375758 15.436178154099705 23.309636668483332
48 576 117.84646189375661 0 0 0.09153814313915291 40.13311265231972 0.7182810908518902 60.17795368234613 46.01361735277042 108.17870945926188 21.12277028246843 19.334102441939542 27.503408126272618
