% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=37035, Thu Apr  9 12:50:17 2026, <python>{}</python>
1 12 18.214504771220106 0 0 0.017529213473453188 9.113799972788975 0.1777668050385275 9.241455544445103 9.181830680265298 13.41876185472246 3.714479996328238 3.6439951304536207 5.050621379108213
2 24 18.467517043921966 0 0 0.017766483161063096 9.320562900202978 0.17708883083254817 8.984387346025454 9.010088622066432 13.504812423805111 3.8716492131135847 3.798013759480621 5.05884657291143
3 36 17.833800837113127 0 0 0.017848576520794298 9.029588247743275 0.17250835251929733 8.887081439213237 8.843388918885069 13.219172302199738 3.6658530079768283 3.6284658977792077 4.748562368040925
4 48 17.665456667664373 0 0 0.01768933809327682 8.867167990613263 0.1703447125800502 8.555342931493026 8.512619097986798 13.1301173183793 3.5654626371507274 3.760635652764628 4.7502912127801284
5 60 17.687002531957454 0 0 0.017242155325686306 8.698218341914494 0.16621475751550055 8.441573422140502 8.52567697570811 13.29107020150946 3.5192307571815094 3.809171993399675 4.753666218668983
6 72 16.314587656785182 0 0 0.015429168658941419 7.971851381219629 0.15122788028368703 7.5671785600239065 8.144634740905175 12.089002743365242 3.2502958114625553 3.432527702499584 4.554049278785034
7 84 15.76976409779356 0 0 0.014767770971457629 7.714417689362296 0.1444047448680507 7.393160255082962 7.902874282148395 11.630529959813593 3.036523807486599 3.480604185618099 4.382036778569583
8 96 13.955272328302962 0 0 0.013153991261310458 6.537306300666847 0.12071072118199291 6.53829581860164 7.2406102506630825 10.413513859077058 2.593187493059314 2.967150882339049 3.9275334193557017
9 108 13.623541556806666 0 0 0.012651868891800712 6.066824693837886 0.1175165180490225 6.197685675690435 7.079987950816983 10.096306715935711 2.5399503908939947 2.840047137391961 3.953367001011121
10 120 13.637576516462317 0 0 0.012487027342467908 5.870499790424388 0.11305373846961081 6.354849366464054 7.3279198379112485 9.86395719660953 2.594687195525659 2.8867021070654846 3.9572547826398146
11 132 13.8531781573837 0 0 0.012519400396896587 5.9090395839615075 0.11462960210958882 6.3784761182578755 7.419100733013312 10.035019848375063 2.5139001765144697 2.8756358963557163 4.226735823712647
12 144 13.404310856519945 0 0 0.012343079361664375 5.619538763374532 0.10856623135775365 5.972143201103682 7.2692612115810125 9.699422357599339 2.291568892889407 2.770582438170264 4.136200264381879
13 156 12.237940321257222 0 0 0.011242534982136506 5.074789308706638 0.09888745015994095 5.362155220468886 6.504585658543173 8.901039005658953 2.0005220578704415 2.534717782658546 3.8463264814087665
14 168 11.65392600675937 0 0 0.010399071562607613 4.8071768908891075 0.09103602421147579 5.064380590764081 6.300115849088875 8.399917385981038 1.897307114289543 2.4821730604700063 3.6073720479090063
15 180 11.334975358778582 0 0 0.010132596370966506 4.80839680351608 0.08780824001100392 4.830060529860046 5.9942862788674995 8.301650603303164 1.8059840944165975 2.488531874200811 3.5044642152139454
16 192 10.9769425294981 0 0 0.009668936708001953 4.885402581405028 0.084555924541715 4.644318160475738 5.734085812232458 7.843673298251539 1.7206846043619974 2.414923594165738 3.366605050633513
17 204 10.717208356624333 0 0 0.009357433334827886 4.789753963997118 0.08353692828746445 4.44946069323267 5.517602994587728 7.6755988982964825 1.6222006647205083 2.2783571901839967 3.234769324001571
