0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1378.552231842609,1381.5063291154493,1532.5204038561549,1564.6663350825847,1694.3304420169998,1509.3343738779797,1719.9509224183507,1742.645892887463,1981.9304469781553,2121.025770056709,2768.3207129029693,1901.4099538777962,1952.063249978722,2361.792245398201,1921.3088523132121,2394.05141268188,2004.3474752874133,2888.48884428165,2468.8750054557227,2402.689555210705,2522.2366767339395,2570.7485423242347,1567.5168898721793,2680.9819072804034,2387.7590116577076,1892.9950617402365,2439.037054592253,1903.0162811788455,2780.3575553710343,2859.3790784182356,2944.8834179335604,2953.7099863835015,2899.230287137023,2611.201005819352,2525.2447442292005,2693.048627505204,2609.1728469331492,2613.2614762378976,2637.0699134655797,2721.602176992704
1372.3512113475604,1371.2423691980853,1515.5618093933344,1539.3940899130996,1681.3239224893196,1490.1824885463725,1700.7851603019858,1714.2889536012297,1957.6201175335034,2129.704535444423,2775.0713698338086,1869.6823426097153,1936.381537883844,2367.7561153392458,1891.6688908822182,2409.117520742179,2006.7124356105994,2918.4017925095886,2481.6048966662293,2401.3531312356267,2543.400492540507,2594.0465756894478,1567.868559320443,2703.8519657278816,2395.145863157409,1891.3445068027258,2453.436906582647,1902.9318732778945,2803.528875702432,2887.8480305171747,2980.323878166366,2981.9663972663775,2931.94356494333,2625.49642321086,2536.4474734341507,2720.599704084558,2628.143240631295,2635.705758621313,2654.1864113336715,2738.821867391741
1371.898311355371,1371.730566419063,1515.5257823579232,1540.3465135162585,1681.5823622440394,1490.364577607368,1697.394065418746,1715.3106229090274,1955.423321241902,2132.6321431130505,2775.1349693582447,1869.8418239486107,1937.3875241068217,2364.888833362637,1893.0435299384305,2409.239451898588,2008.330979339087,2919.8152826648316,2483.2496181711003,2398.63470914156,2544.188064375736,2595.3095935261463,1571.1291559471897,2703.877019989453,2395.456444790729,1893.5543900151954,2454.8015971278023,1903.8198781887804,2804.1730735055517,2889.3591612169002,2981.1103168583136,2981.9919097705533,2932.537212146023,2626.979261215987,2537.5749448642036,2721.3942783831803,2628.780365683943,2636.868790683817,2654.458266232977,2739.184341189214
1372.2602902569408,1372.4980556092564,1516.0173672165104,1539.576073014489,1681.0762638236436,1490.2935042743507,1701.8399204519926,1715.8045493043726,1957.3272514312525,2139.9972499003675,2776.198807009535,1867.6687540457515,1934.316552984133,2373.6835356607016,1889.6454222913103,2408.863993656221,2007.2513763315137,2919.926165297519,2483.5849014702776,2400.633595004887,2545.548205579519,2596.2901659319136,1567.4868075623267,2706.9193283306145,2394.4047690975854,1890.911210197735,2453.9819714146547,1902.157764800091,2802.7887304043215,2886.904825231942,2981.2981012093965,2984.963338403599,2933.827488283982,2626.175265866835,2536.672530238882,2722.1532102728547,2628.0487525500967,2636.0940615971253,2653.5983820351385,2738.6264839540454
1371.2057040332093,1371.0118493449859,1514.8499169896704,1539.3981727304927,1681.5038392231845,1489.2743123539447,1700.953456341027,1714.8718535535377,1953.4284581220197,2136.6611492789657,2776.707095287647,1868.9235979756318,1936.441050965623,2367.879614975299,1893.217498028628,2409.2552260100338,2006.341130277587,2921.4476856699903,2483.7949068024545,2397.1555873042257,2544.8201328085033,2596.178995737536,1569.5607674653347,2705.8350502145804,2394.997850606297,1890.1053796376893,2458.8752233686896,1900.1479366639278,2805.549138093175,2890.1438765511325,2981.5425048455163,2982.9256493929097,2933.8313616948126,2626.0790542931136,2536.9771259604263,2721.421150205828,2628.8133182310107,2638.087144224627,2653.7561915780575,2739.8942453304317
1372.2232050477614,1371.4162784619994,1515.6572877508281,1539.407880479006,1682.1737346558614,1490.4814020114013,1699.1463537190298,1712.877145028033,1958.5797193695741,2132.4720437978235,2779.076853526114,1869.5883179782247,1937.3243372783807,2367.961211301907,1895.4885527805252,2407.310400146914,2004.426511887417,2920.6667493618447,2484.169490633481,2400.734356436595,2544.3723686486405,2596.1774051946322,1568.2872715552344,2704.6978731368813,2397.265841697979,1889.9827965789138,2459.329810733657,1900.5678546028525,2807.8225446673546,2888.475679568135,2981.352437578091,2982.952293905567,2932.9459866436746,2624.9427843214576,2537.190476044196,2721.377745798699,2630.044700007062,2637.16666875259,2654.235501855776,2740.9582173269255
1372.0244046428836,1372.262494230291,1515.5844619048828,1539.2006379929055,1681.4330649412193,1490.2962925023014,1700.8028865437336,1715.6849725563507,1955.4544220361133,2131.534427268572,2773.4691180052446,1869.9060894328939,1935.5706341909047,2367.1882264167116,1892.190730785274,2409.901805425569,2008.5992005918997,2921.5039778441733,2483.060751757226,2396.77020237494,2546.36659718028,2595.311223077108,1567.5013922311248,2705.633903800088,2394.313005179858,1892.961712207512,2455.713566358834,1904.8796862358224,2806.0213677683305,2888.3929844957074,2981.7543105796804,2982.149301429092,2934.011601903267,2626.71376633049,2537.2690975724004,2721.7373151681577,2627.864250531327,2636.6729636808536,2655.34588940404,2739.125450637602
1371.3947796961882,1372.0283065857632,1514.5583231098378,1538.870522135306,1680.820926115446,1489.7003105054944,1699.9322327407056,1715.162870747806,1952.855704823956,2132.2991129655497,2772.578596472429,1869.1781310885458,1933.2588446508885,2367.3376504272187,1890.5507838651383,2410.325044724434,2008.0541742791472,2920.2029501858,2483.531788465946,2396.223299372614,2544.8443148721426,2595.00412055918,1571.874150314641,2704.3128225008495,2393.041658661797,1890.90235127565,2458.790914889321,1903.2279832740635,2805.7062399971187,2891.9027826454912,2982.199880748674,2981.197651431162,2932.9531876302676,2626.525215726587,2536.5843875293913,2721.7379289027476,2627.334642596137,2638.1396379384632,2654.1279700239647,2739.374042393074
1371.963617498639,1372.0621063631747,1515.8903481065036,1540.380037133772,1683.6300956735686,1490.9390055763836,1700.9439345238804,1716.0262658756048,1959.0483944826926,2138.258341441518,2778.6004454726976,1870.349926728933,1941.0692255304225,2371.224969445848,1896.2165329409188,2410.255103546241,2007.059429663174,2921.2057271569906,2486.0393543927894,2402.94110408962,2547.1130311624665,2597.2076014766203,1569.204904554959,2706.385480061379,2396.532910777111,1892.9062522446418,2457.549694961579,1906.0946208148407,2805.6867466312888,2890.408789056178,2982.903933805796,2985.0191565131868,2934.1628539437706,2626.4535106444646,2538.0157425232333,2722.98065037334,2629.36532683296,2638.0165259792543,2654.8825636974557,2740.3643753228325
1372.079706304737,1371.5309624715794,1514.9924305398229,1539.6357279464771,1681.7527346559748,1489.6380044535674,1700.150884362174,1715.755217677795,1952.314713252644,2134.6238497815057,2776.5509369175625,1869.8901726240877,1936.026954110198,2366.7807057226705,1891.4324087771156,2409.1318989863776,2008.5917518499562,2920.7158593036074,2484.9740086511783,2397.703029997963,2545.4766665710868,2596.41274828893,1568.6762672431707,2704.987821234819,2395.914902910635,1894.3258365120485,2455.3162676501242,1904.6129639068222,2805.7208925577743,2889.168052894367,2981.8218666840157,2981.846543048045,2933.9418639022924,2627.4467860815876,2537.3689960167594,2722.510875561381,2628.7232566711664,2636.6558876560634,2654.9406478710916,2739.2032969901
