time_s,area_0_%_BOLD,area_1_%_BOLD,area_2_%_BOLD,area_3_%_BOLD,area_4_%_BOLD,area_5_%_BOLD,area_6_%_BOLD,area_7_%_BOLD,area_8_%_BOLD,area_9_%_BOLD,area_10_%_BOLD,area_11_%_BOLD,area_12_%_BOLD,area_13_%_BOLD,area_14_%_BOLD,area_15_%_BOLD,area_16_%_BOLD,area_17_%_BOLD,area_18_%_BOLD,area_19_%_BOLD,area_20_%_BOLD,area_21_%_BOLD,area_22_%_BOLD,area_23_%_BOLD,area_24_%_BOLD,area_25_%_BOLD,area_26_%_BOLD,area_27_%_BOLD,area_28_%_BOLD,area_29_%_BOLD,area_30_%_BOLD,area_31_%_BOLD,area_32_%_BOLD,area_33_%_BOLD,area_34_%_BOLD,area_35_%_BOLD,area_36_%_BOLD,area_37_%_BOLD,area_38_%_BOLD,area_39_%_BOLD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-7.305294185985794e-07,-6.937362479458467e-07,-1.2970524254597334e-06,2.2099092543322357e-06,2.6234202292927716e-06,-1.3593241884325923e-06,9.724913520797087e-07,1.2379063930488478e-06,-2.9827969649234066e-06,-5.246876794528309e-06,-8.224803273466191e-07,-5.655838319938681e-06,5.1929534617802255e-06,1.6989671157558613e-06,1.752546495994079e-07,2.2260005754670815e-06,1.999875513101159e-06,2.1296830310282444e-06,-2.80401338234675e-06,3.3361847894070765e-06,3.6821492403957306e-06,-6.230848023312597e-06,-8.495332857142915e-07,-9.233509130919603e-07,5.23564036695468e-06,5.133213291170265e-07,-2.255334196952045e-06,2.376633540256991e-06,-2.013247901870444e-07,-2.941941704722249e-06,-6.414823901150133e-06,-3.1602627950871714e-06,-3.837452986695884e-06,-2.5575880229466794e-06,2.486415940232848e-06,2.0874655176017467e-06,-1.7944064262005477e-07,-3.0072732060856405e-06,5.006640307627209e-08,-5.196704021122367e-06
0.24,1.5005472635267569e-05,1.3278349176507458e-05,2.400158244476774e-05,-3.9558440170037954e-05,-5.3732147980672414e-05,1.8840941533053768e-05,-1.9065312153248465e-05,-2.3473777927092715e-05,5.8225317854018766e-05,0.00010571685455236611,1.6000498852203838e-05,0.00010897726529417218,-9.69907173029445e-05,-2.4682124084408593e-05,-6.1682270922659574e-06,-4.716929785478521e-05,-4.170919981282779e-05,-4.525979565553246e-05,5.177634995130382e-05,-6.475405055160309e-05,-7.331897871006756e-05,0.00011960737957535019,8.611136847352992e-06,1.9633554203437506e-05,-9.460310252005569e-05,-1.3409963511275381e-05,4.4132012934052826e-05,-4.060915618331028e-05,1.0305666483312323e-06,5.412224015619023e-05,0.00012206531767353315,4.924806775636302e-05,7.50128643955831e-05,4.7704793963743725e-05,-5.7761473228840274e-05,-4.758572536398782e-05,9.48626154534606e-06,5.247614034395811e-05,-1.0637841475360271e-05,9.659449670951987e-05
0.36,5.581233929496913e-05,7.488545904801638e-05,0.0001552943695055639,-0.00027020617549138346,-0.00020133324006280166,0.00029074552874138154,-9.610822559034222e-05,-0.0001292409176890593,0.00031168418755004733,0.0005004851109941705,7.72161672668978e-05,0.0006569388658635288,-0.0005385086875441163,-0.00030227144290922097,2.9556617998997327e-05,-0.00014177493091485104,-0.00014618937173822694,-0.00012875687860417523,0.0003487587494534875,-0.00032340571704352885,-0.0003128510328272819,0.0007368115801824915,0.00024224454305590216,6.039132468800429e-05,-0.0005976165756765256,1.2987324415889637e-05,0.00023418478059001116,-0.0003269636040741128,7.587212421221432e-05,0.00037962719057002493,0.0007965034883227605,0.0005999149979503606,0.0004122837343701068,0.00030171792476660006,-6.577982849690001e-05,-6.337474304646196e-05,-9.100579997544555e-05,0.0004424162858678401,0.00018791803277996887,0.0006728765083418009
0.48,0.0001375421808202723,0.00017509936500170975,0.0004833017312059474,-0.0008641966714236308,-0.00023936269444012388,0.0012822975014453349,-0.0001295254552215071,-0.0003766139728776572,0.0007586476136563747,0.0011646965166776228,0.0003172012355009086,0.0018104915829540024,-0.0014030001797293032,-0.001358934847736579,0.00038288924450208646,-5.1947802136219645e-05,-9.718467103335263e-06,-0.00013059447924354078,0.0011412706738359308,-0.0005440741300920453,-0.0005599154723598841,0.0022977377435892932,0.0011799820647331693,5.779217152710021e-05,-0.0016747895012162277,0.0002890681365926482,0.00046593592681097535,-0.001060333740595527,0.0003689621525459992,0.0010437549338858996,0.002262116112277472,0.0024191617167997792,0.0008708998934959767,0.0010764255630212195,0.0006444730397136357,0.0001802756457826752,-0.0006286283899902755,0.001578957881896071,0.0010549861471681808,0.0021780893911735625
0.6,0.00046748679260047226,0.00034437852805294295,0.0011799518293703023,-0.0019937193481484603,0.00011768224366576491,0.0032583609355135938,2.056428810123784e-05,-0.0010022088281538034,0.0013264920345777416,0.00234309970320756,0.0010851949901058743,0.003668622457284495,-0.0025675675911525694,-0.003739304725928556,0.001457583584981052,0.00029956119851883744,0.0007338891371004381,-0.00017528617353182205,0.0027615232853710823,-0.00022794072523291825,-0.0007575055810976614,0.005460320939708217,0.003127739419187518,0.00011623837802481979,-0.0032768778526290334,0.0010167726352285791,0.00039954169584384587,-0.0022753561940020385,0.0008695807890493513,0.0017784893774653269,0.004503793659879104,0.006517633351803437,0.0010419632264573038,0.0031920455158965426,0.002766932605185076,0.0007575049465876073,-0.0018457966627339233,0.003718351583591053,0.00266321671055635,0.005296000249144124
0.72,0.001165701126367017,0.0007680953879701273,0.0024522384450067908,-0.0038123365414900346,0.0013409138407686754,0.006133467927785283,0.00028029007583833023,-0.002357449208790228,0.002044364495947997,0.004555112825667038,0.002693630278205481,0.006366340070009648,-0.003740942352626928,-0.0076546225866828245,0.0035801256305074813,0.0008411457529154667,0.002223376444725584,-0.00033530046226032704,0.005404609275229778,0.000856667070746595,-0.0009072600839818161,0.01081327558803018,0.006053950657821537,0.0004399404610247808,-0.005416139653425899,0.0024569036946406283,-0.00025439242154981305,-0.00390350650687936,0.0014023103167841318,0.0023261363379746356,0.007773037309736847,0.014114311478195873,0.0007411744485780726,0.007628156214205743,0.006502971403069232,0.0019975988815423354,-0.003775450190558508,0.0069037480234725584,0.005037858601619377,0.010742678972206557
0.84,0.0019252108413803344,0.0014937068235013836,0.004409645662037005,-0.006478307883528085,0.00394009084864573,0.009682534949296728,0.0007045256836622099,-0.0046641950990014315,0.002943185867775504,0.00823682117533284,0.0054049651599856995,0.009950926027690658,-0.004789841800766308,-0.013108583474590502,0.007069187434502078,0.0015387312454229448,0.004541912748839282,-0.0007820771214879861,0.008920252066603664,0.0024860306655824964,-0.0007327173889888331,0.018610905397950482,0.009718218439724126,0.0011309810682646295,-0.008010631321856759,0.005022516790032111,-0.0016383650124802093,-0.0057249152498068355,0.0018788749141847119,0.0024982527285348248,0.01258530750149144,0.025370657347180595,3.2688780034769538e-06,0.014918743044872576,0.011506566606613464,0.004091059163908722,-0.006196245085998281,0.01102168310406866,0.008647217890037482,0.01857558960328029
0.96,0.0024907815436059685,0.002273171389566035,0.00714810135340183,-0.010104034739835902,0.008076973690431633,0.013595556025036601,0.001591951549898679,-0.00816423206234961,0.0037253854558425615,0.013557102803196688,0.009333200639795161,0.01460756802766729,-0.005534314238877293,-0.020051842742343645,0.012118169264315616,0.00230855161400253,0.007645170604678589,-0.002022676716707631,0.012877532911826134,0.004031279847552479,0.00019009531006274332,0.02867924635325323,0.01383079011238512,0.0022808358357400953,-0.010736623386686375,0.009106613243989745,-0.003983612724339982,-0.007701487930109772,0.0023901451431738237,0.0021153553124852735,0.019072097014087165,0.03954938677770242,-0.0011068784437867811,0.025174745348045372,0.0175988213133857,0.007242432966072324,-0.00893985099935233,0.015860024582981223,0.013845289234620825,0.028220857854412085
1.08,0.0029209047071884005,0.0029253895654560236,0.01073277372771914,-0.014641086166052449,0.013638938205471051,0.017464882838151584,0.003243714178788401,-0.013125015704475542,0.0041976167921876535,0.0205201450277493,0.014388182072505631,0.020564211685882045,-0.005850800824989315,-0.02832692158253689,0.018891978386567393,0.0029372009950788024,0.01133947581470678,-0.0044370915832249915,0.016718180620964,0.004841262151081759,0.0020095750033076684,0.040587273024468115,0.018012757139768444,0.0038691859271484906,-0.013716933415308576,0.014930611561781961,-0.007578924355694369,-0.010211922291492426,0.0029457739947353345,0.0011197010702653004,0.026736045276952367,0.05574988771779113,-0.0026437001764367885,0.03794926287462136,0.024887089951310365,0.0116769590452008,-0.012124324974203543,0.02129076366802459,0.020308765448425414,0.03863927999717767
1.2,0.0033644284043967566,0.003443592190305933,0.015175643656989191,-0.019987988739329998,0.020591986027385267,0.021027879140542105,0.005973186158106154,-0.01982473796511111,0.004294821478180913,0.028841240215461354,0.020165497092237403,0.027788786799458565,-0.005734076436166046,-0.037904364387103526,0.027565885908951083,0.003151833724919488,0.015394889128638446,-0.008130938694731717,0.02001644858432453,0.004715630783224592,0.004688941976524598,0.053704829683341046,0.021865050917331867,0.005868603747370523,-0.01709830096382049,0.022435624409201188,-0.012595900937397897,-0.013717524176446548,0.0033450973463498186,-0.0005006828378888052,0.03477262888441604,0.07314236181224765,-0.004871440384507734,0.052424985730415485,0.033396330251209264,0.017477615599391982,-0.01601490703846993,0.027222376551575254,0.027350849814106126,0.04877845418722512
