0,1,2,3,4
0.0,0.0,0.0,0.0,-1.200205969283393e-10
-2.921557867799559e-11,0.0,-2.625000000000004e-12,-3.900000000000369e-13,-1.1567664379992801e-10
-8.07888844110479e-11,0.0,-4.33125000000001e-12,-6.449250000000292e-13,-3.037131377768553e-11
-1.1763548523191613e-10,0.0,-5.374687500000024e-12,-8.022941249999727e-13,-5.633599104890111e-11
-1.559139786978441e-10,0.0,-5.944640625000013e-12,-8.898717168750111e-13,-3.463892375408354e-11
-4.053281821944132e-11,0.0,-6.1807429687499896e-12,-9.281435301656045e-13,-7.45512571008082e-11
-5.65688459118696e-12,0.0,-1.3636323467072672e-11,-1.8365637703672768e-11,-1.8158263398585357e-12
-5.5327504638484854e-12,0.0,-6.034227732421898e-12,-4.2040829533051444e-12,-1.7750060925342574e-12
-5.3218839949350336e-12,0.0,-5.781200161816406e-12,-3.809030944859006e-11,-7.192184709319186e-12
-5.05837763892849e-12,0.0,-5.190860415198676e-11,-1.7734887462938696e-11,-1.6156058437307964e-12
-4.764970397662845e-12,0.0,-5.116386194334193e-12,-7.856957797471368e-13,-1.5166080932234279e-12
-4.4586833066407635e-12,0.0,-1.1374125750926143e-10,-2.185597479193109e-11,-5.979120267746208e-11
-5.0090240789919966e-11,0.0,-1.6326176994485403e-10,-6.825939685845617e-13,-1.0517981809253566e-10
-1.0073910090060822e-10,0.0,-2.346479247354181e-10,-5.008035397460936e-11,-9.316894204195178e-11
-8.21038670520553e-11,0.0,-2.6499231496528153e-10,-4.127386345547513e-11,-8.150437256094674e-11
-1.1561553061950658e-10,0.0,-1.7127010619800152e-10,-5.3664781908598255e-11,-4.1705192260684026e-11
-1.0837233963832581e-10,0.0,-1.527723494178213e-10,-8.880919207453479e-12,-1.1856182848878795e-10
-7.40876579192e-11,0.0,-1.6567257208502488e-10,-4.5390041145856966e-13,-2.3444339037402758e-11
-1.0389312812940986e-10,0.0,-7.488797263712308e-11,-4.1673948699296475e-13,-8.797960500641079e-11
-1.3830053682099328e-10,0.0,-4.7817998398355595e-11,-3.825459767713329e-13,-1.628050100276677e-10
-8.733228915244858e-11,0.0,-8.46297982381728e-11,-3.5120376591491874e-13,-1.9579762681115264e-10
-3.4820798161024094e-11,0.0,-1.873210153102957e-12,-3.982942897930524e-11,-7.176989403518736e-11
