% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=123450, Wed Apr  8 11:06:53 2026, <python>{}</python>
1 12 20.975731864598007 0 0 10.376000489716183 10.373745340319209 5.432129593754848 0.6220634106141677 0.6219893506303538 0.11299319604471804 0.43888304829962765 0.30947517236182936 0.4027640690043739
2 24 21.043242580608045 0 0 10.958856995067595 10.149375339107381 5.399804519118121 0.6069887648386482 0.6224141077904649 0.11034500088554494 0.4427547897662718 0.31911608097589705 0.41029406838732096
3 36 22.227590698511243 0 0 11.85990677345045 11.420955164696922 5.791891398006947 0.6400853464901914 0.6909032213590286 0.11666666666666667 0.4786803832132592 0.3285017641148321 0.43163546285911436
4 48 23.290375847202068 0 0 12.248439989909242 12.212464163255827 6.26847505841169 0.6530689604779558 0.7197641705676482 0.11666666666666667 0.48446032884057905 0.34393043932902967 0.48048952454120675
5 60 24.572900317057936 0 0 13.364882874762193 13.520407789596073 6.54016350892697 0.6930808971688718 0.7417031795885777 0.11624754535907496 0.5109951021398582 0.3638190055679014 0.503418836729645
6 72 25.53307224112549 0 0 14.230097675953118 13.511650466753505 6.792356324003848 0.6810727619627244 0.7625259399005726 0.11666666666666665 0.5159154958465718 0.38672823793290884 0.522220452741288
7 84 26.301313961038836 0 0 14.79288561225027 13.698050083320627 6.788415225626384 0.7116918284699694 0.7708530479219744 0.11666666666666665 0.5360707977254435 0.39016494031220517 0.5673931344610788
8 96 28.991051731111728 0 0 16.209290490352462 15.288893865100743 7.36612621057709 0.7992779479163342 0.8244751186670498 0.11666666666666663 0.5818022149139238 0.4249756915536434 0.6464795668820887
9 108 29.536037747269084 0 0 16.23155612475101 15.556858114511856 7.436938340741253 0.8151553994953007 0.84446089378552 0.11612291270246326 0.5750195651707479 0.43697042024059174 0.6756407792633959
10 120 34.1084970482543 0 0 18.607923999356963 17.024399287261154 8.59108040272838 0.9620315831489046 1.0331307403351226 0.11666666666666664 0.6333333333333334 0.4833333333333332 0.7333333333333334
11 132 33.67798379948622 0 0 18.005989601902993 16.858275111049643 8.436094613966414 0.9140633647520365 1.017395517380263 0.11666666666666664 0.6307257622021 0.46709446717741177 0.7166571761473919
