% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=123450, Fri Apr 10 08:33:49 2026, <python>{}</python>
1 12 18.48580676419791 0 0 0.01851026564675126 9.183381739665666 0.1779740517857197 9.297746495328028 9.197857918079904 13.124657325843696 3.6189241977993416 3.648058249249409 5.617391608048612
2 24 18.636751248314447 0 0 0.017967489528368165 8.868937614805526 0.18012896754361424 9.621690855052302 9.392495571414033 13.844038027953292 3.578778097761245 3.599724279016426 5.633183848002148
3 36 18.178442119004366 0 0 0.017867202141596112 7.873467074469431 0.17494964495263363 9.628290790474233 8.864697014882307 13.627261011966409 3.5340939771783866 3.553042919746539 5.70619619014385
4 48 17.61180117281806 0 0 0.017315646901786864 8.088308278951468 0.16807356050470226 9.197867647296656 8.644707968917322 12.646164552670333 3.3132474820282014 3.4993953386169045 5.56328888251554
5 60 17.705246749716537 0 0 0.01750628550308739 7.9913170413478225 0.16339626193022655 8.934038922317843 9.247641691392312 12.91300590763023 3.3053209399878676 3.363279835809034 5.650006225089807
6 72 16.29678955248395 0 0 0.016165713894332735 7.339380435957401 0.14976475881307272 8.189767465225074 8.608413260936805 11.996218212230316 2.8605795715908813 2.9081607813029757 5.139526945916052
7 84 15.761144007973718 0 0 0.015356743763193669 6.817128560391982 0.1439679417009143 7.844081466665353 8.46654924332598 11.499509189241328 2.762215586316572 2.8182155038911394 5.0307999825126615
8 96 15.402662891602395 0 0 0.014808611682315467 6.4380684515137 0.14047595894466988 7.481224769766486 8.232693345801382 11.499140339270443 2.6615570761038767 2.727054229688362 5.133550482450013
9 108 15.230284281150556 0 0 0.014354828624793618 6.743717769052499 0.14016492317058563 7.320211818792392 7.969952388540148 11.118890337914328 2.508585401135829 2.6321400808798767 4.9938966701433465
10 120 14.78007316458993 0 0 0.01426462453609104 6.598391233782294 0.13607737506799625 7.029042854151955 7.538576633798678 10.652457635189855 2.3747321111508506 2.5246307774547505 4.741103343902009
11 132 14.279781427079469 0 0 0.013574594729761415 6.582395086416143 0.12861862552345388 6.624577586442064 7.279867387260518 10.121739260097243 2.2331191240898853 2.3891045177512846 4.491716650265496
12 144 14.237079184398404 0 0 0.013821113581689567 6.986421064480244 0.124658094205071 6.57740593478959 7.075298470740255 10.031044427622785 2.134132513739346 2.3872075104824146 4.384025079085567
13 156 13.67967479687876 0 0 0.013629800559402468 6.806059131922563 0.11729054053870466 6.249675511165976 6.841766959106675 9.171831791059006 2.0553639560161874 2.290083566630321 4.178851973913887
