0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1260.400380654445,1264.0721667010944,1283.7873352248025,1291.2889717496919,1317.8406973339113,1277.9108137347896,1306.950033409554,1319.5564996960843,1333.6325853287055,1315.967592981981,1409.954380539446,1325.789893660942,1330.9854755204701,1356.38073897168,1314.5784533354506,1337.5565772349096,1295.878363555735,1411.3364436089466,1356.4853680964522,1369.9855849116263,1350.8536100426702,1363.5698848057355,1266.244629549824,1373.0289648339558,1348.831288206163,1283.540939323388,1367.750035669544,1286.2099496212402,1423.7460179306802,1401.5521387180167,1420.947802068061,1435.0343617946382,1416.196603980406,1374.3789679504612,1358.7650746555776,1379.1653937486547,1388.860288655361,1379.6345130352638,1395.148198481565,1450.7791863200932
1261.0949018776003,1264.1536114955522,1285.0223272135447,1291.6432287505754,1319.511429723506,1278.6083256279162,1307.5262742995071,1320.4513900279499,1333.6219563997722,1314.5750119846039,1411.1422690591878,1325.7328601590386,1333.1466045735535,1354.987459870525,1315.5018386501267,1339.04322084153,1297.1840714943114,1412.9799547365578,1357.5058829078837,1371.6632735258254,1353.1328665390154,1363.5350284619421,1267.162063841107,1373.9292064637518,1352.5993575952039,1285.926641756414,1367.7898524117672,1286.308602506148,1425.7765856554568,1401.270353976971,1421.527703738048,1438.1016060733768,1414.573713523983,1374.9285203345325,1362.927392085792,1383.1972708275973,1389.3460263189852,1380.4346964825233,1400.5072065387062,1450.6988599938306
1261.0136314967488,1263.7499600827427,1284.1445631211304,1291.2832275986948,1318.8949925953166,1276.6966069783814,1307.825766051711,1319.3400045589087,1333.4266569434003,1315.364153084135,1410.9536816574023,1325.084862463517,1332.6250908048057,1353.1135192604643,1315.8147193487905,1337.3600347500767,1296.7019039682339,1410.1415666760927,1356.5456534481832,1372.4813214797628,1350.618749938204,1364.1120614023014,1266.108100511206,1372.8022356568306,1351.6527470583744,1284.727475678605,1366.0938490008123,1286.399591669269,1423.4982418715065,1399.173153799432,1417.7052205633745,1433.196644747978,1411.273746913566,1374.5763654127447,1361.9940152401443,1377.9962809969084,1389.368516756688,1379.2512940751656,1393.1494862612185,1449.8702806979122
1260.9046777680496,1264.1801486764055,1284.6704571361245,1291.391482754808,1318.8365820890542,1276.783604500116,1306.0812747610046,1318.3918526683703,1332.7264339763324,1315.5740397082939,1410.2478295535298,1326.7381312635264,1333.7832136401923,1355.1683303792058,1314.4850251832806,1336.7728810709218,1295.4900280608892,1409.82185453087,1356.0690737164814,1369.4845909257447,1350.225400109431,1364.1687766310793,1265.831689290117,1373.6892324650405,1351.7431619995646,1285.951974257293,1364.7327141427013,1286.0510806787154,1420.5355444698216,1399.111147679983,1418.625454308,1437.5229894555328,1412.4146801470965,1377.2370898844981,1360.5952143506295,1380.2083820242647,1389.528101681495,1377.5309505446764,1392.2703686459681,1448.774582240368
1260.1087724604972,1264.059004130015,1285.0291612783265,1291.6926636137905,1319.760952990436,1277.2379829756812,1307.4622522685813,1319.7597324331368,1335.172501871366,1316.2690364363702,1411.7159198183401,1325.7985169929818,1332.5037373613309,1357.8786145816591,1316.0670402871215,1338.6555909477865,1297.046383571293,1413.0214058730232,1356.669676199819,1371.711095585753,1353.3380092001566,1363.8028735173823,1266.0496643501635,1373.6442136674948,1351.0518800748362,1286.3778796943557,1367.8817348107527,1289.3369833611032,1424.7541597475742,1401.8960927218318,1423.8495430113628,1435.6376868388131,1416.6555635856175,1374.7020479639482,1359.7897190707229,1381.385796489982,1391.0495706896122,1380.5931969599458,1399.0163990413273,1449.4312590822817
1260.2463024233246,1263.6782200991468,1284.5176059539212,1291.6864540973636,1319.195226195653,1276.990028936872,1309.2375491657194,1319.564223587654,1331.8511799079108,1315.1819977797188,1412.3629108936123,1326.0785667834418,1333.9715724843181,1355.6782899205348,1315.5040502110448,1337.6968881716086,1296.5504369177813,1410.5792668357726,1357.0186322193947,1368.4504832500822,1353.4913866546053,1363.5694100576004,1265.8235594493826,1374.683611484502,1354.9668429608837,1284.6561264798231,1367.7740379532966,1288.4329174294398,1426.1606899567669,1400.572713338576,1422.3251787702072,1432.2934773323066,1416.936178649252,1377.272188380453,1361.6602790397046,1381.9962314947704,1392.1402636503599,1379.3332397757467,1399.7673629382905,1450.419859050148
1260.979638998785,1263.8378528795356,1284.0898558332613,1291.7964690748804,1317.313614810544,1277.2228271637566,1307.3164266745232,1318.7307530529094,1333.2235474704198,1314.3205049681942,1409.5425686622975,1326.4247771734215,1332.3750232558689,1356.4696067959726,1314.6274959033378,1337.0317497262001,1295.3665567425633,1409.8548092991336,1354.5111271544697,1367.9460008683247,1351.3691060369435,1362.2363162096663,1265.83309399948,1373.4418494433019,1348.9196985291908,1285.284129569953,1365.747966369644,1286.3395038564342,1422.1323283263969,1400.0129285620978,1417.2022649552239,1432.181287948434,1413.163270334783,1373.66940791911,1361.4398569470588,1380.1922800382747,1388.531346940531,1377.365364741984,1391.1881886690016,1443.8157867699122
1260.7386978762536,1264.8303987614845,1285.9715553640417,1291.6432512221081,1318.1980715610975,1277.7514506588718,1308.0843318485556,1319.55149837671,1335.5123475162493,1313.992906991682,1409.628808205848,1324.5982681357928,1332.052122617091,1354.6956097188452,1315.6498866868737,1336.7719415768015,1295.8519261370661,1410.5059937308458,1355.8759348279725,1373.945618719166,1350.7044057100234,1362.4641301637284,1265.0445760528469,1372.7031964531009,1350.4399412506766,1283.950497059108,1365.5011696248714,1287.0426187193248,1421.348376128535,1399.647326051306,1418.0362597658743,1436.0922394108757,1412.0126128640898,1371.0628162083326,1359.1337081623512,1379.5743838306191,1387.718292827417,1378.6251927527676,1393.218255255272,1449.0324148296042
1260.749621094812,1263.8957207616245,1283.9576085853498,1291.2543827277661,1318.776880400498,1277.467669209946,1306.7369080327667,1317.6838309251502,1333.305631088121,1313.8378823270955,1408.3012365644254,1324.8366145174473,1332.4274101925737,1355.0319904269932,1314.7154808726582,1337.585225547749,1295.6112176694016,1410.9399252578244,1355.7041529435892,1371.0962916434328,1351.8199760124432,1361.7917506096755,1265.5938153454342,1374.1754852357112,1351.8122547881076,1284.3518629942794,1367.12780672259,1285.7503993103746,1422.788165142612,1399.6082104332645,1416.8428137980236,1431.3266615917742,1412.9001554582717,1372.8249124725469,1361.0346534311616,1378.7831104069314,1389.485819643607,1378.6869660831533,1393.9662500493828,1445.3975233263177
1259.766259217121,1263.546167414567,1284.428578101933,1291.7124205537066,1318.5042646469876,1276.6314796377098,1306.5649693037985,1318.9644866394692,1334.189518218899,1314.1146134468731,1409.4421118671305,1324.7165074619422,1333.422548519831,1356.2986033794177,1313.7752219626852,1338.218261961332,1295.0981001780472,1410.448737068862,1355.6442586766702,1369.4767877765255,1351.856510821593,1361.3733548498753,1266.659050027824,1372.419659132621,1350.859094863252,1283.600320588323,1366.0912435805951,1285.2659187831277,1423.0963718317555,1402.029562891307,1416.274755738765,1433.859342945308,1413.3494580515955,1370.4232429729586,1359.50650834656,1378.2643142682161,1390.3470772377832,1382.7104040384006,1392.801498799427,1449.8752156941855
