% # columns="iter, evals, sigma, 0, fitness, xbest" seed=61725, Mon Apr 13 06:24:46 2026, <python>{}</python>
1 12 21.89969045769555 0 0.6634322078274459 0.14497412731761194 48.3540810356318 0.2788778517820694 153.16422140251439 127.83474123721213 356.586533137608 -29.43305666659692 -39.02627281174077 -81.043373988378
2 24 24.57981512762604 0 0.4948713856042517 0.14120630320958652 50.080243207181546 0.3095464760556861 161.67085505182533 129.17018335140915 318.8148974130233 -30.7250188441054 -39.98024454395705 -92.71968739544191
3 36 25.76926742711966 0 0.45244827076171124 0.14140265744879077 46.26405194975978 0.30818672194889407 161.66314101654436 140.1454831811117 309.6309339476778 -28.580218598019265 -34.36047289182331 -84.5876429890219
4 48 25.330453462076846 0 0.5647992956558416 0.12653576486127022 45.18069289956712 0.3248398488955998 148.51264220837427 126.79036319874476 331.8387538894028 -24.0745090264405 -34.597660401711174 -94.42690683678079
5 60 26.976359797065548 0 0.4100321046008004 0.15449119301850514 47.45607885466157 0.37142103574347285 165.56434839469597 135.29520414268993 308.68622312091975 -26.768360143669028 -31.561592420503015 -80.6172117705242
6 72 26.922926943214584 0 0.447625280894722 0.14958483615037518 49.37972138646035 0.31530717018656523 164.88912290906242 149.89069207511176 309.40647491833727 -29.033705487910872 -36.43563330236372 -79.80230637700639
7 84 28.874226148444496 0 0.4240379358329097 0.14661938434851335 45.48531766737477 0.3380862587508217 175.76905244329117 166.0998691155484 288.0063973852158 -27.656925201694836 -33.458998308264476 -72.680920342032
8 96 27.23476138453908 0 0.40283463651653884 0.15605721173272535 46.13668008729726 0.3750386838368427 171.34543666654392 136.10852522552455 333.77162451953507 -28.47969737469849 -38.18021962222902 -78.49092735425778
9 108 26.532672280862666 0 0.4191883817458629 0.17387172849825824 48.15800663016791 0.3486257984628246 153.1293689482252 126.72041776363989 292.03323642902336 -31.97848496503763 -38.16240806225141 -63.03801310792229
10 120 29.831555551916118 0 0.41078022398417247 0.17833965316478545 48.23987759402903 0.3012701718074895 170.80107709247122 139.32557039559708 305.54464434089965 -30.7405996241604 -46.965417930783076 -59.95196815283863
11 132 31.12433550909771 0 0.40690527861899517 0.18260817708478264 53.63549619223857 0.33153427118866974 166.14941795639598 153.58869974137838 294.2967948588857 -22.186212389421414 -45.40418843119377 -57.314624107763585
12 144 31.404906954648578 0 0.40169785020147897 0.18390981564031883 57.51468327791419 0.31033959689176094 162.96331354519737 156.75521581169173 319.4438480825729 -24.67630315852177 -48.60545105675096 -79.93105684782795
13 156 29.11736829523452 0 0.3947170461276107 0.17329986524422905 45.79673770774175 0.3308868306764466 177.1756742581509 156.55773227094002 315.10069120441455 -23.694166236210087 -44.95479678717874 -50.40266729938786
14 168 32.431667118639396 0 0.3980065471444989 0.15525026274955936 45.83330872230552 0.37706451624757686 185.50752629535026 161.288062240837 356.08228102447066 -28.85430140296963 -47.43437916602329 -82.62086242855841
15 180 36.33813391597028 0 0.4252824378106862 0.16661692390888785 48.09331067305408 0.44648749037996355 189.6924699083 131.73499595369364 370.280222578397 -29.51768520882844 -51.85479163989124 -92.31919672700795
16 192 35.60727651873244 0 0.3824693937250685 0.18755419476982266 45.694663253281846 0.39405397088715355 193.93691904131452 143.19697124468172 322.22469965871727 -30.98550708902362 -52.78054518968545 -47.262190631247066
17 204 31.175201494815138 0 0.3944609287377916 0.18292781804800023 46.21669867333397 0.3299329645552974 169.66335865829907 138.95099775610035 299.34208804530374 -23.553803347429326 -52.27954453401756 -41.43300084881545
18 216 28.17805716421968 0 0.3891190818655572 0.18286040382943317 51.88461834581673 0.3378319647038931 190.30880622015485 155.73940893870662 325.4947672537191 -28.692603533823725 -60.16740516356628 -64.42621942802643
19 228 28.09850471413946 0 0.3968479563097329 0.18195031300279624 48.97588856220175 0.33462820809657234 177.2230789919161 148.7271203907986 339.55388855517685 -22.138842993778056 -60.65139834106265 -61.054187762381005
20 240 27.139514471268438 0 0.4038395940446825 0.18468852750385964 59.918011955662124 0.33736374277182885 170.02484762808064 142.67944254249417 308.92766410437554 -25.977501605812414 -57.660571628318145 -79.4547328346298
21 252 27.614458013480544 0 0.3835642797877654 0.1920301293513721 52.31971516659014 0.35062858092686794 177.13363894307616 137.63345999310602 326.25053992778675 -25.797019614775003 -69.50178331352642 -60.86758539172972
22 264 26.582455277160825 0 0.37989531745217664 0.19736919623919993 50.25022366648501 0.3769874087167262 182.50935400324644 133.56603482568323 342.0789952736988 -25.991589450073235 -67.84567428015663 -55.096908205668505
23 276 25.409793134772233 0 0.38612870704403335 0.19334601107716057 52.35829990619547 0.39652417244658733 174.4544684951282 125.27742140784129 331.26259009368584 -25.58547063233189 -64.28918863133588 -62.52145251225736
24 288 24.29593349226344 0 0.3912744998635155 0.20124137035030962 52.373855071587954 0.2988068315853365 178.94581402054263 134.14370911083185 333.0537272686237 -28.204006067329125 -64.71961109689292 -56.41006002540783
25 300 21.769161173042114 0 0.3802394624414013 0.19964757403774358 51.214944870384684 0.37999002984658875 183.20306189445094 126.75625134598306 332.48938927558066 -25.519756292837194 -64.23966108461538 -52.37558742432086
26 312 23.569735983931924 0 0.3788754572655335 0.20567268429890703 49.654679237974904 0.39288401119646965 192.8320084956444 133.16893415780558 357.02006239691565 -29.891774389385567 -66.75154954550815 -52.52945924945964
27 324 24.901634065444558 0 0.3769899765939845 0.2193673032735757 54.15262950275578 0.371353134474102 184.08389582642798 140.8189419594602 319.5541691269477 -24.630919637552918 -65.54980929559211 -42.36956501257272
28 336 26.03706459986868 0 0.37675748236049045 0.22477453439237982 54.63748478190833 0.329722207777587 201.25383992194384 142.8561993434229 330.3267997978091 -32.83792436158903 -63.56395400630413 -46.06555088784184
29 348 23.91651360163162 0 0.38506529662232747 0.22397674221961694 51.50718062525642 0.38239763421396744 185.07267683183522 132.44555985235297 327.43866840173416 -30.147518753443716 -67.7254082587558 -42.37298248039628
30 360 24.154021282417308 0 0.3739579388497065 0.23532241971241838 49.254852250787785 0.3603258637910557 192.69494782924522 126.61282999707691 339.5727520947218 -33.078431891710004 -62.74060885016754 -39.98446608997705
31 372 22.074061344752717 0 0.37529209544730213 0.21758883631003834 57.08719633566737 0.3516874388782558 189.75098230497227 148.75097558443838 329.9097814343017 -29.943433060077815 -62.05326730421535 -60.119223286715304
32 384 20.49025562063385 0 0.37655743354961513 0.2369132842167999 54.649088550057876 0.3408157256564525 186.18630650473128 129.3943189933787 316.1503594225083 -30.735634729427005 -62.532183104255516 -43.56079968308899
33 396 18.91640917780485 0 0.37269808818924477 0.21268924014564886 53.206547813325386 0.41422599781432545 195.2108498114286 148.22907957265986 340.06704877702964 -30.42685671872729 -63.41842377572414 -57.05437402914723
34 408 17.445808372303752 0 0.3731831360312122 0.22703244309427262 55.06315775163316 0.35723498747358906 180.86757762985252 128.6693913352472 340.5461712933095 -27.07669076863539 -61.48125943812246 -52.63875844845258
35 420 16.208921911884758 0 0.37253603053727324 0.21787412783479349 56.48201905040135 0.3674554317975711 186.18036666376594 139.9787563796914 341.1194156638269 -27.897192601868593 -65.14530306650956 -60.25741576413509
36 432 15.389714658644465 0 0.3728578212013086 0.2266241670591413 54.56539412789861 0.358085218109829 181.92422871957663 138.83509010434986 333.2004429748911 -26.10636549816176 -60.37472264509221 -47.94382203434632
37 444 15.464623766618299 0 0.3717272489929301 0.2354515225688422 57.36072594092458 0.3625450839802319 191.01619353182696 146.37956972177503 322.998318245433 -28.52189172379546 -63.51970503550878 -46.290540555215436
38 456 15.837689572125218 0 0.37143816101375704 0.22112877006959966 57.873270641245725 0.3833661928126453 187.74551300231698 158.17303171678444 334.28820762128413 -26.403788783650892 -59.64975851420773 -58.03071604348017
39 468 14.788667601769912 0 0.3702328156130058 0.2310710432090174 56.05801612870445 0.4004445852797118 186.66861904869296 141.976234623969 329.36034516253955 -28.009792689187186 -59.85868105873477 -49.96609278228236
40 480 14.676526058969989 0 0.3686896277053435 0.23514736033167769 57.56887489065147 0.4002122561046253 187.40712561656207 134.21314124484547 327.0241573601917 -28.144509067679028 -65.47152663869673 -48.99384166106698
41 492 13.807906054740934 0 0.3690008753280557 0.22492609036916578 56.79738056786367 0.3959910298641858 194.34455861584115 150.66393711271988 345.3667536983642 -29.459474582829746 -63.47523505695584 -57.7602601775246
42 504 13.135170033382066 0 0.37164753875889756 0.2277392774985475 57.44693692995061 0.377208448026321 193.45809382183015 153.95313390018904 338.77642973573097 -28.51580110774351 -65.74522773087433 -52.89062071041249
43 516 13.547346372033342 0 0.37001780696779485 0.236602071788952 55.20730826951184 0.379474753126238 193.03514849117806 151.20688358884973 338.7872109245079 -28.32730716206105 -66.39423146310088 -43.73154799934126
44 528 13.4878919633205 0 0.37009806513368737 0.23581031197752855 55.52179659313433 0.3800295860030758 193.29735604044288 148.9348564044828 341.71592717393 -29.0602811091721 -64.60670650677051 -46.288459287960016
45 540 15.301032090797207 0 0.3691093375064476 0.2427732335354026 54.219902851061924 0.35256007153015234 188.81620679666742 143.4968701174224 328.01762123672614 -28.88258504778663 -65.9901882912584 -38.35673725573758
46 552 16.28045108704963 0 0.3704904659853645 0.24368266587185497 59.97173265274992 0.3364464324482757 195.13972032788266 151.0029037030699 328.55663021605227 -30.285109755239244 -68.11541459593622 -48.19476123721657
47 564 16.102291387568503 0 0.37019985713889725 0.23660957852626477 59.4741692757871 0.35071030544741805 198.89007594010317 149.70141215310298 321.9732656171961 -32.445058617962395 -67.71141865091094 -50.86124123328072
48 576 16.291191383776642 0 0.3704231115632298 0.24680095449727046 54.93321159046458 0.3286980852756294 198.03568174055644 153.78350805384278 335.06208983787945 -32.072588441548284 -72.05949677126887 -38.11262471743259
49 588 15.391799680072085 0 0.37197969820629384 0.23227210885773725 54.32189926200679 0.3458105117761428 202.81969612881917 158.75747859128347 339.71707697744347 -32.13271917923946 -65.94314210863297 -44.347239521314286
50 600 15.52792533756216 0 0.36780141247372355 0.2380363276206291 51.14168164295516 0.3853581322719947 202.56076411918573 158.78517760892882 359.05645877545066 -32.5298558798287 -69.25725922458635 -42.17010262918804
51 612 16.271579322841255 0 0.36738407881239643 0.22816592644193434 48.45471072855686 0.3903317740203578 197.31980570182048 156.62978369133972 365.65292000584293 -32.1338202362119 -66.3725018420894 -46.05339479148543
52 624 16.83476465189886 0 0.36703031966854216 0.22702405640348866 50.43505087269068 0.4050489660913342 202.85326413500778 156.08630730810927 376.791024180253 -32.27221134399014 -63.89370716965305 -51.27158746963923
53 636 15.886059546059995 0 0.3670543537475621 0.23746119338145277 49.032646881102465 0.3805137907649395 198.86201207622435 147.0312743492617 355.82057164813665 -32.9677432582401 -69.29416330469203 -39.250816638105576
54 648 15.708231310010547 0 0.3663991176645729 0.24580592083712607 52.06307978822626 0.36998445093688387 197.12851510428345 152.08454232652562 366.0772085743617 -31.976405830159354 -68.0740137857764 -44.08838098312647
