% # columns="iter, evals, sigma, 0, fitness, xbest" seed=24690, Wed Apr  8 16:33:22 2026, <python>{}</python>
1 12 18.46011147738858 0 0.7680210038968115 0.10805291522094418 40.231612013910876 0.499327755931799 146.37516274600824 130.88405258688204 353.51866230225545 -33.68708459755208 -32.57945657008553 -92.31182400376126
2 24 18.714676347930645 0 0.7650277145739365 0.16211610134873072 62.49785288514491 0.7059222305334223 132.7881371135825 115.44281103740232 347.5472489833094 -34.53893106318514 -32.06570050782624 -94.1408269216783
3 36 18.989908157682574 0 0.8013825252298544 0.16467379366551138 37.91946996927408 0.38620200173418295 142.79443961860358 122.58671599426279 329.95266287558303 -30.23089085425081 -40.81180992191185 -102.95862639902768
4 48 21.825530132752686 0 0.7681067240079172 0.16040817619502012 33.03545791895876 0.33966253537771207 150.20694020828185 126.3437423577186 348.521935041139 -20.166074976412773 -37.66519345834835 -102.93024713944757
5 60 26.969025429578775 0 0.7445957077958949 0.18806707605844108 32.070459546518265 0.9046939464081483 173.38154695807586 100.31235880495203 384.8076343183235 -21.9969120379337 -38.262961423347065 -105.05743614198093
6 72 34.405738060175395 0 0.7344073822892108 0.23430263663456793 34.25443886027767 0.3450704817010596 178.76578863713394 83.71905878801772 374.3080684176151 -21.14989404602703 -38.692319972760075 -106.39079130848737
7 84 38.719862282356516 0 0.7382040724105615 0.23630907326564288 6.556953939013585 0.2586357332754169 174.03796721666356 91.38876019843129 376.8569095006116 -28.617150453071034 -39.393007256290446 -103.85489424977288
8 96 43.640528994510674 0 0.7207048482595532 0.3184970465122774 3.2727685366041097 0.8009940164891621 180.8973311890942 81.42270823298243 401.7051917418973 -30.210388682103506 -41.180791309498 -122.09755006003223
9 108 45.20675142075684 0 0.7209853261316598 0.3039007686198603 6.791771780305787 0.5453342344436825 179.52886029255984 111.03199175085025 388.00827290078274 -24.696645520747687 -21.3724654021917 -119.49696425763007
10 120 50.344559613060554 0 0.7164613216789726 0.40294089349855977 11.77953013912887 0.5276535260407226 149.45645242292483 123.50464485952617 378.74984236561215 -19.222916443238624 -38.64552915795804 -136.00167244865395
11 132 62.8110676587153 0 0.6970975557607542 0.5309432753604459 24.0247326951468 1.2009340191652085 193.34828971688913 63.22928795459604 398.0265572248666 -19.404321417464793 -25.573610780115644 -148.59047645854181
12 144 74.68070505989871 0 0.6786034040569149 0.5669410968418964 10.423879500172731 1.1733197122119143 160.02935397649148 68.63084301156076 285.7124996465471 -15.670866705578106 -20.21518723202965 -168.4356286993288
13 156 85.94394656105773 0 0.6681623056046554 0.6088565251760919 47.882954723835766 2.669705025932547 202.76732673861005 92.9928720510024 382.39391730664323 -34.413834769230434 -13.011521699132313 -172.8413003230779
14 168 104.38846743700267 0 0.6192967870749417 0.6030040563349541 18.29763888778623 2.60511148154375 267.2078096526084 40.613802787622326 311.38299571872074 -22.485359840835027 -33.96584808285318 -204.7740099260625
15 180 131.77129751484242 0 0.5914215491488397 0.8190098197194172 5.543018428482135 0.49801936825950843 213.29493675131027 34.39850534159353 275.06908821969495 -19.879562712445757 -35.34896470801498 -220.175105213003
16 192 156.2848866337812 0 0.5662555115369585 0.8999143960791721 36.14901875507728 1.1161918566516122 204.4005900075308 9.824509799419815 160.07960531701218 -30.55740820982723 -9.315332185675846 -243.4090222945518
17 204 184.46244335917854 0 0.5517511743840461 0.8673283780299601 106.31062998886682 0.9231651368748743 290.5890308091914 88.5617621821042 222.59698857417564 -66.74578865426056 -24.55817366625272 -253.87313989610618
18 216 206.18989997357758 0 0.5751223165491535 0.7237068220150557 128.0743160953455 1.8965506452819245 226.92681838303304 20.386987455989505 118.93494107429015 -46.05025782832026 -64.27219237726655 -284.2245991802165
19 228 211.93444485386274 0 0.5692144479452248 0.8379549310708235 66.7547015496324 1.4569903714726626 202.61683237503644 92.34429779312293 39.352543699917575 -36.54262531776823 -66.36126903899702 -258.79532976736357
20 240 204.4365920273554 0 0.5983103744138176 0.8715159906003148 37.20928982414175 0.6065667608113049 260.73560006655094 125.6531986396561 13.57101100552007 -26.730511060477113 -48.18376774313843 -144.765932854565
21 252 197.8538786782147 0 0.5647539916771707 0.8418716697456824 45.56660178363659 1.632207760106554 219.89489003657292 24.443733445334345 235.46087188033277 -39.59887407610066 -85.18024608776417 -275.48842837000456
22 264 196.05325014485916 0 0.5643983582736437 0.8954542589836167 30.50760665045693 1.632929628966381 257.11212991702905 37.75558993736188 166.2069093593787 -47.38893174767259 -86.11965561870505 -204.02272573426583
23 276 185.79757404385947 0 0.5811089478389864 0.8593061557005387 14.358431165138194 2.964165611721049 291.085199056577 68.3259040314637 85.30905119806141 -51.46031563434508 -59.488358987049175 -216.5889241099868
24 288 189.34357815552852 0 0.5771007284564913 0.8939079975072791 163.91086478615424 2.2840496304873685 286.8700016534025 42.73865344060131 100.98013104633458 -52.721334058813184 -50.54873060069345 -169.48862081885457
25 300 191.98961558819843 0 0.5558012547973278 0.8400903178052915 64.47745250440478 2.8499636240175676 274.7178319535212 177.82745114364815 46.06159831884703 -59.377623337023095 -41.00688247539707 -88.3310302707058
26 312 199.11368457928782 0 0.5318433650390906 0.8902046988103016 39.74858680237506 2.9548589601192776 361.97886961746735 91.90071406370853 116.71723968432823 -99.46403111542085 -43.30726733751439 -178.1666826643537
27 324 202.5869015086218 0 0.5544332685708008 0.8057047634849425 30.275956222607597 2.0236231103257625 359.5027740972988 168.54630366080016 10.067435844431463 -85.53698785358472 -46.257323232096496 -87.46894058583155
28 336 183.38313619502895 0 0.5379988638495883 0.8718640065752096 106.5105109364845 2.2428430781164015 365.7799035185878 156.64289538474924 25.115550881436892 -92.53736174476612 -17.95049491516816 -118.3137285099483
29 348 173.30092402646235 0 0.565069419791427 0.8997239603543578 87.09645304212157 2.3582017338080696 254.5762293436287 228.54748622283384 49.081008265209 -52.07530180368665 -12.915308477018304 -148.6083824062633
30 360 157.09280654096725 0 0.5392821977912365 0.8789258435296242 101.43566093124892 2.484486410934138 365.06900801145525 245.28556687677374 54.8551628858669 -85.55582559008901 -7.01401657018738 -146.22982728302682
31 372 166.68953441104617 0 0.5522722624865916 0.8871776086064694 221.5641457803369 2.999285960730623 329.9176588570421 324.61280637310927 144.2009194480951 -69.2425663242393 -11.90700394456961 -151.343159265893
32 384 177.93117264407337 0 0.5578061651392583 0.878376950837331 311.1541321182092 2.227991530527513 297.6759619540744 235.05599132973305 53.79291075908288 -62.644562680264514 -38.5965858112932 -85.6026481101255
33 396 160.58053627030654 0 0.5501239507414619 0.8895991337633131 92.8156421141324 2.7605760325052904 302.30911559568295 305.09921690522026 12.751197815164545 -61.071620770372355 -18.05299627373807 -168.3556811479428
34 408 140.66824851704854 0 0.5393650204687412 0.8572395230692432 44.3693737746775 2.8291302951939636 351.8941743513855 168.32247878867537 76.60772774737343 -88.04524921892812 -31.753876918827146 -200.18017275678037
35 420 136.37743155484435 0 0.5419783674991505 0.7593732571930257 177.3339670939869 2.327945977658157 411.96912333824787 100.29259160453361 36.3818191626209 -116.48898012900251 -31.81353503695494 -129.17964475750085
36 432 134.99875578459768 0 0.5446653722556815 0.8460534946825812 281.8561022833776 2.2711292953150464 385.5673319803834 115.81023631274212 109.04911751893763 -101.26375289590798 -39.63589563305933 -121.15101064563365
37 444 139.88022101790028 0 0.5214868362132452 0.8876726146912585 142.53296622167397 1.9012316608284356 466.34770510980206 87.2697224555759 163.3344255132056 -138.43281250790858 -81.6312477840064 -142.43673970190935
38 456 139.53872143498432 0 0.5390795138382523 0.8149777796983634 216.92877829708146 0.6134110250315912 459.25055978206746 72.58770515475467 192.77030577188256 -144.0176728163867 -47.81631910213025 -187.21258725949173
39 468 138.66325055700995 0 0.5580683535182733 0.7833117516516656 199.68440842318682 1.7476129667553124 429.26976607500495 264.745919881713 40.12374949049476 -93.30823825923852 -6.434379921190164 -167.35985194017786
40 480 123.91700887522855 0 0.5459934360238416 0.7693135764494369 178.85399485471464 1.8523636908970564 384.8413028000513 112.30464717048459 140.4824746786805 -106.20591824427316 -49.015710156979424 -174.4584617945882
41 492 116.6916836269054 0 0.5432348160206308 0.739175644695831 58.05413479716014 1.836487172313153 404.8957409062111 190.78459452198646 47.575459800590295 -105.68080999825818 -15.505265546106697 -159.84633259277794
42 504 102.52934942197295 0 0.5373531531745176 0.829274780186699 162.09577686256085 2.100207377809933 412.00142231325714 118.32560240691951 162.51705831552778 -115.25000296253347 -57.99703460745012 -121.5037955972343
43 516 93.00285730564404 0 0.53146997257171 0.8049923177256254 155.01100752731523 1.2160264004655374 454.7702974583266 145.18901645507904 109.78172284573259 -133.81449783452558 -56.25315030889695 -151.23477014137612
44 528 93.32459518874802 0 0.5340009556289 0.8368005987613149 152.52221689954666 0.9267851023581777 467.7212489325629 191.49064842241796 98.73684817048657 -136.46712880705013 -35.7887529603404 -144.88514533211395
45 540 98.8148311734815 0 0.5273685535240636 0.8925212752904068 132.80652175787165 0.3539822955078319 483.0502937972866 207.74208120008623 152.6279700317629 -134.31845922411154 -55.544220930190235 -142.351325376337
46 552 93.22108416619248 0 0.5295482490883764 0.899970513645743 105.47082190132414 1.9237963312105446 406.73979353398533 172.1841111193981 152.79370756289003 -106.00687407252734 -23.373055498556703 -116.82933199019143
47 564 89.31838549672852 0 0.5253480850806217 0.8984072050533563 94.25966109066448 1.0738800682313876 462.82227522454974 161.21648226452055 179.763123518737 -134.60964254471457 -97.33547700048605 -135.9957051320188
48 576 93.86811471479407 0 0.5229411118883034 0.8982238167648979 184.17365615873226 1.0599139124351096 461.82797333440067 82.40897262227844 178.55231994371255 -143.14004416083873 -124.32677204898692 -133.20128725843713
49 588 96.24867469627887 0 0.5325918139704969 0.8543658897751988 93.43815781227663 0.625928082535764 489.2444585993385 111.04354893432321 154.62212416800224 -142.4873929836275 -93.28391316402059 -125.08586540229709
50 600 97.87003082352335 0 0.5130826930684083 0.8876870052333068 99.5912418913236 0.21169511724081336 499.50650889430545 147.70662499262934 176.25643784860213 -153.4622949128202 -144.22795378265664 -152.42568773252907
51 612 102.75429902019674 0 0.5148473554646119 0.8985758209208429 139.11717474563017 0.17484896575357656 496.9508670581444 212.29346086750905 228.82877654327342 -151.50422811845078 -137.24609524148326 -182.67334027428961
52 624 95.74876160466468 0 0.5109150630540973 0.8985908819943034 71.89861285142382 0.3726661356794613 499.6372792018882 151.68147207609735 192.78268553620853 -154.33897531346514 -110.29290382204911 -138.87405515730248
53 636 104.75982024173965 0 0.5067990323684839 0.8982167246558249 18.591690291094388 0.08843596795801378 493.7460441073855 114.88756149522793 150.5006794228612 -155.43706491649075 -135.30342679175376 -215.87427351532003
54 648 114.7152986176226 0 0.5088346780656365 0.8990130457891583 24.197674572959603 0.1463444428467513 487.1295371158859 147.48388015021445 104.4471411875441 -153.26550356413054 -73.42543994529862 -217.85165893989125
55 660 139.28902600784136 0 0.5072675485595843 0.8976658027800453 35.276206123356694 0.9594333562160786 496.766004306138 29.947284331337173 27.23515983317654 -155.93802901719454 -105.92740162629345 -175.20062472915922
56 672 153.38345118383646 0 0.5081425381540865 0.899746284340862 48.781102761015816 0.057631292326788534 494.5289139873931 62.24599236269933 74.7554493974385 -154.64543620299798 -89.20421210462902 -225.00598077553866
57 684 151.49180194928812 0 0.5077674009390756 0.8973068857549017 12.641808619702122 0.08345669864327215 493.59158792832557 125.92958469725997 56.9356258218619 -157.02235891136044 -75.76134836936976 -251.9689960793328
58 696 135.2937212777639 0 0.5060903447775496 0.8980991236602861 15.438216946252014 0.36288711366382753 499.1355486002437 135.98731691466566 10.265426292925678 -157.33858246659437 -75.16415416825156 -206.55657393666107
59 708 124.13097568551605 0 0.5140341525817318 0.8968838401008984 29.298705155964157 0.7650264587452202 474.99504397099656 169.38519104655165 13.51890726135966 -135.54065875822334 -28.724009004687737 -181.18086609080746
60 720 121.83370490559027 0 0.5163824919141278 0.8674033724848161 117.81792929539529 0.21104198041388245 490.6042348132085 159.18960655318017 104.55953332050937 -150.77431129242106 -87.34969851247357 -166.24317146469076
61 732 113.70390977173746 0 0.5139818336149478 0.8915564864879915 65.90591446475123 0.9052253037921734 468.98366957940397 115.27863055082938 24.4861230095716 -143.9651429010605 -71.69263078744959 -161.1058923527057
62 744 107.60101606465877 0 0.5127434353376414 0.8825076678087452 48.09682796251451 0.27315193569485097 499.1836239408508 182.46618135217088 46.90905994499192 -160.03131069040543 -95.1902558675866 -170.95851976989903
63 756 102.26773664960841 0 0.5091002137451648 0.8865888493998124 16.581480129787593 0.46452268069766856 488.42715030578415 76.94536629601681 119.25347418092548 -153.9998938667947 -112.80607104750642 -191.10047720266184
64 768 100.89894928442703 0 0.5061655008710695 0.899993758474405 20.796174451408312 0.09006938918775997 497.50860050436154 116.54504344505371 40.38217665837282 -157.07195334751577 -128.02077032668277 -251.32805582500765
65 780 95.74623018799916 0 0.5096045674046064 0.8999191800805466 67.98928958788383 0.3417517539428553 496.68301929874696 184.95524634053862 51.272960579276514 -157.34254817548447 -120.70140826798675 -185.00871486849582
66 792 88.33152707001861 0 0.5086898472712302 0.8868756643427842 39.05148707760558 0.27250551721882943 499.98150216431435 133.04090427311408 12.989363404766692 -158.70405316827657 -96.12506834292074 -219.2824742711803
67 804 78.23987376596101 0 0.50723030497799 0.8953900189638767 6.787824545807229 0.48106711389889156 489.0766921094351 145.9600871506485 52.0442038920254 -152.81156373976057 -98.54533306352026 -217.72526047347498
68 816 76.12039040714532 0 0.5075030481282272 0.8992883218287095 14.54411226877709 0.2963422675264892 496.4992672147377 218.397464208852 17.247213821816324 -154.50287436269983 -109.52809521206777 -196.40447752497215
69 828 70.12841365209736 0 0.5095847400382596 0.8993484947741395 77.93302729229272 0.062274902040055535 496.26701732553204 155.87089564728137 33.54643122191403 -154.48636761894164 -122.91448096868643 -226.31472631614048
70 840 70.45554507282166 0 0.5058558400828159 0.8972390146939736 3.823562552236057 0.39802109774679384 495.12974976305134 189.7335956531665 13.570382026080415 -156.01157819263364 -139.62523760704644 -205.15004247997695
71 852 65.00133460511913 0 0.5087871419363666 0.8999993504692917 32.98041930018302 0.3631883357406026 497.7707412347743 171.41817168395784 62.831312192865326 -159.2553036049581 -154.34684708329064 -214.42863793882697
72 864 64.07576690182901 0 0.505515975948567 0.8954309152133281 5.478739622776246 0.023195393880832388 499.91020864795007 214.72747192016683 36.315024333110884 -158.41250455411887 -144.67295254862302 -194.26200220230007
73 876 62.17834307594977 0 0.5072135583337016 0.8975694132812531 14.404430499896353 0.3817110544885055 491.1354100909855 198.06139115503325 68.36247109873216 -153.21313461018528 -143.0923902633174 -176.0530269650615
74 888 62.297378810326805 0 0.5073251583877582 0.897349414104378 2.958589605320596 0.25105711851211965 486.9873699056629 220.60351597274558 43.96674455297072 -153.0479636855379 -138.80516874608927 -190.3300817779957
75 900 58.85660300789271 0 0.5066752637906251 0.8992705340113838 20.580284812773492 0.04043844005422467 496.172601282726 222.11642942859484 69.12820016656157 -155.01368713122326 -176.53245915033017 -199.80789161275132
76 912 57.102118686317986 0 0.5060569657451488 0.8988294051047058 22.09018664739157 0.0383827725791668 499.12171467736084 236.2388957084473 31.191012186405395 -157.21373577715974 -155.86265983312637 -186.58789219366153
77 924 53.69509918273811 0 0.5061181058628952 0.8999729573235106 22.997357713180236 0.05418932610134604 498.4178276933163 216.10012777593337 39.169447873011705 -156.64457501473768 -151.27014297722792 -207.8766699210526
78 936 53.98602684552322 0 0.5060577673484179 0.8942588430474091 13.222571217253206 0.02702348140639882 499.45438456213685 181.12780720818967 16.3411436991982 -157.85339193355486 -145.59583785530612 -198.68927459426166
79 948 53.96041827538145 0 0.5059417764992209 0.8963513593767425 5.789712280315289 0.2602778817311311 499.9035922201044 193.30407369983726 10.80159710288305 -159.30055276631407 -149.6544223683395 -210.3704356017503
80 960 54.52827290569284 0 0.5059585807287882 0.8990859339269648 16.550258847920084 0.33332061144829783 499.9114377429289 181.1671539079089 70.91847262202988 -156.49582676687146 -154.42780579203998 -222.55133718771236
81 972 50.06016253741499 0 0.5052456024396617 0.8999998985015625 7.255200360574397 0.19013986058854299 498.2997376748842 191.0489741002545 18.03799254035585 -157.13440723253467 -147.14307281654746 -205.82597324552506
82 984 50.224799435714814 0 0.5054946888392816 0.8965981312512865 9.69321542705977 0.28283959452116303 499.9913969493544 234.1342125668162 14.881698902476796 -157.94748986171794 -158.10426121568582 -236.49272186793775
83 996 49.09797936808026 0 0.5056451530716323 0.8954082417889346 2.5006239872474048 0.16502981925021043 499.9917216502704 191.05813391539468 39.89125653615592 -156.59877560828286 -125.15246202354743 -226.94629028588858
84 1008 41.727834314407524 0 0.505153734445114 0.8977887864482226 1.0451104206003805 0.3640426223440416 499.994817922825 204.712227969223 44.73693786569966 -156.89504204160147 -151.12647851717674 -217.6658378094652
