% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=86415, Tue Apr  7 19:07:25 2026, <python>{}</python>
1 12 17.74597495877731 0 0 9.20339230369855 8.802881086025701 4.37123074856648 0.5067932025405809 0.5238298273192219 0.08849397404186561 0.3540424300899461 0.2650305933678336 0.34417326797312886
2 24 18.016526630668892 0 0 9.248867032520849 8.846259419729169 4.420151567978013 0.490714238074325 0.5552267828138133 0.08927097909224947 0.3599580000885618 0.2682474672259009 0.3394923810484801
3 36 17.821482710534116 0 0 9.290115309775896 8.618191726416928 4.41890186774989 0.47316335947191396 0.5336644766524464 0.09006429822535242 0.35929622377073256 0.2570675272511418 0.34136370764484103
4 48 16.70153986770873 0 0 8.490416199022786 7.933363422975553 4.108632930443858 0.43348829708024667 0.49307551454889426 0.08546444926124779 0.3369386765570548 0.23764638116120557 0.32130583157160214
5 60 17.144267358621722 0 0 8.856888228474016 8.130215373224532 4.435126680007367 0.4119691179102671 0.4998519232859934 0.08925337332326397 0.33893473196689655 0.2475814530582317 0.33525640697315606
6 72 19.867849214849358 0 0 10.150394739575566 8.927719297310178 5.101546853956327 0.47065920385463295 0.5933674806381751 0.11331994024841933 0.3957966647788524 0.3240864659331644 0.3836435017474013
7 84 21.935126294373962 0 0 10.811075133575592 9.946528723939231 5.626638260156464 0.4913827137224644 0.6546771842207273 0.11666666666666664 0.43429846543988915 0.39407137349146293 0.41991891432927625
8 96 23.140593243174866 0 0 11.400982934540155 10.164638752254358 5.885422738597422 0.5189375870409844 0.6630538344333158 0.11666666666666665 0.4598319947343274 0.42146128161952157 0.4354758506982831
9 108 23.63724878260562 0 0 11.828503931682643 10.314404570738215 6.0970175913248355 0.5136583808921619 0.6703627351952536 0.11666666666666665 0.4634817292703238 0.436674095528267 0.4672987348941398
10 120 23.446401351834854 0 0 11.652244076875087 10.048590742348217 6.06594611205462 0.49797217307444186 0.6501379430995793 0.11666666666666667 0.4667980496914798 0.43784334502201555 0.4612991054954195
11 132 23.336708385875387 0 0 11.85487375751767 10.065447406814192 6.096923106275354 0.48340849978837136 0.6464288743772514 0.11666666666666664 0.4373690747287673 0.4613577190235822 0.45739668004898876
12 144 23.876968969767482 0 0 12.764752906556453 10.678868164327419 6.206569694630141 0.4674723466222587 0.6488025363044673 0.11666666666666667 0.4538525086379087 0.4833333333333332 0.4552664454134889
13 156 24.138936210298834 0 0 12.888731110808688 10.45465524372553 6.346459916972945 0.45927789409291775 0.6566185705252128 0.11666666666666667 0.45579228409538314 0.4833333333333333 0.4803972484252407
14 168 24.53831573471686 0 0 13.31830915347437 10.48091125804461 6.371893168300919 0.45955187722603036 0.6827284699189206 0.11666666666666665 0.46756600563912065 0.48333333333333334 0.48778680704068644
15 180 23.591590901036852 0 0 13.035309114044122 9.979015254932325 6.2610827041866 0.4312641631261189 0.6491540994924132 0.10956496123218143 0.4553843869483879 0.4635383410464097 0.46350624937447327
16 192 22.743778545065314 0 0 12.761390173455641 9.39169711266313 5.969139531917621 0.4043569144286214 0.6311867170152409 0.10344280486610104 0.4662507785333373 0.443552210714136 0.4301875474804933
17 204 21.313007375223098 0 0 11.972910228195444 8.615117047764084 5.50926702609692 0.36375831926900126 0.5679942481750953 0.09533721162661626 0.45018341918550264 0.41395862418655194 0.4020518056418205
18 216 23.230791540491 0 0 13.032901575733568 8.926442787426735 5.9786078499172906 0.3994158389750264 0.6053880901933006 0.11131852177469917 0.5138676284639562 0.4480433253037762 0.44545892563063455
19 228 23.119186548458593 0 0 13.021309095958177 8.808990382714532 5.820321965405981 0.38158541195249035 0.5993079758729483 0.11145830050193262 0.5267154167024306 0.442520112513365 0.4425786881312132
20 240 20.363362255876755 0 0 11.24175957527333 7.785711608692234 5.018754405604903 0.32931154254642464 0.5214509974427392 0.09762283528183396 0.4680871901583161 0.37972044237082053 0.3863934660498039
21 252 21.07329350893257 0 0 12.030265124705476 7.907655971312045 5.249625975742905 0.33724705722030246 0.5759707793785174 0.1010168252831598 0.4893138838766191 0.3875301566848656 0.3901834824825504
22 264 20.02419905389474 0 0 11.022190020912793 7.4127281359082025 4.897353468395408 0.3183540097470398 0.5592242797467395 0.09473219725773228 0.4714483020591839 0.3503477153221037 0.3687593035385917
23 276 18.426344601859878 0 0 9.83366205377101 6.7650496709185495 4.579624860202227 0.2859894424247949 0.5156340818649517 0.0842835392309617 0.42853347982277823 0.31919652586458624 0.3281930667941345
24 288 18.467302197967527 0 0 9.900080364056008 6.292926308381374 4.619005375574981 0.27873300637884585 0.5203794807294749 0.08533176045134837 0.4388206485830875 0.29809959951262766 0.3226735436915724
