"model_id","formula","n_predictors","predictors","n_obs","r_squared","adj_r_squared","aic","bic","model_p_value"
1,"seed ~ Stim",1,"Stim",10,0.116883116883117,0.00649350649350644,242.658053536369,243.565808815351,0.333587001752103
4,"seed ~ Stim + Auto",2,"Stim, Auto",10,0.165656565656566,-0.072727272727273,244.089929007068,245.300269379045,0.530526380989261
5,"seed ~ Stim + BOLD",2,"Stim, BOLD",10,0.161212121212121,-0.0784415584415585,244.143056395975,245.353396767951,0.540483587638784
2,"seed ~ Auto",1,"Auto",10,0.0202020202020202,-0.102272727272727,243.696941986833,244.604697265815,0.695287685401266
3,"seed ~ BOLD",1,"BOLD",10,0.00757575757575758,-0.116477272727273,243.824984709293,244.732739988275,0.811038424058712
7,"seed ~ Stim + Auto + BOLD",3,"Stim, Auto, BOLD",10,0.190909090909091,-0.213636363636364,245.782590742542,247.295516207512,0.712966444462101
6,"seed ~ Auto + BOLD",2,"Auto, BOLD",10,0.0454545454545454,-0.227272727272728,245.435830546796,246.646170918772,0.849744082092905
