% # columns="iter, evals, sigma, 0, fitness, xbest" seed=123450, Fri Apr 10 08:33:49 2026, <python>{}</python>
1 12 18.48580676419791 0 0.7052372327973434 0.1330574439847213 45.44964593930631 0.2510934049055736 145.05869345542388 131.62974279140585 339.9163459994852 -32.76633221965532 -34.43466874627133 -84.73179699102516
2 24 18.636751248314447 0 0.7016281874881192 0.14333328063925313 50.31303407829095 0.41970509139194 146.2671631484265 114.86621106577343 363.77829679662017 -31.55380161790848 -32.39616616229848 -88.51412835488698
3 36 18.178442119004366 0 0.692455629658664 0.1770368417423456 52.09305067888073 0.45301151832164754 155.50491423899157 124.06102437384068 326.00868672532863 -28.821376127862138 -31.896423981854245 -77.37286285778788
4 48 17.61180117281806 0 0.6938325774676379 0.13351184476231048 60.39678635568489 0.3409770562771049 135.75248167928348 144.55622419242692 336.07376359554377 -29.92851750385466 -32.94208539057051 -86.04541365687297
5 60 17.705246749716537 0 0.6952315647463123 0.11253692568469692 55.77158327274081 0.33065240896191245 143.6629512167821 151.82614728356333 316.8841299861504 -33.219286373915466 -30.94994115854412 -94.60145328356398
6 72 16.29678955248395 0 0.6942854786588549 0.12407988891742276 57.088978845822815 0.18850023282133305 142.5206156243581 135.7113792316816 316.5829760213584 -32.39119892933033 -31.931114451299347 -95.63748995870094
7 84 15.761144007973718 0 0.6941677265684547 0.11407166809512262 53.619973991290806 0.34231416599006637 131.5698010778522 138.74330279847243 330.8502806158411 -28.174294245959032 -28.53799408143191 -84.43045797347672
8 96 15.402662891602395 0 0.6951763605067048 0.13810550047900555 58.213554197939025 0.19675121868009343 131.47432637602162 152.38047103208768 338.83731484374664 -27.43327646238546 -33.25889558958061 -82.28832544754016
9 108 15.230284281150556 0 0.6922601955607626 0.12693489730048468 69.08541804439247 0.14027153625055128 133.74365729177794 145.2146963354289 341.47055734349806 -28.51117170582625 -32.78610640836446 -88.5507223524327
10 120 14.78007316458993 0 0.6948789994206834 0.14349250123572632 69.10623369511286 0.2886551591904774 139.0687394607532 147.39162237887015 342.24868995647904 -31.002901392080194 -34.10854146127833 -92.67943594767328
