% # columns="iter, evals, sigma, 0, fitness, xbest" seed=98760, Fri Apr 10 04:23:26 2026, <python>{}</python>
1 12 17.79596325932265 0 0.4449501087312384 0.1336100596226769 47.96694846377335 0.6034288151714255 143.65082634682167 143.50374604304014 322.3655070278061 -29.770492764936183 -29.569986908071822 -93.76816776995543
2 24 16.66593279893457 0 0.39602120185047907 0.1565033595078271 58.626696791630295 0.26734915629685385 134.1644025402127 125.69989580718112 340.6250125837008 -34.35115574205124 -30.31479894827078 -99.24594869288393
3 36 16.36053095456913 0 0.43165703104739517 0.17798776949981387 63.912545674823846 0.22553269594657033 136.61566659879895 122.91008422547694 340.0144512250665 -36.17935165091376 -35.28016508556583 -99.36960955377235
4 48 16.80433448710939 0 0.39829913134689565 0.14615234141032185 61.41895621958102 0.23248548806852593 141.05038614048706 126.85920562256328 313.0716620967455 -36.654446602824194 -30.181501977686597 -96.63767862221175
5 60 16.32720812684662 0 0.41898602894427517 0.14589985073206566 72.37834617100285 0.33489918610554625 136.91312059025523 112.16985828751454 324.6369202115483 -34.88552827366139 -29.273220835589516 -94.20908796082576
6 72 15.388545815237004 0 0.41242593206973344 0.1325177305268369 75.93617635778149 0.12094673339151155 131.220503831098 128.90957712620062 319.3843765689447 -34.22929182048441 -38.41782527205813 -107.1192344562567
7 84 15.700455406653541 0 0.36996579733716195 0.14815659028927292 78.72028594748431 0.3819246049536603 127.06484918731906 139.18359506418136 317.1476859377751 -32.40125456169691 -35.582022881695146 -94.06009686921438
8 96 14.246683084258558 0 0.42896520796693594 0.1661630857173271 73.69047665170754 0.17322742699022575 126.73706185325712 131.69896860470146 326.1310152814506 -33.40178485267833 -35.13948627771959 -95.5719502060962
9 108 13.397008117020993 0 0.3755928920472019 0.14983451141724083 75.97242403366016 0.3013001905468343 128.3305347040737 106.29740995956591 318.6348157199669 -33.17440681224381 -30.900798671726548 -96.3500178151817
10 120 13.609765098574853 0 0.3842835412642015 0.15915021876371857 68.75563651372022 0.20721858533131318 126.79728202850306 127.64369254934994 327.23689906772796 -32.62994133127074 -33.03789973627691 -84.56766271597927
