% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=318616, Fri Feb 27 00:52:13 2026, <python>{}</python>
12 480 38.27727712662822 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
13 520 37.44896078700799 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
14 560 34.046821053438556 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
15 600 31.984981961332842 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
16 640 30.811302696983823 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
17 680 33.94947573449543 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
18 720 31.359584216945265 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
19 760 31.169310795632086 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
20 800 29.216639192619482 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
21 840 29.495503928302753 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
22 880 27.076070842523297 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
23 920 26.103111304325168 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
24 960 28.347843661847246 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
25 1000 29.818470288731156 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
26 1040 30.707317343440216 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
27 1080 31.38027298153479 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
28 1120 32.75723879559471 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
29 1160 35.2977838900256 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
30 1200 35.095127678367454 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
31 1240 30.79116002184019 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
32 1280 27.408975934252542 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
33 1320 26.308559171388673 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
34 1360 24.81158713630536 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
35 1400 25.367489418689996 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
36 1440 23.02350384850058 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
37 1480 21.545761610471388 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
38 1520 20.960876880198228 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
39 1560 20.60560127807311 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
40 1600 21.108077004968607 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
41 1640 20.453692096065815 1 0 0.0009665779668891404 0.0007104293988855943 0.002413203558561313 0.0008288076392129018 0.007470278957551785 0.004731546620602077 0.5 0.5 0.25 0.021116087553147513 0.16996139410007421 0.03 0.03
