% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=111105, Wed Apr  8 10:22:13 2026, <python>{}</python>
1 12 18.772842487542974 0 0 9.923083702180735 9.406865193821854 4.70048551497068 0.563652138822573 0.5469720402428431 0.09135389171301002 0.3586612732680986 0.2769556561867139 0.3661612709059786
2 24 20.37392161646568 0 0 11.75328479345091 10.010852394615583 4.974609438246285 0.6281771637081723 0.5825395930094159 0.09635020986004986 0.3891060650485357 0.29695170347579536 0.4000763530231495
3 36 20.666525328227927 0 0 12.239287081858544 10.038347455557366 4.979161762432393 0.6415365575388601 0.6182819862878927 0.09447967906175929 0.4073590296117302 0.2988183972084991 0.40659762006941513
4 48 20.104885357365447 0 0 11.37727672165412 9.787889456879414 4.85048637633429 0.6176193525790296 0.6018916974843861 0.09006680975852666 0.40967970707036966 0.2883037407638977 0.38709154880155694
5 60 19.177240433778255 0 0 10.663168637343874 9.152250109035473 4.665637816185246 0.5548747907534044 0.5612029307923652 0.0856368760865549 0.39391593937387676 0.2749901725423149 0.3761858565580296
6 72 18.191994741950037 0 0 9.798690369357805 8.868761501288034 4.364135335283995 0.5015075965831318 0.525134241850815 0.0815636572460555 0.3837144366233518 0.2563244343896524 0.3629395673095953
7 84 16.9351867214179 0 0 8.821323720279146 8.375302172894123 4.0414111445668 0.47030643694767893 0.4852053619449514 0.07547278039116861 0.3612426082231602 0.23806315289043636 0.3395215814385087
8 96 15.935017287685213 0 0 8.16927164890575 7.818356201880132 3.7945698357168736 0.44870665197725584 0.4489395891508171 0.06978129541753655 0.34227235269818995 0.2225219389723337 0.30750441242516513
9 108 15.85624063334876 0 0 7.91969279195582 7.811431668906217 3.793510242228682 0.4434585354453135 0.45697795255439216 0.0706789873826026 0.33548759413894297 0.2094751740227132 0.3101266140816733
10 120 14.802773015318099 0 0 7.372184268016951 7.094822936550141 3.4770428473635695 0.4199851359368744 0.4169859178774385 0.06564663385853173 0.30487112476968986 0.1928042327088538 0.2911782119614269
11 132 14.736525933746991 0 0 7.357687315611567 6.896762868768568 3.4260700017387706 0.4123033076171088 0.4046953134675454 0.0657610996011849 0.31094670172502004 0.18886284905591635 0.2905794433342143
12 144 14.70426573385567 0 0 7.487192406934235 6.910891649621125 3.3865109881908566 0.3996705906124919 0.4143020584503207 0.0643757911305562 0.30959458237901194 0.18502581072313004 0.285025412957315
13 156 14.81024469390135 0 0 7.491012920872727 7.049012551321261 3.375332446662249 0.36992891786656373 0.41669647967786705 0.0655252225777882 0.31157522948721156 0.1897194488616002 0.28920688208588075
14 168 14.673078419634258 0 0 7.023223805637611 6.982742192028174 3.29312014883191 0.3596648215358557 0.4120650004098608 0.06368058582256146 0.2980738978753631 0.19059574279202485 0.30111330436847555
15 180 13.511734153079566 0 0 6.29616246319592 6.111597102614627 2.990223743715099 0.312797080726797 0.3825269566810688 0.0586009270020255 0.2706234514475602 0.17842004367436715 0.2753148513597588
16 192 12.948019650666126 0 0 5.782856678919755 5.773302673257389 2.8363860860524777 0.30154854138491094 0.3742475045253279 0.057784059445474927 0.2463947268808433 0.17347633249943312 0.27223226084901975
17 204 12.640829337962103 0 0 5.622736081486022 5.418722676749533 2.668914124071474 0.2966081542847736 0.37744689274646226 0.05751649101214384 0.23693939944842768 0.16798810414282064 0.26018715358329736
18 216 11.974931088376415 0 0 5.237368140871319 5.125877021225438 2.46137955756722 0.2786770249383028 0.36520508777764205 0.05491408477417256 0.22131358323380854 0.16234004616635866 0.24076922806141912
19 228 11.588242437293061 0 0 5.056867296084674 4.784415026755741 2.355430588215753 0.27245121881147916 0.3549633450678186 0.051155181742179555 0.21108790405079111 0.16669859941447487 0.2255938689493103
20 240 11.676669253789456 0 0 4.903539352215705 4.836149622291188 2.4037127905926847 0.2741995989334689 0.3557117492134304 0.05058928156172609 0.2087376096171202 0.16681098091518548 0.22104490117284623
21 252 12.547363841852674 0 0 5.658761487747612 5.652543209584332 2.593896269424401 0.3129669234396541 0.3681319633435681 0.05466670024527 0.22539889808702082 0.18051761882676695 0.23899697354296232
22 264 14.634873320821809 0 0 6.803169346036575 6.459602825171491 3.138819335037684 0.36353534360953504 0.4480800773529187 0.06524225284622813 0.26398579294587177 0.22640976762473097 0.2844772105589368
23 276 13.740432685586285 0 0 6.386714732655431 5.994308280876868 2.9450372934279847 0.3372156523575858 0.4082677352979555 0.06008642238644991 0.2515958859179015 0.21017873510745216 0.2686379085790623
24 288 13.640965080019837 0 0 6.309524341336767 5.997766740443138 3.01002230632968 0.33011749787201217 0.41467505519357817 0.06270237347604078 0.2527203098442877 0.20181361582221094 0.2673029863067754
