area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_raw,target_change_raw,change_delta_raw
V1,24c+32,"38,28",-0.4558734988837386,0.003786,0.7730751451355619,0.015773,1.58968846916,0.75996956825,0.829718900914,True,1.2289486440193005,0.011987,1.2169616440193005
V2,24c+32,"38,28",0.2375117341989203,0.043747,0.6513266667601967,0.039852,0.63534160918,-0.0977366255144,0.733078234694,True,0.4138149325612764,-0.0038950000000000026,0.41770993256127636
V4,24c+32,"38,28",-0.1871458490461841,0.096906,-0.5452619834491772,0.01233,-0.656778109007,-6.85936739659,6.20258928759,True,-0.3581161344029931,-0.08457600000000001,-0.2735401344029931
1,24c+32,"38,28",0.1271032202314345,0.054903,-0.24379404619850137,-0.127009,-1.52135489858,-1.43227645285,-0.0890784457352,True,-0.37089726642993587,-0.18191200000000002,-0.18898526642993585
3,24c+32,"38,28",-0.0497427899685163,0.04628,0.8127486053556613,-0.000506,1.06120316866,-92.4624505929,93.5236537615,True,0.8624913953241776,-0.046786,0.9092773953241776
MT,24c+32,"38,28",-0.296447096604313,0.175566,0.299838424334211,0.03625,1.98868948255,-3.8432,5.83188948255,True,0.596285520938524,-0.139316,0.735601520938524
V6,24c+32,"38,28",0.0028506044505691,0.139254,0.0714722080752912,0.217226,0.960115903407,0.358944141125,0.601171762282,True,0.0686216036247221,0.07797200000000001,-0.009350396375277917
DP,24c+32,"38,28",0.2627725732098758,0.199567,-0.47630537550839724,-0.259572,-1.55168928742,-1.76883099872,0.217141711298,True,-0.739077948718273,-0.459139,-0.279938948718273
TEO,24c+32,"38,28",0.0893806531495517,0.031259,0.1331729009293659,0.072362,0.328837529814,0.568019126061,-0.239181596246,True,0.043792247779814206,0.041102999999999994,0.002689247779814212
8m,24c+32,"38,28",0.6169810193636821,0.175673,-0.40837066756123525,0.165189,-2.5108357881,-0.0634666957243,-2.44736909238,True,-1.0253516869249173,-0.010483999999999993,-1.0148676869249174
F4,24c+32,"38,28",0.2230825589129648,-0.015774,-0.6129443417839615,0.135711,-1.36395239128,1.11623228773,-2.48018467901,True,-0.8360269006969263,0.151485,-0.9875119006969263
5,24c+32,"38,28",-0.0485051982447221,-0.026274,-0.3093487195354067,-0.164674,-0.843202201329,-0.840448401083,-0.00275380024604,True,-0.2608435212906846,-0.1384,-0.12244352129068461
2,24c+32,"38,28",0.0890824217435257,0.088933,0.03994420566929893,-0.059867,-1.23017131649,-2.48550954616,1.25533822967,True,-0.04913821607422676,-0.1488,0.09966178392577323
8l,24c+32,"38,28",0.1412920537864236,0.16706,-0.33895544249073845,0.064032,-1.41684550851,-1.609007996,0.192162487495,True,-0.480247496277162,-0.10302799999999998,-0.377219496277162
F1,24c+32,"38,28",-0.1848361842128097,0.023885,-0.004683144737236269,0.014027,38.468390277,-0.702787481286,39.1711777583,True,0.18015303947557343,-0.009858,0.19001103947557343
STPc,24c+32,"38,28",0.1406087010004935,-0.004758,-0.21881743223621036,0.021164,-1.64258454897,1.22481572482,-2.86740027379,True,-0.35942613323670386,0.025922,-0.38534813323670386
7A,24c+32,"38,28",0.0103944873931981,0.03126,0.14131730863127284,-0.022945,0.926445758882,-2.3623883199,3.28883407878,True,0.13092282123807475,-0.054205,0.18512782123807475
10,24c+32,"38,28",1.2795216426735585,0.313056,-0.3422203670056283,-0.259452,-4.73888221168,-2.20660468988,-2.5322775218,True,-1.6217420096791868,-0.572508,-1.0492340096791868
F3,24c+32,"38,28",0.0890592557096569,0.09415,-0.5216346522225088,0.073127,-1.17073109566,-0.287486154225,-0.883244941438,True,-0.6106939079321657,-0.021023,-0.5896709079321657
