% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=49380, Wed Apr  8 02:31:08 2026, <python>{}</python>
1 12 20.508292459019867 0 0 9.903182795076782 11.074697254877163 5.087859963749337 0.6422151090396757 0.602730548363199 0.10133242179291992 0.4057101211535196 0.30450277081453836 0.39574731023735005
2 24 19.707742151269603 0 0 9.539219312129411 10.41078435547919 4.941916755816676 0.6139960081723607 0.5617900304915937 0.09583110214128532 0.38281920465095426 0.2931157353393376 0.38559327481225997
3 36 19.99953578678126 0 0 9.700426169747905 10.395000421956759 5.078032749173778 0.5963498700170684 0.5673962023386535 0.09925178041158364 0.3836201054629944 0.29408709821641027 0.40481396860505114
4 48 19.193470182660384 0 0 9.251295611360533 10.549596222023391 4.820949354261782 0.5646741289389957 0.5588441155305154 0.09631009201161614 0.3645733239722587 0.28069461854145616 0.3680320631864488
5 60 17.77263360898785 0 0 8.347181665692045 9.762554539165743 4.3483381832351204 0.5295921612301278 0.5029276967188036 0.08953672425874128 0.33574711507093724 0.25903835348933507 0.3377462676318429
6 72 15.265799745372938 0 0 7.069202498868973 8.22992728356655 3.716772585906233 0.4443814022050059 0.42466418050402815 0.07670457296463828 0.28921603501202575 0.2180862544962948 0.28290532511750466
7 84 14.190640520644287 0 0 6.333177209745174 7.572894746193347 3.426753504856612 0.4093843265677044 0.38952850035089215 0.07130928823140949 0.2651285575269386 0.20392046236615236 0.26262578052871893
8 96 14.769077766428268 0 0 6.602760071873497 7.9341032720722415 3.6151573003042254 0.4252809278116091 0.39585598779297854 0.07455465718542265 0.27759330631870366 0.2058407039565593 0.2914635905355613
9 108 14.457464614594615 0 0 6.314848678057206 7.741643314504685 3.4977124475272254 0.41598124204911113 0.37662446420260276 0.07162822142557214 0.2715994357931929 0.1971240308866537 0.2879011243502619
10 120 14.65249739068617 0 0 6.221650400697722 7.796107088138564 3.910310939300494 0.4234174899775396 0.38952714385688264 0.07287975936917927 0.2710022093608181 0.19569273181938898 0.2873692414062693
11 132 15.770294325133523 0 0 6.697267195813846 8.238074495114075 4.527070951094426 0.4536328284580794 0.422682979150775 0.07723826587128588 0.28710028087699824 0.20155655637290415 0.3209024239376311
12 144 18.04009249122396 0 0 7.53825695895867 9.572284628208138 5.590687018475287 0.5538146806633211 0.49520717848388623 0.08766439791229662 0.3220469121352666 0.2250492007158599 0.3615130222027689
13 156 18.211336488185495 0 0 7.43919758293721 9.40214433806163 5.809847960419822 0.557285500783301 0.4957381250353199 0.08799281044207462 0.3269106910042301 0.21518492102625936 0.36142393362544123
