% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=86415, Fri Apr 10 02:17:59 2026, <python>{}</python>
1 12 18.4516486780396 1.0000444454321133 0.7236756430133658 7.2367564301336584e-01 0.8877818905686105 1.0264712277795465 0.1481846268440732 0.7976385632980654 nan 69.9   
2 24 17.547781401266963 1.167364587146624 0.7020449513243934 7.0204495132439337e-01 0.84355364138192 0.929946271764412 0.0836375696977597 0.7928470546598401 nan 138.4   
3 36 17.845512888924528 1.2840716087061066 0.6816183666111238 6.8161836661112385e-01 0.8341214439353019 0.9383469250057083 0.12743036634457583 0.7379538926923866 nan 207.5   
4 48 19.97303721352605 1.4761707606002423 0.6816183666111238 7.2054318092289815e-01 0.7669426966321597 0.8525808630866976 0.05770771793935614 0.7275693665220501 nan 277.2   
5 60 21.201939117716492 1.8275855201829065 0.6816183666111238 6.9654298700138972e-01 0.7239072690188402 0.7667998692716411 0.004486886181907845 0.7231173942075919 nan 345.3   
6 72 20.464141008694178 2.0255584099208037 0.6816183666111238 6.9560227145924791e-01 0.7235888144879812 0.936507303367473 0.01917993110783811 0.7158172096623462 nan 413.8   
7 84 21.93119714739635 2.0273361626354673 0.6816183666111238 7.0031155668390854e-01 0.7252866243607725 0.79919429335387 0.009769981231019353 0.7222659374009122 nan 482.6   
8 96 23.231947852346973 2.1066838732856508 0.6816183666111238 7.1385314918078691e-01 0.7285433529800971 0.8258773256048926 0.009960495539792613 0.7246608423068155 nan 550.9   
9 108 24.27655964531817 2.190432501441868 0.6816183666111238 7.1543663039547667e-01 0.7299740408323212 0.7810135622130068 0.01945244167666127 0.719005181326436 nan 619.0   
10 120 24.377135377031088 2.2455098556875623 0.6816183666111238 7.1316219972591122e-01 0.716355211655209 0.8334092265969594 0.011824033496780184 0.7150191282271124 nan 687.8   
11 132 24.542221013037498 2.193318485061287 0.6816183666111238 6.9689678936878385e-01 0.7151425022282822 0.7316138359781249 0.017676073798651437 0.700506483900136 nan 756.9   
12 144 25.27533066345713 2.2734843058279095 0.6816183666111238 6.9460380860651183e-01 0.7016450898987403 0.7807380167887951 0.01689303202755532 0.7001893806511603 nan 826.0   
13 156 25.99894204425537 2.175005729430545 0.6816183666111238 6.9517692068195402e-01 0.7023743183497106 0.7211588654551493 0.013460967180261796 0.7012306976905083 nan 894.8   
14 168 26.836386094045213 2.1927213707931865 0.6816183666111238 6.9775102729869443e-01 0.7064892378135675 0.7157709526561222 0.012462358784825378 0.7011349589650915 nan 963.9   
15 180 29.468832353787185 2.314772857273473 0.6816183666111238 7.0094159314839755e-01 0.7016989726490044 0.7144249204592243 0.0007520095337503196 0.7012567591439205 nan 1033.3   
