% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=86415, Mon Apr 13 10:33:15 2026, <python>{}</python>
1 12 19.631271366699398 0 0 0.008577912372320164 4.532568272852029 0.020957531771212443 8.565119096482613 8.272754564508643 13.521938055690065 2.4422806200666622 2.5702899938297135 7.366582674190532
2 24 20.523071158888403 0 0 0.008857934443847077 4.6810237049374654 0.021969480353945994 9.094272671674965 8.278791385072015 14.305380430948613 2.609829977560729 2.713186903933922 7.634861116647382
3 36 19.061199926119944 0 0 0.007911295434556924 4.2828196265867895 0.020552243670753065 8.46773582964608 7.700110771803302 13.002403478322814 2.4055418534110746 2.5065906737949275 7.029517314598208
4 48 18.556204502623235 0 0 0.007617358870941854 4.014023099152185 0.02054549347221712 7.938759178252536 7.4506017459021825 12.506760709328743 2.2769866035440223 2.472582453238018 6.770308239390555
5 60 17.85169693077395 0 0 0.007281919100287949 3.722082240202896 0.019725826856597833 7.673343459197217 7.199005428179383 12.000092410419224 2.2176043749923875 2.2274700408885306 6.573320612112737
6 72 17.93722564078823 0 0 0.007309983961661451 3.6898963950273336 0.019730685303939417 7.602908044922523 7.338312622473944 11.606729161303685 2.3580050889283006 2.2319172825401257 6.445132261210057
7 84 18.166724202738564 0 0 0.00741977946331055 3.607430749933862 0.02024879301288022 7.822852172299105 7.068921219817177 11.715382119467419 2.434551711892342 2.2370588908353177 6.590903995967148
8 96 19.077318363348756 0 0 0.007615699516416284 3.7644529918528358 0.021558022633266723 8.208195422573098 7.326698115193193 12.03437354929636 2.583894277141398 2.4521468574210274 6.965404242781649
9 108 19.217345426589656 0 0 0.007469063091088243 3.6685836344214127 0.022444491738675163 8.58354104627966 7.390511638827396 12.063606766860048 2.5635936641113792 2.4992546935975875 7.126613841614047
10 120 18.397821561051902 0 0 0.006714285130321004 3.451011285653578 0.021665217617709617 8.038376199420876 7.113532617594312 11.273657779782983 2.4242828912250562 2.3869822699753493 6.759733123769182
11 132 16.349478412345004 0 0 0.006000911451713599 3.0370518319213593 0.019343354721442052 6.9903542232219396 6.1663825591583 9.935768650871847 2.1420829822762477 2.1352923862092754 5.7244979385334265
12 144 14.795328288540052 0 0 0.005462564194674319 2.673251062856622 0.018033771295371565 6.518231569782821 5.579055135618934 8.681007351720725 1.8848530383360522 1.9371351171352718 5.157554796814092
13 156 14.387650738558236 0 0 0.005374203294085662 2.576056851518228 0.017811055473648356 6.461721164612766 5.477793841830547 8.230261160510205 1.795318781892992 1.9111231318646946 4.9031630027755595
14 168 13.782870262681246 0 0 0.00521273718179197 2.3360056109339524 0.017735976144177653 6.147188637782002 5.295085648443816 7.805011571262845 1.6436457384543472 1.8010280855098737 4.586470945594932
15 180 12.892670323295503 0 0 0.004768560730206734 2.1529979819092793 0.01655569917367109 5.613591750069117 4.961107303765817 7.23949705210214 1.4900495620159444 1.7450944539942466 4.271507437860972
16 192 11.935980254089225 0 0 0.004296511829037849 1.9941120728749289 0.015090894080665555 4.984826016662451 4.692075269595709 6.681569588719697 1.3294411568184155 1.618265829314399 3.8506084726076453
17 204 11.652710414461504 0 0 0.004169061917118645 1.917409952058875 0.014811859349651017 4.698109507558733 4.600380833564459 6.543373854325903 1.2935796290373667 1.5653738199570462 3.842385940992157
18 216 11.319542963648832 0 0 0.004057100245312825 1.809914677371867 0.014075818841638908 4.737371799807144 4.569139938962441 6.463370651034314 1.2368993667127581 1.5621354002714518 3.764015229444238
19 228 9.869403909207389 0 0 0.003545568484919238 1.5617818617850503 0.012115544206430502 4.087307619311537 3.9066813525636515 5.554579177413449 1.0866808959498386 1.2900918393028473 3.29511804566512
20 240 8.583259607222253 0 0 0.003031689913207384 1.340504060376514 0.010338428672496834 3.5392188873460966 3.3916934205572002 4.825584876030478 0.9493652920338217 1.1291904953550043 2.8592196951833446
21 252 8.39207429618349 0 0 0.002970882376348654 1.2840099388824833 0.010120542998319073 3.5884227489959684 3.303661954332621 4.703342477009769 0.9924468690326441 1.059620293850584 2.8227989362928367
22 264 8.157478847216327 0 0 0.0028361763746623907 1.2525913738213768 0.010029194085222043 3.438706404822029 3.2184562602176694 4.493792437594175 0.9536657617043816 1.0044382712068656 2.781550734376032
23 276 7.991529299760513 0 0 0.00267122756060685 1.2189378054812887 0.009874185029502533 3.2209084005924513 3.1420867479412227 4.297749221418502 0.9148220517599681 0.9442292736680149 2.656665322323638
24 288 7.850935504733112 0 0 0.0026142132871886346 1.2149794370878058 0.009579314006625055 3.081441421659331 3.0320000196720382 4.284543512799354 0.9118832986133157 0.9057183861111652 2.5897788526602543
25 300 7.4210293390059245 0 0 0.0025312191461814536 1.1164661203560438 0.00895384990998841 2.9205656691132806 2.8822001029166415 4.051761241269415 0.8499864925692775 0.8141136166155418 2.3978587219568626
26 312 7.623410885967507 0 0 0.0026178388079397892 1.1784699371724008 0.009001119907824803 2.935069658009103 2.922398939134961 4.26431689052371 0.8620894881811837 0.8433661061731033 2.5390103390763916
27 324 7.349785539036571 0 0 0.0025365323151232857 1.079996926458382 0.008842146017251582 2.787347981307383 2.8407877830085457 4.068346408171024 0.8049358062591528 0.7977120984056626 2.503547946131946
28 336 8.057242158542742 0 0 0.0027607062880261953 1.260113619692094 0.009656547533988008 3.2707915048869154 3.0923002547549148 4.377335275185133 0.897793646155152 0.8899672653613498 2.8705970357127453
29 348 8.062007519973866 0 0 0.002786072718686874 1.224704408014126 0.009522046759190177 3.3250250159273294 3.05337767849661 4.37042317152894 0.9050274193572938 0.9223295296226682 2.9214484163180394
30 360 8.236867240409218 0 0 0.0028790513823479694 1.2646853147186423 0.009501867443307258 3.5224390939282464 3.1598010938062635 4.5584837619836 0.9505015245582182 0.9479837204823303 3.018826879236996
31 372 7.957627285301338 0 0 0.002843734889078478 1.2295710946456613 0.008945157682192404 3.427868255579717 2.965670893024796 4.4112086965488535 0.920149721564832 0.9034061136593372 2.9620982135139147
32 384 7.307601085786712 0 0 0.0026020023466866832 1.0623960836538107 0.008251584925793363 3.2173545915954307 2.724807329421037 4.083326181129926 0.867539122522293 0.8042490627704255 2.6842666626056007
33 396 7.24728023127038 0 0 0.002694160775918394 1.0711191035168477 0.008577650754629778 3.1878411219054015 2.6340080604451668 3.978590681527159 0.8483186097031077 0.8018992227824828 2.6048737673245963
34 408 7.42712341808223 0 0 0.0027006448005202897 1.0733751583724869 0.00940341549258529 3.2346127688922133 2.610379793379298 4.087224027774233 0.8729781332912891 0.8238588641497692 2.7000450662943476
35 420 7.752084981865681 0 0 0.002994403178200161 1.1259798952549358 0.00955216199217827 3.3684544613529086 2.663203668965882 4.180224531566382 0.9098896234703102 0.8664319933153599 2.8221518433564623
36 432 8.090319024948062 0 0 0.00329087638704708 1.180260823621448 0.01028888851636729 3.456246267255049 2.7228212019667497 4.157426270429144 0.9432333284353881 0.9087579809423779 2.961261444682556
37 444 9.013604205660842 0 0 0.0035837273979960295 1.3021612947376493 0.011752734862146364 3.851989103615862 3.099931770530765 4.666590678001559 1.0447614852127494 1.0145822353050968 3.4452160774684852
38 456 10.046069065205204 0 0 0.003972788386605107 1.453386052273171 0.014029082423639969 4.215039511431144 3.3745782993171467 5.335545160109411 1.1378552781546023 1.1105147838459983 3.8710034672195364
39 468 12.423001619548224 0 0 0.005047216295463849 1.8636867450810066 0.01835491065875303 5.173756064670437 4.232264748035543 6.555602422032572 1.3816326384128899 1.390378403518605 5.027446288299271
40 480 14.454807822281756 0 0 0.0057324983338097185 2.198097390007496 0.022313252249738024 6.313443164138895 4.869779153414553 7.695520538858664 1.7146125791084261 1.6096580195426113 5.978925105139668
41 492 16.21870746362405 0 0 0.006508096846181674 2.4834294147072367 0.025876173581448392 7.2873828753862515 5.2660409282034335 8.741753672566498 1.9689512877456983 1.8795924123147643 6.9074043716902604
42 504 18.1677519596506 0 0 0.007633645361469047 2.7742490768260457 0.031143884411008592 8.036005611383978 5.997349030965271 9.802147495955726 2.1773628237017517 2.131518585854655 7.852947013290984
43 516 20.023817505113524 0 0 0.00832386585735338 3.0971521514299054 0.034676380443173914 8.981984742098767 6.612549426584126 10.845908172449949 2.429722086867682 2.335696574921269 8.790134492963738
44 528 24.06636747555748 0 0 0.010333749047831691 3.7090072030053602 0.043183413753703485 10.37657556304758 8.24513822721037 13.59736746445013 2.81843317530046 2.8313171865127726 10.667384486489283
