area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid
V1,24c+32,"38,28",-0.023210752581631,0.003786,-0.014698422828471575,0.015773,0.008512329753159426,0.011987,-0.003474670246840573,True
V2,24c+32,"38,28",0.0335689192068627,0.043747,0.10139923126639129,0.039852,0.06783031205952858,-0.0038950000000000026,0.07172531205952859,True
V4,24c+32,"38,28",0.5054526326408569,0.096906,0.5384105204397165,0.01233,0.03295788779885955,-0.08457600000000001,0.11753388779885957,True
1,24c+32,"38,28",-0.1351595497032337,0.054903,-0.05600274740442294,-0.127009,0.07915680229881078,-0.18191200000000002,0.2610688022988108,True
3,24c+32,"38,28",0.0461615099080281,0.04628,0.09748635333225088,-0.000506,0.05132484342422278,-0.046786,0.09811084342422277,True
MT,24c+32,"38,28",0.2760532899709556,0.175566,0.27723559203216075,0.03625,0.001182302061205176,-0.139316,0.14049830206120517,True
V6,24c+32,"38,28",0.2853393755645742,0.139254,0.33384648962290864,0.217226,0.04850711405833441,0.07797200000000001,-0.029464885941665603,True
DP,24c+32,"38,28",0.1831413731561176,0.199567,0.18750875915598494,-0.259572,0.004367385999867357,-0.459139,0.4635063859998674,True
TEO,24c+32,"38,28",0.1567724526987629,0.031259,0.20343110392283376,0.072362,0.04665865122407087,0.041102999999999994,0.005555651224070875,True
8m,24c+32,"38,28",0.2153823204620917,0.175673,0.21336553494451158,0.165189,-0.002016785517580111,-0.010483999999999993,0.008467214482419883,True
F4,24c+32,"38,28",-0.1555707853177824,-0.015774,-0.10136532114951147,0.135711,0.054205464168270934,0.151485,-0.09727953583172907,True
5,24c+32,"38,28",-0.1973410635856521,-0.026274,-0.12152942686110801,-0.164674,0.07581163672454408,-0.1384,0.21421163672454407,True
2,24c+32,"38,28",0.1932437367442621,0.088933,0.19817474950772362,-0.059867,0.004931012763461529,-0.1488,0.15373101276346152,True
8l,24c+32,"38,28",0.2090286835326321,0.16706,0.20531837391684574,0.064032,-0.0037103096157863613,-0.10302799999999998,0.09931769038421362,True
F1,24c+32,"38,28",-0.1818072622579727,0.023885,-0.1370432387770184,0.014027,0.04476402348095429,-0.009858,0.05462202348095429,True
STPc,24c+32,"38,28",-0.0229528108625292,-0.004758,-0.08474809207360776,0.021164,-0.06179528121107855,0.025922,-0.08771728121107855,True
7A,24c+32,"38,28",0.3734438648195703,0.03126,0.3946395841283641,-0.022945,0.02119571930879377,-0.054205,0.07540071930879377,True
10,24c+32,"38,28",0.5117664630273937,0.313056,0.46464609688002706,-0.259452,-0.047120366147366644,-0.572508,0.5253876338526333,True
