% # columns="iter, evals, sigma, 0, fitness, xbest" seed=49380, Wed Apr  8 22:58:19 2026, <python>{}</python>
1 12 18.574321912075973 0 0.7999358957953712 0.14516283026283872 48.50332238117893 0.5888776199969341 126.51075594013678 123.0159404615644 336.60867361480075 -32.19335804577674 -30.81868860982751 -102.72179992213604
2 24 18.327894740229556 0 0.8405589502458826 0.16669261377767464 75.08209355059154 0.4617829189853906 138.73208575921092 110.72234019244611 355.61472658918524 -31.686960619247184 -30.34358098505653 -108.19326127447702
3 36 18.325257021676055 0 0.7853820566463279 0.1576051312658994 72.0998671444434 0.37675028558009993 126.04529595582518 108.46619230295563 350.57321662795243 -35.09830747798609 -29.803727284462372 -97.63798442825369
4 48 18.097290039553183 0 0.7678246499488413 0.17423729411950872 76.66897114483132 0.3189159852555205 124.45877042003319 127.40610919024262 364.34730229643316 -32.008747673376895 -24.01864467034677 -95.25092445687626
5 60 18.19334569449206 0 0.8162442628969075 0.17093969962785846 77.34953227012622 0.3692199964455608 119.69428127994267 121.2265853016753 362.8157479249548 -28.874392041286214 -29.81792208106597 -90.75650200502695
6 72 18.14096082419656 0 0.7563777902543547 0.15792695280223518 66.55158921965227 0.21673067507114624 111.84688063330294 126.91848743669222 356.6030113069872 -26.62705431439256 -22.426262138471706 -92.86138443907944
7 84 17.72744407853878 0 0.7795175984823678 0.173666226862794 72.2718419401034 0.3132435705071428 121.08227335338518 123.61813816481106 366.01807398880663 -26.547354792742738 -23.95361745630471 -89.98415802706397
8 96 18.243749330784883 0 0.7656190216386658 0.17602457139397207 70.24071172289872 0.5050744665364844 116.98304682012316 114.02400993284193 383.62991840379686 -28.64133372058574 -20.97838387614682 -93.03680150313096
9 108 16.43068581562171 0 0.7421014213938337 0.15887084003795102 69.3659758267569 0.19035729651728028 112.80210926706741 108.4862515027032 347.0716514672074 -26.77550461449362 -30.639255146709164 -91.03825539361252
10 120 16.71945632593452 0 0.781018335457589 0.15794184472273004 65.68966145477093 0.27985588788295446 112.03826451679299 101.79701625791297 364.829371934772 -27.94192905737529 -30.163320024549147 -92.05834149770503
