area_name,seed_area,seed_indices,reference_model_seed_fc_z,reference_target_seed_fc_z,model_5ht_seed_fc_z,target_5ht_seed_fc_z,model_change,target_change,change_delta,valid,model_change_raw,target_change_raw,change_delta_raw
V1,24c+32,"38,28",-0.3654400104910766,0.003786,0.9480515603745229,0.015773,1.38546427828,0.75996956825,0.625494710029,True,1.3134915708655994,0.011987,1.3015045708655995
V2,24c+32,"38,28",0.0118090994015429,0.043747,-0.005001270320167131,0.039852,-3.36121997924,-0.0977366255144,-3.26348335372,True,-0.01681036972171003,-0.0038950000000000026,-0.012915369721710028
V4,24c+32,"38,28",-0.6310155839913804,0.096906,0.5609747855203517,0.01233,2.12485551985,-6.85936739659,8.98422291645,True,1.191990369511732,-0.08457600000000001,1.276566369511732
1,24c+32,"38,28",-0.2018769774853945,0.054903,0.0895493492181638,-0.127009,3.25436565701,-1.43227645285,4.68664210986,True,0.2914263267035583,-0.18191200000000002,0.4733383267035583
3,24c+32,"38,28",-0.8730716936762427,0.04628,0.3255111712996604,-0.000506,3.6821558541,-92.4624505929,96.144606447,True,1.1985828649759032,-0.046786,1.2453688649759032
MT,24c+32,"38,28",0.2837726654633429,0.175566,0.053210473699613334,0.03625,-4.33302272529,-3.8432,-0.489822725287,True,-0.23056219176372955,-0.139316,-0.09124619176372956
V6,24c+32,"38,28",-0.0144717349644775,0.139254,0.05568110011818914,0.217226,1.25990389798,0.358944141125,0.900959756854,True,0.07015283508266665,0.07797200000000001,-0.007819164917333365
DP,24c+32,"38,28",-0.534357985245034,0.199567,0.3013163224822001,-0.259572,2.77341201048,-1.76883099872,4.54224300921,True,0.8356743077272341,-0.459139,1.2948133077272341
TEO,24c+32,"38,28",-0.6533513883825259,0.031259,0.6342702588881178,0.072362,2.03008359485,0.568019126061,1.46206446879,True,1.2876216472706439,0.041102999999999994,1.246518647270644
8m,24c+32,"38,28",-0.0534280634471067,0.175673,0.3526958691334727,0.165189,1.15148480071,-0.0634666957243,1.21495149643,True,0.4061239325805794,-0.010483999999999993,0.4166079325805794
F4,24c+32,"38,28",-0.2562527998612607,-0.015774,0.5500051354503233,0.135711,1.46590983128,1.11623228773,0.349677543552,True,0.806257935311584,0.151485,0.654772935311584
5,24c+32,"38,28",-1.1659723662245003,-0.026274,0.5106740335051669,-0.164674,3.28320276679,-0.840448401083,4.12365116787,True,1.6766463997296672,-0.1384,1.8150463997296673
2,24c+32,"38,28",-0.2115208329751677,0.088933,0.17645928578976267,-0.059867,2.19869482656,-2.48550954616,4.68420437272,True,0.3879801187649303,-0.1488,0.5367801187649304
8l,24c+32,"38,28",0.1008944412228056,0.16706,0.06179980411107052,0.064032,-0.632601311187,-1.609007996,0.976406684815,True,-0.039094637111735074,-0.10302799999999998,0.0639333628882649
F1,24c+32,"38,28",-0.9132014473390392,0.023885,0.5770593638519267,0.014027,2.58250867163,-0.702787481286,3.28529615291,True,1.4902608111909659,-0.009858,1.5001188111909658
STPc,24c+32,"38,28",-0.2881127222517029,-0.004758,0.35433556006562317,0.021164,1.81310699439,1.22481572482,0.588291269578,True,0.6424482823173261,0.025922,0.6165262823173261
7A,24c+32,"38,28",0.0876325584812345,0.03126,-0.1052690786900592,-0.022945,-1.83246248159,-2.3623883199,0.529925838303,True,-0.19290163717129372,-0.054205,-0.1386966371712937
10,24c+32,"38,28",0.7383862799367359,0.313056,-0.1448687845366221,-0.259452,-6.09693155981,-2.20660468988,-3.89032686993,True,-0.883255064473358,-0.572508,-0.310747064473358
F3,24c+32,"38,28",0.6416441204309686,0.09415,0.8749717896769369,0.073127,0.266668790924,-0.287486154225,0.554154945149,True,0.23332766924596826,-0.021023,0.2543506692459683
TEpd,24c+32,"38,28",-0.508077174776269,0.016372,0.7792573018934797,0.111161,1.65200181447,0.85271812956,0.799283684914,True,1.2873344766697488,0.094789,1.1925454766697487
46d,24c+32,"38,28",0.5071955235149366,0.337073,-0.2539768497289902,0.036685,-2.99701478326,-8.18830584708,5.19129106382,True,-0.7611723732439268,-0.300388,-0.46078437324392685
9/46v,24c+32,"38,28",0.3360098867767933,0.2712,0.18020131735895714,0.097202,-0.864636128644,-1.79006604802,0.925429919379,True,-0.15580856941783613,-0.17399799999999999,0.01818943058216385
PBr,24c+32,"38,28",-0.6326341762942919,0.032065,0.5251232379987562,0.00353,2.20473468039,-8.0835694051,10.2883040855,True,1.157757414293048,-0.028535000000000005,1.186292414293048
9/46d,24c+32,"38,28",0.2926279869064505,0.245636,-0.3676255536862758,0.079916,-1.79599468528,-2.07367736123,0.277682675952,True,-0.6602535405927263,-0.16571999999999998,-0.49453354059272636
F5,24c+32,"38,28",-0.5667065038434379,0.081314,0.6446653187035347,0.149549,1.87907087197,0.456271857385,1.42279901459,True,1.2113718225469725,0.06823499999999999,1.1431368225469725
7m,24c+32,"38,28",0.3726939703340577,-0.082866,-0.30334260635350896,0.047937,-2.22862388114,2.72864384505,-4.95726772619,True,-0.6760365766875667,0.130803,-0.8068395766875667
25,24c+32,"38,28",-0.2773884461016035,-0.168438,0.6522230187274046,0.142877,1.42529692779,2.1789021326,-0.753605204809,True,0.9296114648290081,0.311315,0.6182964648290081
LIP,24c+32,"38,28",1.0622868466126174,0.063567,-0.2084877215581584,0.037658,-6.09520099636,-0.688007860216,-5.40719313615,True,-1.2707745681707758,-0.025909,-1.2448655681707759
32,24c+32,"38,28",2.0,0.812202,1.6024211201302485,0.704386,-0.248111357792,-0.153063803085,-0.0950475547065,False,-0.3975788798697515,-0.10781600000000002,-0.28976287986975147
STPi,24c+32,"38,28",-0.4600726250824405,0.028622,0.3942821153120351,0.059489,2.16686151163,0.518869034611,1.64799247702,True,0.8543547403944756,0.030867,0.8234877403944756
9,24c+32,"38,28",0.7100985861602583,0.358544,0.17902047381128278,0.145686,-2.96657751509,-1.46107381629,-1.5055036988,True,-0.5310781123489756,-0.21285799999999996,-0.3182201123489756
45A,24c+32,"38,28",0.2468294034970128,0.22115,0.059334033175456505,-0.163953,-3.15999705881,-2.34886217392,-0.811134884891,True,-0.18749537032155628,-0.385103,0.1976076296784437
8B,24c+32,"38,28",0.5192693907928242,0.223581,-0.3152537501659208,0.060359,-2.64714738689,-2.70418661674,0.0570392298539,True,-0.834523140958745,-0.163222,-0.671301140958745
7B,24c+32,"38,28",0.1148798878646711,0.111312,-0.11812379402904431,-0.018539,-1.97253808015,-7.00420734667,5.03166926653,True,-0.2330036818937154,-0.129851,-0.1031526818937154
