% # columns="iter, evals, sigma, 0, fitness, xbest" seed=74070, Fri Apr 10 00:11:30 2026, <python>{}</python>
1 12 19.60021323908241 0 0.7063509027148457 0.12659458197153264 67.1826015665476 0.36280493518806584 120.89436616580356 127.34616837367739 318.1870731411681 -41.17955924659636 -35.990889521111676 -102.64380965644709
2 24 20.18567285536998 0 0.6728371504925021 0.14347239355001112 61.90260888097804 0.010852533916071529 125.07911128825916 110.89907402593876 349.91238826115995 -34.40776284342266 -30.82250566415015 -98.30915216282682
3 36 20.323020073256448 0 0.6506926878994959 0.14077741739551694 48.59578127496496 0.010018849294927298 119.11677164296273 121.68129220414258 310.6926007290639 -31.9879089746716 -27.626569597360042 -99.72073531586085
4 48 23.860318806164116 0 0.6723380927733649 0.1506082524731681 32.812419015027544 0.010013592640366465 125.87635638728818 134.08398124743601 322.56224824154776 -43.65603055044134 -25.578688332663745 -102.06656663312269
5 60 28.305675181912314 0 0.6727805946974095 0.15352717054791964 32.47114659087964 0.2439416031742792 117.38159379107347 96.80241044964303 329.8262974577601 -43.64317314017322 -36.926451225802424 -118.29530505069975
6 72 31.480086169416207 0 0.6727617391366274 0.14383777945759596 32.18924961528519 0.5313850978203954 125.02425373997707 104.14431170583123 341.1708411574325 -45.68008230886006 -29.596148684524238 -121.92758019708381
7 84 35.00121089984867 0 0.6806161708883001 0.21107903887715532 43.24429965071259 0.11475150325972569 114.95097724265528 118.64766721322036 302.0658896917964 -60.96913284856143 -26.768200683578527 -110.0237887703974
8 96 37.40734428137342 0 0.681116198251762 0.2254285404431241 33.79416810227157 0.7661765751592262 80.8602305722681 70.72723378807797 364.6272687021251 -59.434657469407995 -25.119790298908278 -129.3177506065659
9 108 38.07888115396642 0 0.6807699239424209 0.24511383237861395 41.9585965884217 0.28457731092794536 113.3549401800775 78.27723543966366 370.28861474004145 -61.5907253537186 -27.94767053873604 -123.46653045486045
10 120 41.11229354406684 0 0.6723560345651409 0.21286652375129508 18.75283330526856 0.09599997537723026 138.74338594319488 101.14747702233231 268.5480639165972 -54.825411810458824 -27.30013940790671 -112.74912302204187
11 132 41.581468911961224 0 0.6743199288887713 0.25563066246286387 27.71705839187774 0.18412586892293886 111.71055191422276 74.24838037485686 293.1404531129729 -63.6929022364594 -19.619189150749612 -92.25618878134583
12 144 43.75154875209494 0 0.6718122380280755 0.3060596793288038 56.287199179935214 0.2542253139560299 104.71267254963398 42.376265594751786 318.6656273879548 -48.20237041431082 -21.020741489662225 -111.56608997252
13 156 50.07123735112683 0 0.6647083293636532 0.27335491552402763 60.63532648830399 0.2481088393448258 98.39355237955819 22.62782153452662 254.17814481083062 -54.39717989342161 -9.27483357716437 -139.17847816875252
14 168 56.355633451182314 0 0.6611639318099405 0.34264263507611853 36.648853828362654 0.5967299022123334 70.7241215489673 84.56653555141003 230.825203898492 -54.10462428228494 -9.14111407765072 -126.83881189686356
15 180 67.71762474722331 0 0.6362371184315482 0.417706074618341 62.32550718064899 0.1006447264029594 81.40501808035363 18.11836195384015 138.12107192531266 -48.64178739659547 -1.0024951997521931 -136.47739242369553
16 192 80.1201412967603 0 0.6353327007592974 0.30100888953237925 59.57105527611505 0.2060052901412875 47.83065129287528 24.50026428904897 158.98218517708113 -42.27012357992881 -3.1209501781213254 -130.82824758419227
17 204 92.26485055619263 0 0.6360750839895417 0.3344547874051104 32.10369992879636 1.293564773998785 28.93223407135971 32.83526075638016 208.45010479532567 -46.91432682872385 -4.453606997412644 -170.4964307945221
18 216 107.89018655694748 0 0.6369235632672539 0.3131248692738538 67.83583051651172 0.06418584064252131 26.76495838550185 126.25619275612792 202.36948798789507 -65.96655290968832 -18.932476917903383 -180.41055248501945
19 228 121.89838320149447 0 0.6328203801357528 0.3765360323473944 110.69785318074877 1.557838758211254 8.575531286429268 30.18284120752021 260.33348726366637 -33.4207178280921 -54.17105633077465 -229.89234780501724
20 240 141.00738471450674 0 0.6334762487424395 0.4246341156780522 86.75146599665858 0.9887056952774087 78.44306006048572 77.9978147170399 255.9238824894386 -90.73586853567517 -42.27485363258216 -290.83396569855677
21 252 163.10060325388505 0 0.6298366601599672 0.45180049317311366 192.56249588929967 2.070159933814783 77.56054871141286 40.26937198184151 330.57704821998607 -93.07049858075693 -50.50813932829994 -227.62633960314668
22 264 182.75896925912278 0 0.6195110799050021 0.3231498092168118 199.4391057888069 0.7773993553015794 44.71693741590267 45.70806426027645 273.70893019285626 -90.65594268656227 -15.406811365784222 -191.62325141833202
23 276 208.19118834192895 0 0.6288928099568146 0.7423126202405705 302.9392197259788 1.9006574430872165 199.2735317735759 37.83179226151676 162.28839510772124 -152.81500323573792 -45.305033812526844 -342.67751575646673
24 288 238.93081139484903 0 0.6127778717657644 0.5683133348016608 353.4581377600134 2.937130382562124 161.97397325289216 37.62269734248123 268.73947517529865 -139.6183164240872 -5.26097040683249 -293.2009391363474
25 300 275.47828902363034 0 0.6161053950313642 0.8969403973979383 499.6437193284379 2.3839164422536214 285.05691262408345 69.15976048856649 221.85990529019432 -158.82749434673684 -38.85359416629404 -425.9604821789174
26 312 304.773679479 0 0.5873882999080187 0.8497415754378299 268.0605151048376 2.7349670798009846 472.0828646457967 58.09451757238648 71.61088208896757 -147.58582696958945 -112.75521612115922 -489.8768280606051
27 324 282.78331661803765 0 0.6109152020636651 0.7091209042231778 450.81868292417516 1.1539721250615995 124.6427373004351 208.09414807600396 250.86146970051286 -166.7270587083469 -36.05596407686665 -411.83944416384634
28 336 277.11510746467894 0 0.6232120046497488 0.8897327571625256 430.1166048642798 2.7737463866247616 362.90832443947056 189.7640292142404 18.29162439761612 -244.75542536230586 -118.00768232467783 -490.87864599349035
29 348 260.27363273672887 0 0.6027690829547789 0.781338488999897 496.570034497113 1.800954505418554 343.4679810366059 54.422876720312985 132.5922748229953 -170.83959737881088 -53.077650964520146 -452.38244700150227
30 360 265.2464727750916 0 0.612132345378423 0.8403200296791039 499.4763332112713 2.40688272300691 462.0472644986555 54.410402644132134 260.25024223964135 -296.52208209920974 -50.80198281929441 -543.6838415223422
