% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=74070, Wed Apr  8 03:48:08 2026, <python>{}</python>
1 12 17.88653062064235 0 0 8.90877195845538 8.62837009749592 4.345537004854011 0.5284425544408462 0.5296541531682776 0.08935328117930381 0.3581288202037783 0.2673997747099949 0.3484153606586873
2 24 17.328204398013533 0 0 8.326706348286605 8.178273606004039 4.244335835480907 0.5092259089753962 0.5444018589515666 0.08460501220189123 0.34009244302396496 0.26369380073663684 0.3409455589004706
3 36 17.91636993376956 0 0 8.289108677673298 8.334409989308046 4.431193526528623 0.5042182989690738 0.5801774377711102 0.0874666830747727 0.35676832341792153 0.2730969837870474 0.3540582029611349
4 48 18.15366746651589 0 0 8.336536103909229 8.733627646915672 4.694237492155389 0.4977091258841494 0.5929447828516574 0.09100848367135744 0.36397554775866336 0.27715000558590885 0.34829347158509016
5 60 19.74616967265136 0 0 9.429964103213567 9.340783053668519 5.038841509304938 0.5034311894552375 0.6376787004708967 0.10059967488989333 0.44364785238445736 0.2956694146024515 0.3828570181464033
6 72 20.48333365209515 0 0 9.851072536954215 9.733446868329118 5.219738390143373 0.5053747407575399 0.6891242792493356 0.10722292279739727 0.4641988660609163 0.29854331788547067 0.3933909425932982
7 84 22.76910011880725 0 0 11.162341829342896 10.550472679314456 5.521322602325173 0.5433545245034751 0.7832110830513891 0.11666666666666664 0.5470883941523542 0.3193331399146595 0.449613116291647
8 96 22.577620734372594 0 0 10.850037811142426 10.383633292330861 5.465600811949219 0.519668344100078 0.7759270623871068 0.1166666666666667 0.5435167258750024 0.3174334998871728 0.4524333254361277
9 108 21.178050151577303 0 0 9.987225525269514 9.766021878441652 5.208681325373391 0.5032285045204415 0.7072266346312532 0.11047021366080555 0.48673057748871845 0.2982847523963686 0.4100195309761519
10 120 21.03446405311242 0 0 9.77042219441897 9.492003012551576 5.219566659338265 0.47187224631425034 0.704006473151808 0.10817449921885511 0.47699801700832434 0.29412814770884627 0.4142251315315949
11 132 20.577064129373202 0 0 9.704636521312285 9.563373597769425 5.197559208101062 0.4523693675945324 0.6907816201972824 0.10558539220329971 0.46087104495775966 0.2827746970692826 0.3907334181287712
12 144 19.44393607356086 0 0 8.995836272580643 9.072329286891652 5.024909200724227 0.42777398272017714 0.6439592304806675 0.09977639733469576 0.4222584574949081 0.27441627726260176 0.3601513288510425
13 156 19.994378991656994 0 0 9.244715541382742 9.833812864561777 5.4050060600488266 0.4460257081723165 0.643617464077466 0.10701556950737154 0.4282127536173848 0.26622934135535137 0.3780427332099959
14 168 19.38426278480803 0 0 8.85893033308978 9.597631137015206 5.368538311098031 0.41828174117903705 0.6055291370147754 0.10243200212135863 0.39886387708700777 0.26279555072358285 0.3671222028342365
15 180 20.79349741182405 0 0 9.459615126106119 10.313059088063003 5.793620169060393 0.4263171710884367 0.6474396449609522 0.1120519311225796 0.4500853528445665 0.27670381170510133 0.3947087872203644
16 192 23.432555571104313 0 0 11.640343780480691 11.14123319755696 6.517636012867954 0.4723603088796792 0.7257419655657074 0.11666666666666664 0.5292856595515821 0.30674821226505566 0.47025592962940427
17 204 25.555207189747815 0 0 12.91428327512862 11.956114299821323 7.290684157633987 0.5261005269923981 0.8095000241513424 0.11666666666666664 0.5885189910851756 0.3382294498239106 0.5139535401378499
18 216 25.678557538636227 0 0 13.120201336325403 11.818561738674507 7.095987405737255 0.5142585523935231 0.8604256772913769 0.11666666666666665 0.5972328340545271 0.3361926664449803 0.5236914949991991
19 228 23.74447002686445 0 0 12.215795598793536 10.908958250440422 6.71016150665668 0.4604377764568316 0.7870360225509122 0.10640640282164979 0.5500787690811245 0.30954893929536703 0.48762324544699814
20 240 23.46278386780754 0 0 11.994782778113292 10.595034429601196 7.297550326632829 0.4570204120809411 0.7374418649020469 0.1035817467836064 0.5372938708245358 0.29064939789585204 0.4975812894743016
21 252 23.030657634802477 0 0 11.775709434534829 10.099245732125603 7.044226184601859 0.44745226441128694 0.7437966370761011 0.10407013117123802 0.5400970913273373 0.28226186734377173 0.4886205648491548
