area_name,seed_area,seed_indices,model_seed_fc_r,model_seed_fc_z
V1,24c+32,"38,28",0.27149171686603896,0.27847353734486835
V2,24c+32,"38,28",0.2195365773680822,0.22316916805560366
V4,24c+32,"38,28",-0.0627249456449732,-0.06280740245303128
1,24c+32,"38,28",-0.8092862601338177,-1.1249570777114792
3,24c+32,"38,28",-0.7694064150407478,-1.0188713110254772
MT,24c+32,"38,28",0.457043650807862,0.4935679183229358
V6,24c+32,"38,28",-0.10039232764822557,-0.10073165401082924
DP,24c+32,"38,28",-0.22511058523752206,-0.22903303201233938
TEO,24c+32,"38,28",-0.5765965780123217,-0.6573491486535087
8m,24c+32,"38,28",0.8874650295362428,1.4098629658228645
F4,24c+32,"38,28",-0.6228626428652136,-0.7296687343397945
5,24c+32,"38,28",-0.825221558901735,-1.1729687699244575
2,24c+32,"38,28",-0.005211554094566625,-0.005211601277786282
8l,24c+32,"38,28",0.7707192386805762,1.022096904006983
F1,24c+32,"38,28",-0.9224776069122701,-1.6054016078605986
STPc,24c+32,"38,28",-0.542093752213338,-0.6071159436855645
7A,24c+32,"38,28",-0.3741708862724692,-0.39326424192907683
10,24c+32,"38,28",0.6581422582063056,0.7895292211220806
F3,24c+32,"38,28",-0.19407887879372723,-0.1965722406012907
TEpd,24c+32,"38,28",-0.371361143524697,-0.3900010621244547
46d,24c+32,"38,28",0.9829502001612389,2.0
9/46v,24c+32,"38,28",0.8514555746477754,1.2614216658462565
PBr,24c+32,"38,28",-0.6666575929017937,-0.8047026236181152
9/46d,24c+32,"38,28",0.8080741214452156,1.1214541440942916
F5,24c+32,"38,28",0.5083439161686245,0.5604940641111499
7m,24c+32,"38,28",-0.7781904357907413,-1.0407661611121866
25,24c+32,"38,28",-0.1301159846423557,-0.13085783031755815
LIP,24c+32,"38,28",-0.7649032532639485,-1.0079270180939848
32,24c+32,"38,28",0.9303237457679058,1.660791718684225
STPi,24c+32,"38,28",-0.5521443373695379,-0.6214608492131917
9,24c+32,"38,28",0.40740035214865084,0.43249025942437486
45A,24c+32,"38,28",0.9465448275631532,1.7974838961613175
8B,24c+32,"38,28",0.8288839189039483,1.184559508193119
7B,24c+32,"38,28",-0.0368119103341794,-0.036828552012464995
F2,24c+32,"38,28",-0.6309980058587558,-0.7430726658840416
F7,24c+32,"38,28",0.9145088413484884,1.5544017129967473
ProM,24c+32,"38,28",0.5294564100145682,0.589389531430243
STPr,24c+32,"38,28",-0.6832072633389217,-0.8351043026297184
24c,24c+32,"38,28",0.9677031346957458,2.0
OPRO,24c+32,"38,28",0.1092218756916811,0.10965932893236399
