% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=12345, Sun Apr 12 22:00:05 2026, <python>{}</python>
1 12 19.44744420565598 0 0 0.00873560478229462 4.560508262391667 0.021134871917392724 8.452580130657836 7.786453815302451 13.808399032977622 2.511823303148452 2.5199582978782127 7.150677642095691
2 24 21.47631981147302 0 0 0.00954795168412822 5.2088773389578344 0.022849295765889958 10.21554737019221 8.640331102539212 14.981018404336632 2.6758775702874242 2.88049326724837 7.823546310312634
3 36 25.171337427705485 0 0 0.011279845674211489 6.072887907055234 0.027184536456686698 12.345699774130145 10.264376759562511 17.63049118143012 3.0638266760802435 3.39373709656939 8.967075492840303
4 48 30.917730122660053 0 0 0.014094387838945548 7.587441558221014 0.03295026421710398 15.816390374555178 12.477205746517443 22.115720668297666 3.708264395488615 4.258922668785081 10.73404194660815
5 60 36.76984361319809 0 0 0.01658262423069952 8.612489978371167 0.0401327801140242 18.55898127635915 14.463606252767448 26.50781538689358 4.356498305729169 4.996227461290115 13.000786546647815
6 72 42.51709225608151 0 0 0.018478238990985895 9.519890545672208 0.046767884910574806 21.93645197972389 16.60904348525291 33.12323289641569 5.144926269598254 5.8154187451940516 14.819298136012508
7 84 53.06345940448243 0 0 0.022586186235422384 12.13718101115747 0.05862000057380211 28.890035633367404 20.59351792907916 40.75754599090073 6.331092665613816 7.1890773124732945 18.01627267409524
8 96 64.55092310321068 0 0 0.026841182100546732 14.749845158293612 0.07000236663505766 35.383480124166105 25.59415344866157 51.73029371086786 7.665028063150755 8.488622610020133 21.832031825842517
9 108 73.72302971977174 0 0 0.03149618497262891 16.809332879574637 0.0783389861183378 38.833754252253875 28.866308107647438 58.43477157142563 8.612729329372094 9.75081266699789 24.052488359781947
10 120 77.48944671575067 0 0 0.032671936705719655 17.331739890807846 0.08048298374850596 41.5148538792883 30.62045487270277 62.8705330597828 8.840903807549898 10.119886636282393 24.532564235780203
11 132 83.89779645860018 0 0 0.03589201616550555 18.281235199651366 0.08603690047748046 42.70446987270209 33.090693376197144 67.98351330191602 9.83145521743284 10.642777743285565 26.351816600170366
12 144 91.49825811226862 0 0 0.03969099534203033 19.95603470785081 0.09442121585078951 45.509234175683915 35.95227588301517 74.32636519215053 11.270442079883543 11.567541119351848 28.1751590510799
13 156 105.44697603885771 0 0 0.04600805918719304 22.971139906395067 0.10905178752358716 50.79041733088457 45.61698247841275 85.8585857681354 13.350123018243007 12.779958502860222 32.356323697915784
14 168 122.92907317442125 0 0 0.05498160056547314 26.893787971377318 0.12910315281876417 62.78602085851443 54.167402650996976 100.75881350615117 15.474805132570848 15.141228141578777 36.028252296235806
15 180 137.0231212228915 0 0 0.059695098805822154 29.34548225547741 0.14141977651049015 71.99440772277411 61.10164579218864 113.05000470203899 17.349741093078546 16.714638604299676 40.43396713648018
16 192 142.7832141012179 0 0 0.06364670377899571 31.183752694279672 0.15299340032429004 75.34644866098303 61.374886717419635 117.22470894165008 17.979076218531354 17.39304550392557 42.3174133298337
17 204 148.45588257982504 0 0 0.06823568668400258 33.00663091778065 0.16576989116641938 76.8016942705595 64.43114083184072 125.37164963110197 18.10669243148192 18.80410388141109 42.74414673542925
18 216 165.2808019171562 0 0 0.08112729891286358 35.69508618276323 0.18907947805672123 84.34794807807805 69.93964086973702 145.40193712610017 20.185404942318335 20.355080316013908 47.74150879802258
19 228 200.4537877321102 0 0 0.10084208374198324 43.824603744210776 0.23883143812849644 103.60631438821746 83.87404020214395 180.17380826146265 24.376688584263356 25.090809269345236 56.85258743541366
20 240 242.39734753521657 0 0 0.12092946789974102 51.96185734784589 0.28487910979985415 126.60885630585464 102.54728841744245 219.06990186159499 29.673021307139017 29.653300227091524 68.18307016028925
21 252 272.60833379718997 0 0 0.13007143622740278 56.31381176214469 0.32092614056526797 139.99999999999997 116.16309937952941 233.33333333333331 32.541459602221806 32.754527793202925 76.590638890416
22 264 294.3129032205905 0 0 0.14102211527919678 58.10010580484987 0.3298322686525667 140.0 125.0113779614332 233.33333333333334 36.28405631537436 35.1318144178145 82.78776376063303
23 276 289.3127813369894 0 0 0.13693311117553894 54.882621658354225 0.3241094512827358 137.1961424856111 123.87800739276256 229.43912677044912 36.2516137737487 34.46484499143537 82.56763265575884
24 288 306.0095003815944 0 0 0.14392903531637433 57.45769227927179 0.3353463397365396 140.0 127.41114262839561 233.3333333333333 39.29646682309156 37.58806452536152 88.31158408971598
25 300 336.91377610173043 0 0 0.15000000000000002 62.06472900980931 0.36666666666666653 140.0 139.99999999999997 233.33333333333334 43.33333333333333 42.47021308133248 100.10248437455775
26 312 341.06009645721963 0 0 0.1395916133091818 63.11890837246143 0.3603474980033882 140.0 140.0 233.33333333333331 43.33333333333333 42.0032495577068 104.67004946484391
27 324 342.99705206628806 0 0 0.13396839805937857 62.126655491891 0.3660237200729713 136.536653000468 139.14521206460887 233.3333333333333 42.2473980335444 42.03246981190973 109.11957712273423
28 336 352.56189544508453 0 0 0.1345499292934362 63.35814645581182 0.36666666666666664 132.90619397537992 140.0 233.33333333333334 43.33333333333333 42.6446949894296 116.66153243629512
29 348 350.4763646597797 0 0 0.13561103890294027 60.184259998736906 0.356621762951216 131.02290384253564 135.92926910502476 226.4795620363679 41.65772340116113 42.03338126932021 117.68746007245953
30 360 326.5406610235643 0 0 0.11677319410461784 55.23513574012332 0.3286108951232179 118.68502335527886 123.95678367731713 209.30786779065582 37.67612512140715 39.14708626438006 110.56432123672467
31 372 302.51807572942505 0 0 0.10810313653798542 50.069076818837694 0.3044809136331534 103.1020918024631 116.51976376706925 185.74891258263816 34.51250913409351 36.679802712468735 101.50153355939109
32 384 273.89098484632785 0 0 0.09411259952531635 45.08614900711222 0.2706675795926674 95.04538437968483 105.2163917432341 158.66929991945696 32.50749384117692 31.299847516893472 93.9697830792941
33 396 253.9338776855098 0 0 0.08603966757456644 40.337380722391714 0.2516004745143939 87.2610267876059 98.33747230100177 143.34778183330226 30.410715598062787 28.847658935254895 88.58412062860687
34 408 227.32078246623882 0 0 0.0746705396154095 36.442373874812134 0.22159168810344135 77.44169100938983 86.48406662943012 125.96213606439467 27.205263254351937 25.684446037652133 78.5326081644089
35 420 226.3802964172703 0 0 0.07514954312710569 35.5264984705675 0.21877271462234904 78.56006232799412 88.11969177570207 128.757132107429 27.388810506226488 24.833721968431863 80.32430297609696
