% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=61725, Thu Apr  9 15:46:38 2026, <python>{}</python>
1 12 19.37226077478408 0 0 0.019470147192842423 9.661226709477358 0.19636937994026926 9.83595299505256 9.514259752321749 14.421673303557817 3.8781409830170936 3.820970941021177 5.634494314519849
2 24 17.85490878924527 0 0 0.01774229129814628 8.950721091141517 0.1749352883190064 8.821980540961603 8.753324823393982 13.332580420594596 3.6246164233971045 3.4900338283138677 5.198725773298483
3 36 16.431152895555485 0 0 0.016232576261247047 8.025432527985016 0.15409661662995353 8.17184162278546 7.903110636425554 11.850632611335717 3.4679136770969157 3.1850030489193526 4.853787419512472
4 48 16.33909525255192 0 0 0.015565472592586846 7.846426175839175 0.15682659242519192 8.222075399358207 7.978585797893215 11.580776498503786 3.5379277948130934 3.036026913505179 4.944805859882736
5 60 16.878416829773553 0 0 0.016083005754142628 8.034091000880299 0.16014612144923931 8.58517099980074 8.195279444855785 12.48507724874116 3.775391385664689 3.099713811531457 5.111571675221431
6 72 17.866000890667944 0 0 0.017098227444726978 7.734186757502742 0.16718440295113812 9.68809787003184 8.788406510415825 13.093058446573355 4.127642540693908 3.2970751354153984 5.471001763364955
7 84 18.6422735422039 0 0 0.01784106351033385 7.959946977523649 0.18313010303986127 10.252598671813386 9.362527004273574 13.786175369442029 4.159335118712435 3.441259236671231 5.664637624603181
8 96 19.525298838396544 0 0 0.018400299952013244 7.9100010699926395 0.2001730092752251 11.042023063364367 9.774109434296964 13.854936814209418 4.240706847052419 3.769144730944543 5.874081027920055
9 108 20.161309108693025 0 0 0.018293297509064877 8.024590593480761 0.21060038485807758 11.490285626522537 10.218930806809732 14.063632124987647 4.235062414268337 4.0076601361228015 6.1079304326424815
10 120 20.099842422958815 0 0 0.017827826139147393 8.03848035099828 0.20798765579864847 11.674998648018088 10.347398769067539 13.718411799481032 4.070035665534252 4.066833014542105 6.093067789648255
11 132 19.500545879125507 0 0 0.016911909300723105 7.61826069095496 0.20351931336589535 11.207161521771932 10.243216000533886 13.137807176314213 4.024286011099862 3.9264258399337604 5.622714701083332
